pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Xenobiotics metabolism	4	4	0.0009242920762961096	E279,E276,E275,E334	C14864/C14865,C00015,C00015,C00167	S-(2-Chloroacetyl)glutathione/2-(S-Glutathionyl)acetyl chloride$UDP$UDP$UDP-D-glucuronate
Proteoglycan biosynthesis	4	5	0.0023527434669355514	E276,E334,E275,E336	C00015,C00167,C00015,C00029/C00052	UDP$UDP-D-glucuronate$UDP$UDPglucose/UDPgalactose
Pentose and Glucuronate Interconversions	4	5	0.0023527434669355514	E276,E233,E275,E334	C00015,C00105/C01368,C00015,C00167	UDP$UMP/3'-UMP; Uridine 3'-monophosphate; Uridine 3'-phosphate$UDP$UDP-D-glucuronate
Vitamin A (retinol) metabolism	3	3	0.0025207965717166624	E276,E334,E275	C00015,C00167,C00015	UDP$UDP-D-glucuronate$UDP
Aminosugars metabolism	5	8	0.0031089824384505503	E282,E281,E276,E275,E344	mn/C00611,mn/C00611,C00015,C00015,C00128	beta-1,4-mannose-N-acetylglucosamine/N-Acetyllactosamine; beta-D-Galactosyl-1,4-N-acetyl-D-glucosamine; beta-D-Galactosyl-1,4-N-acetyl-beta-D-glucosamine$beta-1,4-mannose-N-acetylglucosamine/N-Acetyllactosamine; beta-D-Galactosyl-1,4-N-acetyl-D-glucosamine; beta-D-Galactosyl-1,4-N-acetyl-beta-D-glucosamine$UDP$UDP$CMP-N-acetylneuraminate
Starch and Sucrose Metabolism	5	8	0.0031089824384505503	E233,E276,E334,E275,E336	C00105/C01368,C00015,C00167,C00015,C00029/C00052	UMP/3'-UMP; Uridine 3'-monophosphate; Uridine 3'-phosphate$UDP$UDP-D-glucuronate$UDP$UDPglucose/UDPgalactose
Linoleate metabolism	4	6	0.006890177296025544	E181,E276,E334,E275	C00127,C00015,C00167,C00015	Oxidized glutathione$UDP$UDP-D-glucuronate$UDP
Porphyrin metabolism	4	6	0.006890177296025544	E18,E276,E334,E275	C01165/C01157/C00430/C03440/C01110,C00015,C00167,C00015	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$UDP$UDP-D-glucuronate$UDP
Glycosphingolipid biosynthesis - ganglioseries	5	9	0.008402655239055541	E337,E276,E275,E344,E336	C00325,C00015,C00015,C00128,C00029/C00052	GDP-L-fucose$UDP$UDP$CMP-N-acetylneuraminate$UDPglucose/UDPgalactose
Glycosphingolipid biosynthesis - lactoseries	5	9	0.008402655239055541	E337,E276,E275,E344,E336	C00325,C00015,C00015,C00128,C00029/C00052	GDP-L-fucose$UDP$UDP$CMP-N-acetylneuraminate$UDPglucose/UDPgalactose
