EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row14	row14_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E3	row15	row15_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E7	row18;row37	row18_M+H[1+];row37_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan
E9	row25	row25_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E10	row29	row29_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E11	row30	row30_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E12	row38	row38_M+H[1+]	C02714	N-Acetylputrescine
E13	row40;row50	row40_M+H[1+];row50_M(C13)+H[1+]	C00250	Pyridoxal
E14	row43;row44	row43_M+H[1+];row44_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E15	row45	row45_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E16	row46;row53	row46_M+H[1+];row53_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E21	row77	row77_M+H[1+]	C02505	2-Phenylacetamide
E22	row87	row87_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E24	row225;row233;row91	row225_M+H[1+];row233_M(C13)+H[1+];row91_M+Na[1+]	C00242	Guanine
E25	row226;row234	row226_M+H[1+];row234_M(C13)+H[1+]	C00242	Guanine
E26	row103;row93	row103_M(C13)+H[1+];row93_M+H[1+]	C00108	Anthranilate
E27	row104	row104_M+H[1+]	C02693	Indole-3-acetamide
E28	row107;row117	row107_M+H[1+];row117_M(C13)+H[1+]	C00437	N2-Acetyl-L-ornithine
E29	row115;row303	row115_M+Na[1+];row303_M(C13)+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E30	row116	row116_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E36	row124	row124_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E38	row1095	row1095_M+Na[1+]	C06196	2'-Deoxyinosine 5'-phosphate; dIMP
E42	row153	row153_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E43	row153;row159;row445	row153_M+H[1+];row159_M(C13)+H[1+];row445_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine
E47	row165;row179	row165_M+H[1+];row179_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol
E48	row167	row167_M+H[1+]	C01035	4-Guanidinobutanoate
E49	row168;row188	row168_M+H[1+];row188_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine
E50	row169	row169_M+H[1+]	C05543	3-Dehydroxycarnitine
E53	row172;row191	row172_M+H[1+];row191_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine
E56	row181	row181_M+H[1+]	C03740	5-L-Glutamyl-L-alanine
E57	row182;row183	row182_M+H[1+];row183_M+H[1+]	C03740	5-L-Glutamyl-L-alanine
E58	row184	row184_M+H[1+]	C03740	5-L-Glutamyl-L-alanine
E59	row185	row185_M+H[1+]	C00978	N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine
E60	row197	row197_M+H[1+]	C02356;C01026;C00334;C05145;C01205;C03284	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$N,N-Dimethylglycine; Dimethylglycine$4-Aminobutanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$D-3-Amino-isobutanoate$L-3-Amino-isobutanoate
E61	row204	row204_M+H[1+]	C00864	(R)-Pantothenate
E62	row1357;row205	row1357_M+Na[1+];row205_M+2H[2+]	CE2054;CE5976	20-carboxy-leukotriene-B4$12-oxo-10,11-dihydro-20-COOH-LTB4
E63	row206	row206_M+H[1+]	CE4888;C05578	dopaminochrome$5,6-Dihydroxyindole; DHI
E66	row216	row216_M+H[1+]	C02646	4-Coumaryl alcohol; 4-Hydroxycinnamyl alcohol; p-Coumaryl alcohol
E67	row223;row235;row236	row223_M+H[1+];row235_M(C13)+H[1+];row236_M(C13)+H[1+]	C01239	N-Acetyl-beta-D-glucosaminylamine
E69	row230	row230_M+H[1+]	C00385	Xanthine
