SOURCE	TARGET	ENZYMES
G00067	C00015	2.4.1.149;2.4.1.87;2.4.1.150
C04845	C00015	2.4.1.206;2.4.1.86
C03812	C00096	2.7.7.22
G00155	C00015	2.4.1.37;2.4.1.134;2.4.2.26;2.4.1.90;2.4.1.45;2.4.1.133;2.4.1.87
G00002	C00015	2.4.1.141
G00002	C00096	2.4.1.142
C04917	C00015	2.4.1.148
C05382	C00015	2.7.1.11
C00468	C00167	2.4.1.17
C00468	C00015	2.4.1.17
ksii_core2_pre5	C00015	2.4.1.149;2.4.1.38
G00174	C00015	2.4.1.163
C04911	C00015	;2.4.1.92;2.4.1.62
C04911	C00325	;2.4.99.8
C00645	C00015	;5.1.3.14;2.7.1.40
ksi_pre24	C00015	2.4.1.149;2.4.1.38
C00190	C00167	4.1.1.35
C00190	C00015	2.4.2.26
13-cis-retnglc	C00167	2.4.1.17
13-cis-retnglc	C00015	2.4.1.17
C14869	C00167	2.4.1.17
C14869	C00015	2.4.1.17
C03170	C00015	1.17.4.1
C00447	C00015	2.7.1.11
G00092	C00015	2.4.1.92;2.4.1.206
ahandrostanglc	C00167	2.4.1.17
ahandrostanglc	C00015	2.4.1.17
fucgalfucgalacglcgalgluside_hs	C00325	2.4.1.65
G10610	C00015	2.4.1.101;2.4.1.102;2.4.1.224;5.1.3.14;2.4.1.94;2.4.1.163;2.4.1.198;2.4.1.223;2.4.1.149;2.4.1.145;2.4.1.144;2.4.1.155;2.4.1.141;2.4.1.150
fucacgalfucgalacglcgalgluside_hs	C00325	2.4.1.65
G05309	C00015	;2.4.1.212;2.4.1.37;2.7.4.4;2.7.4.6;2.4.1.174;1.17.4.1;2.4.1.88;2.4.1.155;2.4.1.87;2.4.1.135;2.4.1.150;2.7.1.11;2.4.1.244;2.4.1.80;2.4.1.224;2.4.1.117;2.4.1.226;2.4.1.228;2.4.1.141;2.4.1.201;2.4.1.206;2.4.1.86;2.4.1.198;2.4.1.143;2.4.1.79;2.4.1.11;2.4.1.147;2.4.1.17;5.1.3.14;2.7.4.14;2.4.1.38;2.4.1.133;2.7.1.48;2.4.1.223;2.4.1.149;2.4.1.148;2.4.1.145;2.4.1.144;2.7.1.40;3.2.1.49;2.4.1.94;3.6.1.39;2.4.1.225;2.4.1.101;2.4.1.163;2.4.1.102;2.4.1.90;2.7.4.10;3.6.1.6;2.4.2.26;2.4.1.122;2.4.1.175;2.4.1.134;5.1.3.7;3.6.1.5;2.4.1.40;2.7.7.8;2.4.1.62;2.4.1.47;2.4.1.45;2.4.1.22;2.4.1.92;2.4.1.41;2.4.1.186
CE2047	C00167	2.4.1.17
CE2047	C00015	2.4.1.17
G00071	C00015	2.4.1.37;2.4.1.40
C04902	C00015	2.4.1.102;2.4.1.122
G00083	C00015	2.4.1.37;2.4.1.40
CE2049	C00167	2.4.1.17
CE2049	C00015	2.4.1.17
G00704	C00015	;2.4.1.212;2.4.1.37;2.7.4.4;2.7.4.6;2.4.1.174;1.17.4.1;2.4.1.88;2.4.1.155;2.4.1.87;2.4.1.135;2.4.1.150;2.7.1.11;2.4.1.244;2.4.1.80;2.4.1.224;2.4.1.117;2.4.1.226;2.4.1.228;2.4.1.141;2.4.1.201;2.4.1.206;2.4.1.86;2.4.1.198;2.4.1.143;2.4.1.79;2.4.1.11;2.4.1.147;2.4.1.17;5.1.3.14;2.7.4.14;2.4.1.38;2.4.1.133;2.7.1.48;2.4.1.223;2.4.1.149;2.4.1.148;2.4.1.145;2.4.1.144;2.7.1.40;3.2.1.49;2.4.1.94;3.6.1.39;2.4.1.225;2.4.1.101;2.4.1.163;2.4.1.102;2.4.1.90;2.7.4.10;3.6.1.6;2.4.2.26;2.4.1.122;2.4.1.175;2.4.1.134;5.1.3.7;3.6.1.5;2.4.1.40;2.7.7.8;2.4.1.62;2.4.1.47;2.4.1.45;2.4.1.22;2.4.1.92;2.4.1.41;2.4.1.186
C01829	C00167	;2.4.1.17
C01829	C00015	;2.4.1.17
fucfucgalacglc13galacglcgal14acglcgalgluside_hs	C00325	2.4.1.152
