EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row16	row16_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E3	row17	row17_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E7	row20;row37	row20_M+H[1+];row37_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan
E8	row28	row28_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E9	row31	row31_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E10	row38;row48	row38_M+H[1+];row48_M(C13)+H[1+]	C02714	N-Acetylputrescine
E11	row40	row40_M+H[1+]	C00250	Pyridoxal
E12	row43;row44	row43_M+H[1+];row44_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E13	row45	row45_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E14	row46;row53	row46_M+H[1+];row53_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E20	row72	row72_M+H[1+]	C02505	2-Phenylacetamide
E21	row85	row85_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E23	row219;row228;row89	row219_M+H[1+];row228_M(C13)+H[1+];row89_M+Na[1+]	C00242	Guanine
E24	row220;row229	row220_M+H[1+];row229_M(C13)+H[1+]	C00242	Guanine
E25	row92	row92_M+H[1+]	C00108	Anthranilate
E27	row104;row114	row104_M+H[1+];row114_M(C13)+H[1+]	C00437	N2-Acetyl-L-ornithine
E29	row112;row305	row112_M+Na[1+];row305_M(C13)+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E30	row113	row113_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E36	row122	row122_M+H[1+]	C00227	Acetyl phosphate
E37	row123	row123_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E41	row150	row150_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E42	row150;row156;row438	row150_M+H[1+];row156_M(C13)+H[1+];row438_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine
E43	row160;row175	row160_M+H[1+];row175_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol
E44	row161	row161_M+H[1+]	C01035	4-Guanidinobutanoate
E45	row162;row182	row162_M+H[1+];row182_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine
E46	row163;row183	row163_M+H[1+];row183_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine
E49	row166;row186	row166_M+H[1+];row186_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine
E52	row177	row177_M+H[1+]	C03740	5-L-Glutamyl-L-alanine
E53	row178	row178_M+H[1+]	C03740	5-L-Glutamyl-L-alanine
E54	row179	row179_M+H[1+]	C00978	N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine
E55	row188;row375	row188_M+Na[1+];row375_M+H[1+]	C00245	Taurine
E56	row189	row189_M+H[1+]	C02356;C01026;C00334;C05145;C01205;C03284	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$N,N-Dimethylglycine; Dimethylglycine$4-Aminobutanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$D-3-Amino-isobutanoate$L-3-Amino-isobutanoate
E58	row200	row200_M+H[1+]	C00864	(R)-Pantothenate
E59	row1328;row201	row1328_M+Na[1+];row201_M+2H[2+]	CE2054;CE5976	20-carboxy-leukotriene-B4$12-oxo-10,11-dihydro-20-COOH-LTB4
E60	row202	row202_M+H[1+]	CE4888;C05578	dopaminochrome$5,6-Dihydroxyindole; DHI
E63	row210	row210_M+H[1+]	C02646	4-Coumaryl alcohol; 4-Hydroxycinnamyl alcohol; p-Coumaryl alcohol
E64	row537	row537_M+Na[1+]	C01239	N-Acetyl-beta-D-glucosaminylamine
E65	row217;row538	row217_M+H[1+];row538_M+Na[1+]	C01239	N-Acetyl-beta-D-glucosaminylamine
E67	row226	row226_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E69	row227	row227_M+H[1+]	C00385	Xanthine
E72	row239;row244	row239_M+H[1+];row244_M(C13)+H[1+]	C00380	Cytosine
E77	row254	row254_M+H[1+]	C03564	1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate
E79	row255	row255_M+H[1+]	C00791	
E83	row261;row379	row261_M+Na[1+];row379_M+HCOONa[1+]	C01019	6-Deoxy-L-galactose; L-Fucose
E85	row272	row272_M+H[1+]	C00141	3-Methyl-2-oxobutanoate
E86	row293	row293_M+H[1+]	C00581;gudac	Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid$Guanidinoacetate
E88	row301	row301_M+H[1+]	C00637	Indole-3-acetaldehyde
E89	row312	row312_M+H[1+]	C05829	
E91	row331	row331_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E92	row335;row336	row335_M+H[1+];row336_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E93	row337	row337_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E94	row354	row354_M+H[1+]	C00153	Nicotinamide
E98	row379	row379_M+Na[1+]	C02076	sedoheptulose
E99	row383	row383_M+Na[1+]	C00093	Glycerol 3-phosphate
E102	row409	row409_M+H[1+]	C16586;CE2173	2-Phenyl-1,3-propanediol monocarbamate$
E104	row414;row439	row414_M+H[1+];row439_M(C13)+H[1+]	CE5860	
E105	row415;row440;row441	row415_M+H[1+];row440_M(C13)+H[1+];row441_M(C13)+H[1+]	CE5860	
E106	row435	row435_M+Na[1+]	C00062;C00792	L-Arginine$D-Arginine; D-2-Amino-5-guanidinovaleric acid
E109	row454	row454_M+Na[1+]	C00954;C05634	Indole-3-acetate$5-Hydroxyindoleacetaldehyde
E110	row455	row455_M+H[1+]	C04692	Peptide 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine; 2-[3-Carboxy-3-(methylammonio)propyl]-L-histidine; EF-2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine; Elongation factor 2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine
E112	row473	row473_M+H[1+]	C00268;C02953;C04244	6,7-Dihydrobiopterin$7,8-Dihydrobiopterin$6-Lactoyl-5,6,7,8-tetrahydropterin
E113	row456	row456_M+H[1+]	C07501	Felbamate
E117	row460;row461	row460_M+H[1+];row461_M+H[1+]	C02934;C00319	3-Dehydrosphinganine$Sphingosine
E122	row494	row494_M+Na[1+]	CE5820	histidyl-prolinamide
E123	row501;row872	row501_M+H[1+];row872_M+Na[1+]	CE5795	neuromedin B (1-3)
E124	row507	row507_M+H[1+]	C06114	gamma-Glutamyl-beta-aminopropiononitrile; gamma-Glutamyl-3-aminopropiononitrile
E128	row543;row710;row742	row543_M+Na[1+];row710_M+H[1+];row742_M(C13)+H[1+]	C00387	Guanosine
E130	row1074;row558;row588	row1074_M+Na[1+];row558_M+H[1+];row588_M(C13)+H[1+]	C05711;C00475	gamma-Glutamyl-beta-cyanoalanine$Cytidine
E133	row1811;row1812	row1811_M+H[1+];row1812_M(C13)+H[1+]	C00127	Oxidized glutathione
E134	row582	row582_M+Na[1+]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$alpha-D-Galactose$D-Mannose
E135	row583	row583_M+Na[1+]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$alpha-D-Galactose$D-Mannose
E138	row588	row588_M+H[1+]	C00120	Biotin; D-Biotin; Vitamin H; Coenzyme R
E139	row594	row594_M+H[1+]	C02567	N1-Acetylspermine
E140	row595	row595_M+Na[1+]	C03838	N1-(5-Phospho-D-ribosyl)glycinamide
E143	row686	row686_M+Na[1+]	C06486;C00386	(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-$Carnosine; Nalpha-(beta-alanyl)-L-histidine
E144	row687	row687_M+Na[1+]	C06486;C00386	(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-$Carnosine; Nalpha-(beta-alanyl)-L-histidine
E145	row688	row688_M+Na[1+]	C06486;C00386	(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-$Carnosine; Nalpha-(beta-alanyl)-L-histidine
E146	row1084;row695	row1084_M+Na[1+];row695_M+H[1+]	C01225	sn-glycero-3-Phospho-1-inositol; 1-(sn-glycero-3-Phospho)-1D-myo-inositol
