input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row16	E2	row16_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol	row16	205.0682	197.55	0.3525047876325823	-1.3451885743260499	
row17	E3	row17_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol	row17	205.0682	215.86	0.020319952598910743	-6.045128496347539	
row20	E7	row20_M+H[1+];row37_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan	row20	205.0971	166.16	0.3562006136003625	-1.3302255515775723	C11H12N2O2
row28	E8	row28_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid	row28	131.0338	324.4	8.378501367786095e-05	72.75777832845688	C5H6O4
row31	E9	row31_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row31	131.0702	27.67	0.46443197577459566	-1.0359879600911213	
row37	E7	row20_M+H[1+];row37_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan	row37	206.1004	166.03	0.10996665624841442	-2.9264501562083423	C11H12N2O2
row38	E10	row38_M+H[1+];row48_M(C13)+H[1+]	C02714	N-Acetylputrescine	row38	131.1179	273.04	0.10457459766500148	3.004625701669384	C6H14N2O
row40	E11	row40_M+H[1+]	C00250	Pyridoxal	row40	168.0655	47.5	0.06543191778190112	-3.698693326464259	C8H9NO3
row43	E12	row43_M+H[1+];row44_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row43	132.0655	251.56	0.07521274672301341	3.486056045818888	
row44	E12	row43_M+H[1+];row44_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row44	132.0655	255.78	0.032984605165924816	4.9315731601553505	C5H9NO3
row45	E13	row45_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row45	132.0655	301.78	0.16335764425177088	-2.390614786520002	
row46	E14	row46_M+H[1+];row53_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row46	132.0768	259.45	0.07558025856601287	3.475631049617199	C4H9N3O2
row48	E10	row38_M+H[1+];row48_M(C13)+H[1+]	C02714	N-Acetylputrescine	row48	132.1212	273.04	0.13574583372380464	2.6304823500155523	C6H14N2O
row53	E14	row46_M+H[1+];row53_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row53	133.0799	259.45	0.21512888529563867	1.999908700330839	C4H9N3O2
row72	E20	row72_M+H[1+]	C02505	2-Phenylacetamide	row72	136.0757	168.92	0.009378030253887712	-8.505662335149674	C8H9NO
row85	E21	row85_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row85	137.0594	28.07	0.25394919632351465	-1.7135937901697453	
row89	E23	row219_M+H[1+];row228_M(C13)+H[1+];row89_M+Na[1+]	C00242	Guanine	row89	174.0386	145.81	0.05649407746053756	-3.943030701493767	
row92	E25	row92_M+H[1+]	C00108	Anthranilate	row92	138.0549	355.65	0.010730233244851308	7.878713808828766	C5H4O2
row104	E27	row104_M+H[1+];row114_M(C13)+H[1+]	C00437	N2-Acetyl-L-ornithine	row104	175.1077	246.43	0.00809055729842866	-9.065257822427114	C7H14N2O3
row112	E29	row112_M+Na[1+];row305_M(C13)+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine	row112	140.0681	216.91	0.02386082566896486	5.641095456480516	
row113	E30	row113_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine	row113	140.0681	227.81	0.009667671613202438	8.30232814011877	
row114	E27	row104_M+H[1+];row114_M(C13)+H[1+]	C00437	N2-Acetyl-L-ornithine	row114	176.111	246.3	0.010128325944994286	-8.049119783457193	C7H14N2O3
row122	E36	row122_M+H[1+]	C00227	Acetyl phosphate	row122	140.9945	349.67	0.609331338190307	-0.7098162390138545	
row123	E37	row123_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine	row123	94.0655	168.92	0.2041471025030533	-2.105433641502031	C6H7N
row150	E41	row150_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde	row150	216.0631	299.55	0.8340611150109012	0.28917259239796905	C5H14NO6P
row150	E42	row150_M+H[1+];row156_M(C13)+H[1+];row438_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine	row150	216.0631	299.55	0.8340611150109012	0.28917259239796905	C5H14NO6P
row156	E42	row150_M+H[1+];row156_M(C13)+H[1+];row438_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine	row156	217.0664	299.55	0.8506027193526522	0.2630742912979239	C5H14NO6P
row160	E43	row160_M+H[1+];row175_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol	row160	180.1018	26.62	0.2819818568934398	-1.5935142454767153	
row161	E44	row161_M+H[1+]	C01035	4-Guanidinobutanoate	row161	146.0923	261.06	0.22042318999416757	-1.9283198726618254	C5H11N3O2
row162	E45	row162_M+H[1+];row182_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine	row162	146.1175	27.67	0.37925952335576674	-1.2612776481675267	C7H15NO2
row163	E46	row163_M+H[1+];row183_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine	row163	146.1175	330.99	0.002605097190913995	14.284711155170756	C7H15NO2
row166	E49	row166_M+H[1+];row186_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine	row166	146.1651	28.85	0.38007413829821046	1.2576530215198682	C7H19N3
