pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Urea cycle/amino group metabolism	10	25	0.011763717334677758	E284,E37,E65,E52,E204,E211,E38,E124,E70,E190	C04441,C01165/C01157/C00430/C03440/C01110,C00624,C00791,C00547/C00314,C00021,C00300,C02356/C01026/C00334/C05145/C01205/C03284,C00437,C00581/gudac	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid$$Norepinephrine/Pyridoxine$S-Adenosyl-L-homocysteine$Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid/N,N-Dimethylglycine; Dimethylglycine/4-Aminobutanoate/3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate/D-3-Amino-isobutanoate/L-3-Amino-isobutanoate$N2-Acetyl-L-ornithine$Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid/Guanidinoacetate
Aspartate and asparagine metabolism	8	20	0.021174691202419965	E153,E37,E310,E128,E109,E124,E70,E129	C01239,C01165/C01157/C00430/C03440/C01110,C00669,C03740,C01035,C02356/C01026/C00334/C05145/C01205/C03284,C00437,C03740	N-Acetyl-beta-D-glucosaminylamine$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$gamma-L-Glutamyl-L-cysteine$5-L-Glutamyl-L-alanine$4-Guanidinobutanoate$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid/N,N-Dimethylglycine; Dimethylglycine/4-Aminobutanoate/3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate/D-3-Amino-isobutanoate/L-3-Amino-isobutanoate$N2-Acetyl-L-ornithine$5-L-Glutamyl-L-alanine
Glycine, serine, alanine and threonine metabolism	7	18	0.03159398369884884	E37,E229,E211,E38,E190,E124,E96	C01165/C01157/C00430/C03440/C01110,C06054,C00021,C00300,C00581/gudac,C02356/C01026/C00334/C05145/C01205/C03284,C00988	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$2-Oxo-3-hydroxy-4-phosphobutanoate; alpha-Keto-3-hydroxy-4-phosphobutyrate; (3R)-3-Hydroxy-2-oxo-4-phosphonooxybutanoate$S-Adenosyl-L-homocysteine$Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine$Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid/Guanidinoacetate$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid/N,N-Dimethylglycine; Dimethylglycine/4-Aminobutanoate/3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate/D-3-Amino-isobutanoate/L-3-Amino-isobutanoate$2-Phosphoglycolate
Glutamate metabolism	2	3	0.04453407276699437	E310,E124	C00669,C02356/C01026/C00334/C05145/C01205/C03284	gamma-L-Glutamyl-L-cysteine$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid/N,N-Dimethylglycine; Dimethylglycine/4-Aminobutanoate/3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate/D-3-Amino-isobutanoate/L-3-Amino-isobutanoate
Valine, leucine and isoleucine degradation	3	7	0.08327031341904041	E15,E186,E124	,,C02356/C01026/C00334/C05145/C01205/C03284	$$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid/N,N-Dimethylglycine; Dimethylglycine/4-Aminobutanoate/3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate/D-3-Amino-isobutanoate/L-3-Amino-isobutanoate
Glutathione Metabolism	3	7	0.08327031341904041	E128,E129,E310	C03740,C03740,C00669	5-L-Glutamyl-L-alanine$5-L-Glutamyl-L-alanine$gamma-L-Glutamyl-L-cysteine
Vitamin B1 (thiamin) metabolism	1	1	0.10789009326947316	E306		
Glyoxylate and Dicarboxylate Metabolism	1	1	0.10789009326947316	E96	C00988	2-Phosphoglycolate
Vitamin B12 (cyanocobalamin) metabolism	1	1	0.10789009326947316	E211	C00021	S-Adenosyl-L-homocysteine
Ubiquinone Biosynthesis	1	1	0.10789009326947316	E211	C00021	S-Adenosyl-L-homocysteine
