massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	127.019	220.46	0.02841317632954187	12.059457412444818	
row2	127.0214	220.59	0.09745706612814842	5.346552174645121	
row3	127.0253	220.32	0.1216035394318927	4.6308502599498	C2H7NO3S
row4	70.0646	364.05	0.8908362309071992	-0.261080662481825	
row5	127.0584	356.17	0.08658765842758384	5.7402920149241385	C6H7NO2
row6	165.0734	27.28	0.9907773363647033	0.022116541794696534	
row7	165.0755	315.04	0.5207784601937947	-1.146501212024639	
row8	165.0772	27.54	0.8329718929047669	0.3880794239068097	C6H13NO2S,C6H13NO2S
row9	204.0243	242.45	0.24349614649397328	-2.8803330743666615	
row10	72.0562	259.45	0.34229961437175643	2.0120879388338677	
row11	165.0909	27.67	0.7267974773223878	-0.6208251097484134	
row12	204.0688	200.46	0.33481573367761147	-2.183507850408342	C8H13NO3S
row13	204.0763	364.84	0.3689082818528445	1.758828715459101	
row14	127.123	203.48	0.43983781662435256	-1.4147924166570873	C7H14N2
row15	204.0866	356.04	0.28514534216100446	2.5458019624610446	C8H13NO5,C9H17NS2
row16	128.0178	220.46	0.10805972026744949	4.9234873550865075	
row17	128.0262	220.32	0.21401928586404145	3.176745912748797	
row18	128.0455	175.22	0.4359207624933061	-1.4342159343252494	
row19	204.0978	318.46	0.34229961437175643	-2.0554382500143293	C7H13N3O4
row20	204.0978	332.17	0.34585617919026224	-1.89693194611571	C7H13N3O4
row21	204.1058	307.69	0.33659806378629553	-2.1652284241747672	C8H14N2O4
row22	204.1174	217.3	0.34229961437175643	1.9717255479764864	
row23	128.1264	203.22	0.4909858243426634	-1.2375449559746274	C7H14N2
row24	204.1423	28.59	0.8927535287964478	-0.2557177733808203	C9H18N2O3
row25	128.9326	1.18	0.34229961437175643	1.9997277701299865	
row26	165.9302	207.69	0.21484879619046116	-3.1513835127897476	
row27	204.9673	207.29	0.34229961437175643	-2.062478616498728	
row28	166.0263	319.38	0.22470650145148213	-3.031669706450227	C3H5ClO3,C2H5O4P
row29	166.0493	33.58	0.7442940111983397	0.579806377526982	
row30	74.0594	29.12	0.8862129788461116	-0.27332780007699237	
row31	166.0644	400.75	0.34229961437175643	1.9933551910804683	
row32	166.0644	402.32	0.34229961437175643	1.9997424887331703	C2H8N2O2S
row33	166.0697	27.54	0.9242041864530466	0.18070691673482198	
row34	205.0641	147.12	0.8927114226127457	0.2575754058313817	
row35	205.0682	197.55	0.5899965800785514	0.9565616490913231	
row36	205.0682	215.86	0.4658408138619031	1.3174783703482358	
row37	205.0723	200.46	0.34229961437175643	-2.0134695182401647	C8H13NO3S
row38	130.0631	272.12	0.622079632099248	0.870590088346184	
row39	205.0818	355.22	0.920709141594329	0.18796938809405833	C7H12N2O5,C7H12N2O5
row40	205.0818	372.75	0.39757605656263995	1.603097891835649	C7H12N2O5,C7H12N2O5
row41	205.0899	356.04	0.309625616217765	2.378334097472577	C8H13NO5,C9H17NS2
row42	205.0971	166.16	0.050950588735128595	8.283387459831172	C11H12N2O2
row43	205.1012	318.46	0.3406765669255368	-2.1430864944877412	C7H13N3O4
row44	205.1012	326.76	0.8977194822792762	-0.24339173251139898	C7H13N3O4
