SOURCE	TARGET	ENZYMES
C04910	C00052	2.4.1.87;2.4.1.86
C04910	C00015	2.4.1.87;2.4.1.86
C04910	C00611	2.4.99.6;2.4.1.87
ksi_pre28	C00043	2.4.1.149
ksi_pre28	C00015	2.4.1.149;2.4.1.38
ksi_pre10	C00043	2.4.1.149
ksi_pre10	C00015	2.4.1.149;2.4.1.38
C04730	C00203	2.4.1.92
C04730	C00015	2.4.1.92
C06299	C00203	;2.4.1.92
C06299	C00015	;2.4.1.92
C00043	G00013	2.4.1.101
C00043	C03706	2.7.8.17
C00043	C04938	2.4.1.163;2.4.1.149
C00043	G00001	2.4.1.141;2.7.8.15
C00043	G00162	2.4.1.223
C00043	ksii_core4_pre7	2.4.1.149
C00043	ksi_pre21	2.4.1.149
C00043	C00203	;2.7.4.6;1.17.4.1;2.4.1.155;2.4.1.147;2.4.1.150;2.7.1.11;2.4.1.223;2.4.1.224;2.7.4.10;2.4.1.94;2.4.1.201;2.4.1.206;2.4.1.198;2.4.1.143;5.1.3.14;2.4.1.163;2.7.1.48;2.4.1.149;2.4.1.148;2.4.1.145;2.4.1.144;2.7.1.40;2.4.1.141;3.6.1.39;2.4.1.101;2.4.1.102;3.6.1.5;2.4.1.212;5.1.3.7
C00043	G11112	5.1.3.14
C00043	C04946	2.4.1.144
C00043	C04501	2.4.1.101;2.7.7.23;2.4.1.102;2.4.1.224;5.1.3.14;2.4.1.94;2.4.1.163;2.4.1.198;2.4.1.223;2.4.1.149;2.4.1.145;2.4.1.144;2.4.1.155;2.4.1.141;2.4.1.150;2.7.8.15
C00043	G00067	2.4.1.149;2.4.1.150
C00043	ksii_core4_pre2	2.4.1.149
C00043	C04537	2.4.1.141;2.7.8.15
C00043	C04750	2.4.1.102
C00043	ksii_core4_pre3	2.4.1.149
C00043	G00143	2.4.1.198
C00043	G00050	2.4.1.163;2.4.1.149
C00043	C04942	2.4.1.145;2.4.1.144
C00043	ksii_core2_pre5	2.4.1.149
C00043	G10619	;2.7.4.6;1.17.4.1;2.4.1.155;2.4.1.147;2.4.1.150;2.7.1.11;2.4.1.223;2.4.1.224;2.7.4.10;2.4.1.94;2.4.1.201;2.4.1.206;2.4.1.198;2.4.1.143;5.1.3.14;2.4.1.163;2.7.1.48;2.4.1.149;2.4.1.148;2.4.1.145;2.4.1.144;2.7.1.40;2.4.1.141;3.6.1.39;2.4.1.101;2.4.1.102;3.6.1.5;2.4.1.212;5.1.3.7
C00043	G00002	2.4.1.141;2.7.8.15
C00043	ksii_core2_pre7	2.4.1.149
C00043	dolp_L	2.7.8.15
C00043	C04922	2.4.1.163;2.4.1.149
C00043	ksi_pre12	2.4.1.149
C00043	G00031	2.4.1.102
C00043	ha_pre1	2.4.1.212
C00043	G00163	2.4.1.224
C00043	ksi_pre7	2.4.1.149
C00043	C04375	2.4.1.94
C00043	ksi_pre1	2.4.1.149
C00043	ksi_pre15	2.4.1.149
C00043	G00023	2.4.1.102
C00043	C01170	5.1.3.14
C00043	C00075	;2.7.4.6;2.4.1.145;2.7.7.9;2.4.1.155;2.7.7.6;2.4.1.150;2.4.1.147;2.7.1.11;2.4.1.223;2.4.1.224;2.7.4.10;2.4.1.94;2.4.1.201;2.4.1.206;2.7.7.10;2.7.7.52;2.4.1.198;2.4.1.143;3.6.1.19;5.1.3.14;3.6.1.17;2.4.1.163;2.7.1.48;2.4.1.149;2.4.1.148;1.17.4.1;2.4.1.144;2.7.1.40;2.4.1.141;3.6.1.39;2.4.1.101;2.7.7.23;2.4.1.102;3.6.1.5;6.3.4.2;3.6.1.8;2.4.1.212;5.1.3.7;2.7.8.17;2.7.8.15
C00043	ksii_core2_pre3	2.4.1.149
C00043	pail_hs	2.4.1.198
C00043	C05882	2.4.1.101
C00043	ksi_pre27	2.4.1.149
C00043	C04902	2.4.1.102
C00043	G00021	2.4.1.155
C00043	C05884	2.4.1.144;2.4.1.143
C00043	C15573	2.4.1.224
C00043	G00024	2.4.1.102
C00043	ksi_pre22	2.4.1.149
C00043	n2m2masn	2.4.1.144;2.4.1.143
C00043	ksii_core4_pre4	2.4.1.149
C00043	C00110	;2.7.8.15
C00043	ksi_pre4	2.4.1.149
C00043	ksi_pre25	2.4.1.149
C00043	C04776	2.4.1.102
C00043	C04943	2.4.1.145;2.4.1.155
C00043	ksii_core4_pre8	2.4.1.149
C00043	naglc2p_L	2.7.8.15
C00043	ksi_pre18	2.4.1.149
C00043	ksi_pre6	2.4.1.149
C00043	ksii_core2_pre4	2.4.1.149
C00043	C04917	2.4.1.148
C00043	ksi_pre3	2.4.1.149
C00043	C00167	;2.4.1.212
C00043	G00012	2.4.1.101
C00043	G00164	2.4.1.224
C00043	C04944	2.4.1.155
C00043	ksi_pre34	2.4.1.149
C00043	acglcgalacglcgal14acglcgalgluside_hs	2.4.1.150
C00043	C01290	2.4.1.206
C00043	C04903	2.4.1.223
C00043	m4masn	2.4.1.101
C00043	C00645	;5.1.3.14;2.7.1.40
C00043	ksi_pre2	2.4.1.149
C00043	C15656	2.4.1.223
C00043	ksi_pre33	2.4.1.149
C00043	C05159	2.4.1.155
C00043	G00174	2.4.1.163
C00043	C04789	2.7.8.17
C00043	ksi_pre9	2.4.1.149
C00043	G00066	2.4.1.163;2.4.1.149
C00043	G00015	2.4.1.145;2.4.1.144
C00043	G00157	2.4.1.223
C00043	C00015	;2.7.4.6;1.17.4.1;2.4.1.155;2.4.1.147;2.4.1.150;2.7.1.11;2.4.1.223;2.4.1.224;2.7.4.10;2.4.1.94;2.4.1.201;2.4.1.206;2.4.1.198;2.4.1.143;5.1.3.14;2.4.1.163;2.7.1.48;2.4.1.149;2.4.1.148;2.4.1.145;2.4.1.144;2.7.1.40;2.4.1.141;3.6.1.39;2.4.1.101;2.4.1.102;3.6.1.5;2.4.1.212;5.1.3.7
C00043	ksi_pre30	2.4.1.149
C00043	C15574	2.4.1.224
C00043	C00105	;3.6.1.5;3.6.1.8;3.6.1.17;2.7.1.48;3.6.1.19;2.7.8.17;2.7.8.15
C00043	C01306	2.4.1.147;2.4.1.148
C00043	G10622	2.7.8.15
C00043	C00518	2.4.1.212
C00043	C04880	2.4.1.145;2.4.1.155
C00043	ksii_core4_pre5	2.4.1.149
C00043	G00025	2.4.1.102
C00043	ksi_pre31	2.4.1.149
C00043	ksi_pre19	2.4.1.149
C00043	C04845	2.4.1.206
C00043	G00019	2.4.1.145;2.4.1.144
C00043	G10610	2.4.1.101;2.7.7.23;2.4.1.102;2.4.1.224;5.1.3.14;2.4.1.94;2.4.1.163;2.4.1.198;2.4.1.223;2.4.1.149;2.4.1.145;2.4.1.144;2.4.1.155;2.4.1.141;2.4.1.150;2.7.8.15
C00043	G00077	2.4.1.150
C00043	C01288	2.4.1.198
C00043	ksi_pre24	2.4.1.149
C00043	C04500	2.4.1.141;2.7.8.15
C00043	ksi_pre16	2.4.1.149
C00043	C04939	2.4.1.163
C00043	C15544	2.4.1.145;2.4.1.144
C00043	ksi_pre13	2.4.1.149
C00043	C04256	2.7.7.23
C00043	galacglcgal14acglcgalgluside_hs	2.4.1.150
C00043	C04890	2.4.1.149;2.4.1.150
C00043	ksii_core2_pre2	2.4.1.149
C00043	C04891	2.4.1.150
C00043	C01194	;2.4.1.198
C00043	G00068	2.4.1.149;2.4.1.150
C00043	C00017	2.4.1.94
C00043	C00694	2.4.1.149;2.4.1.150
C00043	ksii_core2_pre8	2.4.1.149
C00043	G00020	2.4.1.145;2.4.1.155
C11061	C00015	2.4.1.17
ksi_pre8	C00052	2.4.1.38
ksi_pre8	C00015	2.4.1.38
G00013	C00015	2.4.1.101
CE2887	C00015	;2.4.1.17
C04938	C00015	2.4.1.163;2.4.1.149
G10612	C00015	2.4.1.135;2.4.1.226;2.4.1.225
C11736	C00242	2.4.2.4
G00001	C00015	2.4.1.141
G00160	C00203	2.4.1.175;2.4.1.226
G00160	C00015	2.4.1.175;2.4.1.226
estroneglc	C00015	2.4.1.17
C00361	C00015	1.17.4.1;2.7.4.6;2.7.1.48;2.7.1.40
G00162	C00015	2.4.1.174;2.4.1.223;2.4.1.135;2.4.1.225
ksii_core4_pre7	C00052	2.4.1.38
ksii_core4_pre7	C00015	2.4.1.149;2.4.1.38
C11132	C00015	2.4.1.17
G00251	C00611	;2.7.4.14;2.7.8.11;2.4.99.10;2.7.8.2;2.7.8.1;2.7.8.-;2.4.99.6;3.1.3.5;2.7.1.48;2.7.8.5;2.4.99.3;2.4.99.1;2.4.1.90;3.6.1.5;2.7.8.8;2.4.99.4;2.4.1.87;2.4.99.7;2.4.99.8;2.4.99.9
C01342	C00242	3.5.4.3
C01342	C01110	1.4.3.3
C01342	C00792	1.4.3.3
n2m2nmn	m2mn	3.2.1.52
C16633	C00015	2.7.1.48
C02687	C00029	2.4.1.186
C02687	C00015	2.4.1.186
C02090	C00015	1.17.4.1
C11133	C00015	2.4.1.17
ksi_pre35	C00052	2.4.1.38
ksi_pre35	C00015	2.4.1.38
C00243	C00052	2.4.1.22
C00243	C00015	2.4.1.22
CE2306	C00015	2.4.1.17
ksi_pre21	C00052	2.4.1.38
ksi_pre21	C00015	2.4.1.149;2.4.1.38
C00203	G00055	2.4.1.37;2.4.1.40
C00203	G00108	2.4.1.92
C00203	C04884	;2.4.1.92;2.4.1.62
C00203	G00123	2.4.1.92;2.4.1.62
C00203	G00109	2.4.1.92;2.4.1.62
C00203	G00114	2.4.1.92;2.4.1.62
C00203	G10619	;2.4.1.212;2.4.1.37;2.7.4.4;2.7.4.6;2.4.1.174;1.17.4.1;2.4.1.88;2.4.1.155;2.4.1.87;2.4.1.135;2.4.1.150;2.7.1.11;2.4.1.244;2.4.1.80;2.4.1.224;2.4.1.117;2.4.1.226;2.4.1.228;2.4.1.141;2.4.1.201;2.4.1.206;2.4.1.86;2.4.1.198;2.4.1.143;2.4.1.79;2.4.1.11;2.4.1.147;2.4.1.17;5.1.3.14;2.7.4.14;2.4.1.38;2.4.1.133;2.7.1.48;2.4.1.223;2.4.1.149;2.4.1.148;2.4.1.145;2.4.1.144;2.7.1.40;3.2.1.49;2.4.1.94;3.6.1.39;2.4.1.225;2.4.1.101;2.4.1.163;2.4.1.102;2.4.1.90;2.7.4.10;3.6.1.6;2.4.2.26;2.4.1.122;2.4.1.175;2.4.1.134;5.1.3.7;3.6.1.5;2.4.1.40;2.7.7.8;2.4.1.62;2.4.1.47;2.4.1.45;2.4.1.22;2.4.1.92;2.4.1.41;2.4.1.186
C00203	CE5738	2.4.1.92
C00203	G00075	2.4.1.40
C00203	G00074	2.4.1.40
C00203	G00071	2.4.1.37;2.4.1.40
C00203	G00023	2.4.1.102;2.4.1.41
C00203	acgagbside_hs	3.2.1.49
C00203	C00075	;2.7.4.6;1.17.4.1;2.4.1.155;2.4.1.147;2.4.1.150;2.7.1.11;2.4.1.223;2.4.1.224;2.7.4.10;2.4.1.94;2.4.1.201;2.4.1.206;2.4.1.198;2.4.1.143;5.1.3.14;2.4.1.163;2.7.1.48;2.4.1.149;2.4.1.148;2.4.1.145;2.4.1.144;2.7.1.40;2.4.1.141;3.6.1.39;2.4.1.101;2.4.1.102;3.6.1.5;2.4.1.212;5.1.3.7
C00203	C03405	2.4.1.92
C00203	gt2_hs	2.4.1.92
C00203	C04925	2.4.1.88;3.2.1.49
C00203	CN0002	2.4.1.175;2.4.1.226
C00203	G00044	2.4.1.37;2.4.1.40
C00203	G00119	2.4.1.92
C00203	Tn_antigen	3.2.1.49;2.4.1.122
C00203	C06134	2.4.1.92;2.4.1.62
