input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row2	E1	row2_M(C13)+H[1+];row403_M+Na[1+];row763_M+H[1+]	C00245	Taurine	row2	127.0253	220.32	0.174220713060343	2.8027034239054682	C2H7NO3S
row6	E4	row6_M+H[1+]	C01019	6-Deoxy-L-galactose; L-Fucose	row6	165.0755	315.04	0.03186181917555523	-6.147789732678613	
row11	E6	row11_M+Na[1+];row12_M+Na[1+]	C00082;CE2174	L-Tyrosine$	row11	204.0632	217.7	0.668479089715134	0.7420672289413894	
row12	E6	row11_M+Na[1+];row12_M+Na[1+]	C00082;CE2174	L-Tyrosine$	row12	204.0632	219.54	0.8014765989400404	0.45410763344320515	
row30	E9	row30_M+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row30	166.0493	33.58	0.9299477119488403	-0.15698088035919341	
row34	E13	row34_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol	row34	205.0682	197.55	0.581446007823865	0.95100610533015	
row35	E14	row35_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol	row35	205.0682	215.86	0.7591001377427544	0.5446663384234113	
row37	E18	row37_M[1+];row53_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row37	130.0631	272.12	0.4334461443698429	1.3809824008252631	
row41	E22	row41_M+H[1+];row614_M+Na[1+];row67_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan	row41	205.0971	166.16	0.46209429202071217	-1.2729160662065901	C11H12N2O2
row47	E24	row455_M+Na[1+];row47_M(C13)+H[1+]	C00906	5,6-Dihydrothymine	row47	130.0689	272.25	0.30265249489063034	-1.924328814103826	C6H11NS,C6H11NS
row49	E25	row49_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid	row49	131.0338	324.4	0.15753796026804115	2.9535472952018917	C5H6O4
row52	E17	row52_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row52	131.0702	27.67	0.03736112389211613	5.689258096805062	
row53	E18	row37_M[1+];row53_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row53	131.0702	272.39	0.25362388466790275	-2.27416846032622	
row67	E22	row41_M+H[1+];row614_M+Na[1+];row67_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan	row67	206.1004	166.03	0.6626760516955297	-0.7536941413574408	C11H12N2O2
row68	E26	row68_M+H[1+];row87_M(C13)+H[1+]	C02714	N-Acetylputrescine	row68	131.1179	273.04	0.027896810203661526	-6.58744087055012	C6H14N2O
row69	E27	row69_M+H[1+]	C00179	Agmatine; (4-Aminobutyl) guanidine	row69	131.1291	364.71	0.5481682351682257	-1.0274817554367077	
row72	E28	row72_M+H[1+];row92_M(C13)+H[1+]	C00250	Pyridoxal	row72	168.0655	47.5	0.45157738240425477	-1.3120794470288304	C8H9NO3
row79	E32	row79_M+H[1+];row80_M+H[1+];row94_M(C13)+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row79	132.0655	251.56	0.17112369075016562	2.837492554442993	
row80	E32	row79_M+H[1+];row80_M+H[1+];row94_M(C13)+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row80	132.0655	255.78	0.6913284831631071	0.6903408478685645	C5H9NO3
row81	E33	row81_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row81	132.0655	301.78	0.033385792284575846	6.008026341591435	
row82	E34	row508_M+Na[1+];row82_M+H[1+];row97_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row82	132.0768	259.45	0.02793851647399708	-6.5719205718872455	C4H9N3O2
row87	E26	row68_M+H[1+];row87_M(C13)+H[1+]	C02714	N-Acetylputrescine	row87	132.1212	273.04	0.02984655930444231	-6.346150646161837	C6H14N2O
row92	E28	row72_M+H[1+];row92_M(C13)+H[1+]	C00250	Pyridoxal	row92	169.0687	47.63	0.4465693863635426	-1.3329734014295378	C8H9NO3
row94	E32	row79_M+H[1+];row80_M+H[1+];row94_M(C13)+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row94	133.0688	256.17	0.6509471477451958	0.7835054716831041	C5H9NO3
row97	E34	row508_M+Na[1+];row82_M+H[1+];row97_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row97	133.0799	259.45	0.029935937630359042	-6.335773068325304	C4H9N3O2
row170	E42	row170_M+Na[1+];row542_M+H[1+]	C00791		row170	136.0485	259.06	0.881850201152171	0.2743314647369698	C4H7N3O
row171	E43	row171_M+H[1+]	C00093	Glycerol 3-phosphate	row171	173.0209	265.13	0.033705370837494746	-5.988650287945635	
row172	E44	row172_M+H[1+];row776_M+Na[1+]	C00093	Glycerol 3-phosphate	row172	173.0209	299.42	0.0064187752015434155	-12.680585416537483	C3H9O6P
row187	E7	row187_M+H[1+]	C02505	2-Phenylacetamide	row187	136.0757	168.92	0.3564480616161243	-1.674742570467079	C8H9NO
row206	E48	row206_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row206	137.0594	28.07	0.9759683223751382	-0.05368710735125133	
row207	E49	row207_M+Na[1+]	C02727	N6-Acetyl-L-lysine	row207	211.1052	256.3	0.43717031157145214	-1.3663893188590883	C8H16N2O3
row212	E51	row212_M+Na[1+];row456_M[1+];row478_M+H[1+];row496_M(C13)+H[1+]	C00242	Guanine	row212	174.0386	145.81	0.7426102247968214	0.5742112575460524	
row218	E53	row218_M+H[1+];row233_M(C13)+H[1+]	C00108	Anthranilate	row218	138.0549	355.65	0.9244479978576919	-0.17346603139343425	C5H4O2
row228	E54	row228_M+Na[1+];row611_M+H[1+]	C00624	N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid	row228	212.0528	300.47	0.024450815492758116	6.976084948898789	C13H9NS
row232	E55	row232_M+Na[1+]	CE2153		row232	212.0917	28.07	0.45698398720926203	-1.2935612836291435	
row232	E56	row232_M+H[1+]	CE2176	3-O-methyldopa	row232	212.0917	28.07	0.45698398720926203	-1.2935612836291435	
row233	E53	row218_M+H[1+];row233_M(C13)+H[1+]	C00108	Anthranilate	row233	139.0583	355.65	0.564572814121478	-0.9881852600942528	C5H4O2
row237	E57	row237_M+H[1+]	C02693	Indole-3-acetamide	row237	175.0866	32.92	0.34997295881241486	1.7029738420565126	C10H10N2O
row240	E59	row240_M+H[1+]	C00437	N2-Acetyl-L-ornithine	row240	175.1077	246.43	0.00492932918754138	-16.776608224183672	C7H14N2O3
row252	E61	row252_M+H[1+];row882_M+Na[1+]	C01045;C01042	N-Formyl-L-glutamate$N-Acetyl-L-aspartate	row252	176.0553	300.34	0.02427212846948139	-7.000802135064865	C6H9NO5
row253	E62	row253_M+Na[1+];row627_M(C13)+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine	row253	140.0681	216.91	0.21127272755441354	2.533765641505437	
row254	E63	row254_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine	row254	140.0681	227.81	0.512292486261232	1.1170690499791383	
row260	E66	row260_M+Na[1+];row261_M+Na[1+];row262_M+Na[1+];row650_M+H[1+];row677_M(C13)+H[1+]	C05829		row260	213.0481	360.77	0.04724701292342369	-5.144263425651913	C6H10N2O5
row261	E66	row260_M+Na[1+];row261_M+Na[1+];row262_M+Na[1+];row650_M+H[1+];row677_M(C13)+H[1+]	C05829		row261	213.0481	367.49	0.261847517024272	-2.2271974938552845	
row262	E66	row260_M+Na[1+];row261_M+Na[1+];row262_M+Na[1+];row650_M+H[1+];row677_M(C13)+H[1+]	C05829		row262	213.0481	377.61	0.048823912644439485	-5.062634437589908	C6H10N2O5
row273	E70	row273_M+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine	row273	94.0655	168.92	0.35219903924641766	-1.69269392154504	C6H7N
row323	E80	row323_M+Na[1+];row324_M+Na[1+]	C00988	2-Phosphoglycolate	row323	178.9717	242.32	0.6300485407579174	0.830401530707097	
row324	E80	row323_M+Na[1+];row324_M+Na[1+]	C00988	2-Phosphoglycolate	row324	178.9717	246.56	0.0442253827332735	5.273820587280705	
row329	E81	row329_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde	row329	216.0631	299.55	0.006867047832277957	-12.11003912017018	C5H14NO6P
row329	E82	row329_M+H[1+];row346_M(C13)+H[1+];row857_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine	row329	216.0631	299.55	0.006867047832277957	-12.11003912017018	C5H14NO6P
row346	E82	row329_M+H[1+];row346_M(C13)+H[1+];row857_M+Na[1+]	C01233	sn-Glycero-3-phosphoethanolamine	row346	217.0664	299.55	0.008737743196364658	-11.093100723252473	C5H14NO6P
row357	E91	row357_M+H[1+];row387_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol	row357	180.1018	26.62	0.05269734440782666	-4.911843310366456	
row362	E89	row362_M+H[1+];row384_M(C13)+H[1+]	C01035	4-Guanidinobutanoate	row362	146.0923	261.06	0.9397150508355071	0.13365354918121072	C5H11N3O2
row363	E94	row363_M+H[1+];row397_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine	row363	146.1175	27.67	0.02265901667050646	-7.187692273325336	C7H15NO2
row364	E95	row364_M+H[1+];row398_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine	row364	146.1175	330.99	0.030378783887276013	-6.286451417801619	C7H15NO2
row369	E98	row369_M+H[1+];row401_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine	row369	146.1651	28.85	0.2957324525071069	-2.051661340000492	C7H19N3
row384	E89	row362_M+H[1+];row384_M(C13)+H[1+]	C01035	4-Guanidinobutanoate	row384	147.0956	261.19	0.9167642160117501	0.19529490242640274	C5H11N3O2
row387	E91	row357_M+H[1+];row387_M(C13)+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol	row387	181.105	26.62	0.06101905329148079	-4.630929786687449	
row392	E102	row392_M+H[1+];row433_M(C13)+H[1+];row962_M+Na[1+]	C03740	5-L-Glutamyl-L-alanine	row392	219.0975	220.72	0.4338285827096769	1.378594302275127	C8H14N2O5
row393	E103	row393_M+H[1+];row394_M+H[1+];row434_M(C13)+H[1+]	C03740	5-L-Glutamyl-L-alanine	row393	219.0975	334.41	0.4032833285645868	-1.487502710005443	
row394	E103	row393_M+H[1+];row394_M+H[1+];row434_M(C13)+H[1+]	C03740	5-L-Glutamyl-L-alanine	row394	219.0975	344.12	0.02964743191576186	-6.362006757444073	C8H14N2O5
row395	E104	row395_M+H[1+];row435_M(C13)+H[1+];row963_M+Na[1+]	C03740	5-L-Glutamyl-L-alanine	row395	219.0975	361.56	0.032676389195554524	-6.074160949049053	C8H14N2O5
row396	E106	row396_M+H[1+]	C00978	N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine	row396	219.1127	27.8	0.11825075440585284	3.449700425022641	C12H14N2O2
row397	E94	row363_M+H[1+];row397_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine	row397	147.1208	27.67	0.01179000931250448	-9.568829393208828	C7H15NO2
row398	E95	row364_M+H[1+];row398_M(C13)+H[1+]	C05543	3-Dehydroxycarnitine	row398	147.1208	330.86	0.03977919220920486	-5.546605379632829	C7H15NO2
row401	E98	row369_M+H[1+];row401_M(C13)+H[1+]	CE5586;C00315	dehydrospermidine$Spermidine	row401	147.1684	28.85	0.4797979159298757	-1.2265270697813737	C7H19N3
row403	E1	row2_M(C13)+H[1+];row403_M+Na[1+];row763_M+H[1+]	C00245	Taurine	row403	148.0038	220.19	0.12524941081797275	3.33929609806031	C2H7NO3S
row413	E100	row413_M+H[1+];row431_M(C13)+H[1+]	C02356;C01026;C00334;C05145;C01205;C03284	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$N,N-Dimethylglycine; Dimethylglycine$4-Aminobutanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$D-3-Amino-isobutanoate$L-3-Amino-isobutanoate	row413	104.0709	283.21	0.29908968769286515	2.0210468921500215	C4H9NO2
