pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Methionine and cysteine metabolism	5	9	0.02125871775481052	E1,E220,E469,E160,E223	C00245,C02712,C00440,C00519,C00021	Taurine$N-Acetylmethionine$5-Methyltetrahydrofolate$Hypotaurine$S-Adenosyl-L-homocysteine
Pyrimidine metabolism	6	15	0.06453239223594656	E355,E362,E16,E210,E132,E310	,,,,,	$$$$$
Urea cycle/amino group metabolism	9	25	0.0650365515502899	E217,E307,E35,E216,E183,E21,E223,E132,E246	C00547,C04441,C00300,C00547,,C05589/C00788,C00021,,	Norepinephrine$Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine$Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine$Norepinephrine$$L-Normetanephrine/L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol$S-Adenosyl-L-homocysteine$$
Lysine metabolism	3	6	0.07436349886564154	E142,E223,E118	,C00021,	$S-Adenosyl-L-homocysteine$
Pyruvate Metabolism	1	1	0.15225611293168642	E405		
Glyoxylate and Dicarboxylate Metabolism	1	1	0.15225611293168642	E97		
Fatty Acid Metabolism	1	1	0.15225611293168642	E17		
Vitamin B12 (cyanocobalamin) metabolism	1	1	0.15225611293168642	E223	C00021	S-Adenosyl-L-homocysteine
Ubiquinone Biosynthesis	1	1	0.15225611293168642	E223	C00021	S-Adenosyl-L-homocysteine
Selenoamino acid metabolism	1	1	0.15225611293168642	E469	C00440	5-Methyltetrahydrofolate
Vitamin B9 (folate) metabolism	2	4	0.16065876817074196	E469,E73	C00440,	5-Methyltetrahydrofolate$
Glycerophospholipid metabolism	6	19	0.20115956642298966	E327,E53,E447,E223,E102,E466	,,,C00021,,	$$$S-Adenosyl-L-homocysteine$$
Tyrosine metabolism	9	30	0.20292412402319132	E197,E217,E216,E21,E236,E223,E55,E331,E282	,C00547,C00547,C05589/C00788,,C00021,,,	$Norepinephrine$Norepinephrine$L-Normetanephrine/L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol$$S-Adenosyl-L-homocysteine$$$
Vitamin B6 (pyridoxine) metabolism	2	5	0.20973027476682632	E216,E217	C00547,C00547	Norepinephrine$Norepinephrine
Aspartate and asparagine metabolism	7	24	0.23334173598857239	E112,E26,E127,E17,E155,E132,E78	,C02714,,,,,	$N-Acetylputrescine$$$$$
Histidine metabolism	1	2	0.23695487774136628	E223	C00021	S-Adenosyl-L-homocysteine
Glycosphingolipid biosynthesis - ganglioseries	3	11	0.2955213847575834	E439,E438,E501	,,	$$
Biopterin metabolism	2	7	0.29728594235778505	E469,E282	C00440,	5-Methyltetrahydrofolate$
Glycine, serine, alanine and threonine metabolism	5	19	0.29728594235778505	E405,E97,E35,E223,E132	,,C00300,C00021,	$$Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine$S-Adenosyl-L-homocysteine$
Valine, leucine and isoleucine degradation	2	7	0.29728594235778505	E132,E20	,	$
Vitamin B5 - CoA biosynthesis from pantothenate	1	3	0.30140324342492225	E136		
Bile acid biosynthesis	1	3	0.30140324342492225	E1	C00245	Taurine
CoA Catabolism	1	3	0.30140324342492225	E136		
Alanine and Aspartate Metabolism	1	3	0.30140324342492225	E73		
Glutamate metabolism	1	3	0.30140324342492225	E132		
Beta-Alanine metabolism	1	3	0.30140324342492225	E132		
Squalene and cholesterol biosynthesis	1	4	0.3559364759263927	E487		
Aminosugars metabolism	2	9	0.37156541467103604	E466,E501	,	$
Keratan sulfate degradation	1	5	0.401814973531636	E497		
Drug metabolism - cytochrome P450	1	5	0.401814973531636	E101		
Butanoate metabolism	1	5	0.401814973531636	E132		
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	5	0.401814973531636	E223	C00021	S-Adenosyl-L-homocysteine
Pentose and Glucuronate Interconversions	1	5	0.401814973531636	E362		
Pentose phosphate pathway	1	5	0.401814973531636	E238		
Starch and Sucrose Metabolism	2	10	0.403327451474666	E470,E362	,	$
Androgen and estrogen biosynthesis and metabolism	1	6	0.4244181161246954	E223	C00021	S-Adenosyl-L-homocysteine
Xenobiotics metabolism	1	6	0.4244181161246954	E417		
N-Glycan Degradation	1	6	0.4244181161246954	E497		
