input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row2	E1	row2_M(C13)+H[1+];row445_M+Na[1+];row885_M+H[1+]	C00245	Taurine	row2	127.0253	220.32	0.005125301476652815	6.816713910103609	C2H7NO3S
row7	E4	row7_M+H[1+];row872_M[1+]	C01019	6-Deoxy-L-galactose; L-Fucose	row7	165.0755	315.04	0.6859872674228238	-0.4754794319970982	
row27	E6	row27_M+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row27	166.0493	33.58	0.0027426323344069566	8.316282850014792	
row35	E10	row35_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol	row35	205.0682	197.55	0.017798093534243768	-4.578180847249127	
row36	E11	row36_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol	row36	205.0682	215.86	0.044165846835323215	-3.3643711597071655	
row43	E15	row43_M+H[1+];row709_M+Na[1+];row75_M(C13)+H[1+]	C00078;C00525	L-Tryptophan$D-Tryptophan	row43	205.0971	166.16	0.9383933769603677	0.09512725904673702	C11H12N2O2
row49	E16	row49_M(C13)+H[1+];row515_M+Na[1+]	C00906	5,6-Dihydrothymine	row49	130.0689	272.25	0.0008016784351752505	12.370003081892069	C6H11NS,C6H11NS
row50	E17	row50_M+H[1+];row51_M+H[1+]	C02571	O-Acetylcarnitine	row50	205.1317	410.4	4.900222246155721e-05	32.62826110348028	
row51	E17	row50_M+H[1+];row51_M+H[1+]	C02571	O-Acetylcarnitine	row51	205.1317	411.84	1.220875749961004e-06	142.41374597169428	
row53	E18	row53_M+H[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid	row53	131.0338	324.4	5.004626850492359e-06	77.42867080988758	C5H6O4
row56	E19	row56_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row56	131.0702	27.67	0.003168474344852834	-7.957449316588902	
row57	E20	row57_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	row57	131.0702	272.39	0.0012144857585238656	10.816464309927444	
row67	E22	row67_M+Na[1+];row68_M+Na[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol	row67	206.0788	349.28	0.02685045365310794	3.997209922845214	C9H13NO3
