EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row482	row482_M+Na[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid
E2	row7	row7_M+H[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid
E3	row8	row8_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E4	row9	row9_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E5	row10	row10_M+Na[1+]	C00483;C01183;C02735	Tyramine$N,N-Dimethylaniline N-oxide$Phenylethanolamine; 2-Amino-1-phenylethanol
E6	row12;row13;row14;row15	row12_M+H[1+];row13_M+H[1+];row14_M+H[1+];row15_M+H[1+]	C09815	Benzamide
E8	row23	row23_M+H[1+]	C00804	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate
E9	row28;row29	row28_M+H[1+];row29_M+H[1+]	C00322	2-Oxoadipate
E11	row43;row68	row43_M+H[1+];row68_M(C13)+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate
E16	row102;row92	row102_M(C13)+H[1+];row92_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E17	row93	row93_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E23	row101	row101_M+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate
E25	row714	row714_M+Na[1+]	CE5542	noradrenochrome o-semiquinone
E33	row1204;row276	row1204_M+HCOONa[1+];row276_M+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E34	row113	row113_M+Na[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E35	row277	row277_M+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E36	row114	row114_M+H[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome
E43	row163	row163_M+H[1+]	C00534	Pyridoxamine
E44	row164	row164_M+H[1+]	C00534	Pyridoxamine
E45	row173	row173_M+Na[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E48	row177	row177_M+Na[1+]	C00791	
E49	row189	row189_M+Na[1+]	C02670;C00072;glac	D-glucurono-6,3-lactone$L-Ascorbate$D-glucurono-6,3-lactone
