pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Drug metabolism - cytochrome P450	5	6	0.004117301067137215	E221,E101,E222,E197,E306	C06174/C05176,C05635/C16596,C06174/C05176,C16576/C01516,C16577	Codeine; (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol/(S)-N-Methylcoclaurine; (S)-1,2,3,4-Tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-2-methyl-7-isoquinolinol$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$Codeine; (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol/(S)-N-Methylcoclaurine; (S)-1,2,3,4-Tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-2-methyl-7-isoquinolinol$Norcodeine; N-Desmethylcodeine/Morphine$Codeine-6-glucuronide
Galactose metabolism	4	5	0.009999159734476095	E125,E60,E98,E59	C01074/C00645/C00140,C01040/C05394/C00198,C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159,C01040/C05394/C00198	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone/3-Keto-beta-D-galactose/D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone$D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose$L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone/3-Keto-beta-D-galactose/D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
Fatty Acid Metabolism	2	2	0.029073187127132173	E176,E160	vacc/ocdcea,lneldc/ocdcya	vaccenic acid/octadecenoate (n-C18:1)$linoelaidic acid (all trans C18:2)/octadecadienoate (n-C18:2)
N-Glycan Degradation	2	2	0.029073187127132173	E98,E125	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159,C01074/C00645/C00140	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Fatty acid activation	2	2	0.029073187127132173	E176,E160	vacc/ocdcea,lneldc/ocdcya	vaccenic acid/octadecenoate (n-C18:1)$linoelaidic acid (all trans C18:2)/octadecadienoate (n-C18:2)
Sialic acid metabolism	4	6	0.02966137299386606	E125,E60,E98,E59	C01074/C00645/C00140,C01040/C05394/C00198,C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159,C01040/C05394/C00198	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone/3-Keto-beta-D-galactose/D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone$D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose$L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone/3-Keto-beta-D-galactose/D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
Glycerophospholipid metabolism	4	6	0.02966137299386606	E182,E253,E280,E98	C00219,C01225,C00019,C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	arachidonic acid$sn-glycero-3-Phospho-1-inositol; 1-(sn-glycero-3-Phospho)-1D-myo-inositol$S-Adenosyl-L-methionine$D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Arachidonic acid metabolism	3	4	0.030921771279724394	E182,E267,E265	C00219,CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088,CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088	arachidonic acid$/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3$/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3
Leukotriene metabolism	3	4	0.030921771279724394	E182,E267,E265	C00219,CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088,CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088	arachidonic acid$/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3$/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3
Glycine, serine, alanine and threonine metabolism	3	5	0.07007814469372321	E100,E280,E93	,C00019,	$S-Adenosyl-L-methionine$
Pyrimidine metabolism	5	10	0.08923619863876985	E73,E89,E261,E134,E110	,,,,	$$$$
Putative anti-Inflammatory metabolites formation from EPA	2	3	0.0953701369632804	E267,E265	CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088,CE7114/CE2053/CE5138/CE5661/CE7115/CE7113/CE7112/CE7088	/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3$/20-oxo-leukotriene B4/12-oxo-20-hydroxy-leukotriene B4/15-oxo-lipoxin A4/20-hydroxy-leukotriene B5/15-epi-lipoxin B5/15-epi-lipoxin A5/PGH3
De novo fatty acid biosynthesis	2	3	0.0953701369632804	E182,E169	C00219,	arachidonic acid$
Vitamin A (retinol) metabolism	2	3	0.0953701369632804	E157,E169	,	$
Hyaluronan Metabolism	1	1	0.132677926224687	E125	C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Vitamin B2 (riboflavin) metabolism	1	1	0.132677926224687	E241		
Keratan sulfate degradation	1	1	0.132677926224687	E125	C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Glycosphingolipid biosynthesis - globoseries	1	1	0.132677926224687	E98	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Androgen and estrogen biosynthesis and metabolism	1	1	0.132677926224687	E280	C00019	S-Adenosyl-L-methionine
Glycosphingolipid metabolism	1	1	0.132677926224687	E98	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Vitamin B12 (cyanocobalamin) metabolism	1	1	0.132677926224687	E280	C00019	S-Adenosyl-L-methionine
Omega-6 fatty acid metabolism	1	1	0.132677926224687	E182	C00219	arachidonic acid
Fructose and mannose metabolism	3	6	0.14351735148306866	E307,E193,E98	,,C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	$$D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Tryptophan metabolism	6	14	0.15712965297033862	E184,E101,E280,E68,E120,E185	,C05635/C16596,C00019,,,	$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$S-Adenosyl-L-methionine$$$
Phosphatidylinositol phosphate metabolism	3	7	0.19418536257457356	E269,E253,E98	,C01225,C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	$sn-glycero-3-Phospho-1-inositol; 1-(sn-glycero-3-Phospho)-1D-myo-inositol$D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Pentose phosphate pathway	3	7	0.19418536257457356	E60,E98,E59	C01040/C05394/C00198,C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159,C01040/C05394/C00198	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone/3-Keto-beta-D-galactose/D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone$D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose$L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone/3-Keto-beta-D-galactose/D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
N-Glycan biosynthesis	1	2	0.23636669187463238	E98	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Heparan sulfate degradation	1	2	0.23636669187463238	E125	C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Prostaglandin formation from arachidonate	1	2	0.23636669187463238	E182	C00219	arachidonic acid
Ubiquinone Biosynthesis	1	2	0.23636669187463238	E280	C00019	S-Adenosyl-L-methionine
Starch and Sucrose Metabolism	1	2	0.23636669187463238	E98	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Ascorbate (Vitamin C) and Aldarate Metabolism	2	5	0.24434921435173515	E60,E59	C01040/C05394/C00198,C01040/C05394/C00198	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone/3-Keto-beta-D-galactose/D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone$L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone/3-Keto-beta-D-galactose/D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
Methionine and cysteine metabolism	2	5	0.24434921435173515	E92,E280	,C00019	$S-Adenosyl-L-methionine
Glycolysis and Gluconeogenesis	1	3	0.29283253508108564	E98	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Hexose phosphorylation	1	3	0.29283253508108564	E98	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose
Butanoate metabolism	1	3	0.29283253508108564	E84		
Glutathione Metabolism	1	3	0.29283253508108564	E17		
Aminosugars metabolism	1	3	0.29283253508108564	E125	C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Arginine and Proline Metabolism	2	7	0.3108142172926645	E280,E17	C00019,	S-Adenosyl-L-methionine$
