SOURCE	TARGET	ENZYMES
ksi_deg28	C00140	3.2.1.52
C03546	C00137	3.1.3.25
C00081	C00159	2.7.1.1
C00081	C00031	;2.7.1.1
C00329	C00140	;3.5.1.33;3.2.1.31;3.2.1.25;2.3.1.3;3.2.1.52;2.7.1.8;3.10.1.1;5.1.3.8;2.7.1.59;3.2.1.50;2.7.1.1;3.2.1.96;2.4.1.90;3.1.4.45;3.2.1.14
C00357	C00140	2.7.1.1;2.7.1.59;2.7.1.8
m2mn	C00140	3.2.1.52
m2mn	C00159	3.2.1.24
G10531	C00221	3.2.1.23
G10531	C00267	3.2.1.23
C00208	C00031	3.2.1.20;3.2.1.10;
C00208	C00267	3.2.1.20;3.2.1.10;3.2.1.3
C06037	C00137	3.2.1.22
C06037	C00159	3.2.1.22
C06037	C00031	3.2.1.22
ksi_deg34	C00140	3.2.1.52
C01172	C00221	2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
n2m2nm	C00140	3.2.1.96
C00385	C16615	2.4.2.8
C00137	C15585	3.1.3.25
C00137	C03692	3.2.1.22
C00137	C01225	3.1.4.44
C00137	C01613	3.2.1.22
C00137	C05404	3.2.1.22
C00137	C05399	3.2.1.22
C00137	G00092	3.2.1.22
C00137	C01290	3.2.1.22
C00137	C05400	3.2.1.22
C00137	C00416	3.1.4.4
C00137	G01275	3.2.1.22
C00137	C05401	3.2.1.22
C00137	cdpdag_hs	2.7.8.11
C00137	C00159	3.2.1.22
C00137	G10529	3.2.1.22
C00137	G11121	3.2.1.22
C00137	G00501	3.2.1.22
C00137	C00492	3.2.1.22
C00137	pail_hs	3.2.1.22;3.1.4.4;3.1.4.3;1.13.99.1;3.1.3.25;2.4.1.198;3.1.4.44;2.7.8.11
C00137	C00089	3.2.1.22
C00137	C02686	3.2.1.22
C00137	C00031	3.2.1.22
C00137	G00370	3.2.1.22
C00137	C00191	1.13.99.1
C00137	C00124	3.2.1.22
C00137	C01235	3.2.1.22
C00137	C00794	3.2.1.22
C00137	G10488	3.2.1.22
C00137	C04006	3.1.3.25
C00137	G00278	3.2.1.22
C00137	G00093	3.2.1.22
C00137	C00269	2.7.8.11
C00137	C01194	2.7.8.11;2.4.1.198;3.1.4.4;3.1.4.3;3.1.3.25
C00137	C00055	2.7.8.11
C00137	C01177	2.7.8.11;2.4.1.198;3.1.4.4;3.1.4.3;3.1.3.25
C00137	G10621	2.7.8.11
C00137	C04737	3.2.1.22
C00137	C05402	3.2.1.22
C00137	G00497	3.2.1.22
C00137	C00116	3.2.1.22
C00137	G00249	3.2.1.22
C00137	C00093	3.1.4.44;2.7.8.11;3.1.4.3
C00137	C06126	3.2.1.22
G10609	C00140	2.4.1.90
C02052	C00267	3.2.1.1
s2l2n2m2m	C00140	3.2.1.96
ksi_deg37	C00140	3.2.1.52
C03518	C00140	3.2.1.14
ksi_deg10	C00140	3.2.1.52
f1a	C00140	3.2.1.52
C03692	C00159	3.2.1.22
C03692	C00031	3.2.1.22
gluside_hs	C00031	3.2.1.45
C00270	C00645	2.5.1.56;4.1.3.3
C00074	C00645	2.5.1.57;2.5.1.56;2.7.1.60;;5.1.3.14;4.2.1.11;4.1.3.3;4.1.1.32;5.1.3.8;2.7.1.40
glygn5	C00031	3.2.1.10
C00052	C00140	;2.4.1.90
C00052	C00031	;2.4.1.22
G00011	C00159	3.2.1.113
C00655	C16615	2.4.2.8
G00014	C00159	3.2.1.114
glygn2	C00031	3.2.1.33;3.2.1.1;2.4.1.1
G10504	C00221	3.2.1.23
G10504	C00267	3.2.1.23
C00020	C16615	2.4.2.8
C00020	C00031	;2.7.1.147
C00668	C00267	2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
n2m2nmn	C00140	3.2.1.52;3.2.1.96
ksi_deg2	C00140	3.2.1.96
C00206	C00159	2.7.1.1
C00206	C00031	2.7.1.1
C05838	C00031	3.2.1.21
strch2	C00031	3.2.1.10;3.2.1.1
C04646	C16615	2.1.1.67;2.4.2.8
C01083	C00031	3.2.1.28
ksi_deg29	C00140	3.2.1.52
C01132	C00140	;3.2.1.52
C00369	C00267	3.2.1.33;3.2.1.1;3.2.1.3
G00124	C00221	3.2.1.23
G00124	C00267	3.2.1.23
Tyr-ggn	C00031	3.2.1.33;2.4.1.1
C01613	C00159	3.2.1.22
C01613	C00031	3.2.1.22
C00984	C01290	3.2.1.22
C00984	C04737	3.2.1.22
C02336	C00089	3.2.1.20;3.2.1.22;3.2.1.26;2.7.1.4;2.7.1.1;3.2.1.48
C02336	C05345	2.7.1.4;2.7.1.1
C02336	C00267	3.2.1.20;3.2.1.48;2.7.1.1;3.2.1.26
C05404	C00159	3.2.1.22
C05404	C00031	3.2.1.22
strch1	C00031	3.2.1.10;3.2.1.1
G06780	C00140	3.2.1.52
G06780	C00221	3.2.1.23
G06780	C00267	3.2.1.23
C05399	C00159	3.2.1.22
C05399	C00031	3.2.1.22
G13033	C00140	3.2.1.52
C01335	C00267	3.2.1.21
ksi_deg14	C00140	3.2.1.52
CE2839	C00267	3.2.1.1
C00140	ksi_deg25	3.2.1.52
C00140	hs_deg9	3.2.1.31;3.2.1.50
C00140	G10336	3.2.1.52
C00140	G00092	3.2.1.52
C00140	hs_deg25	3.2.1.50
C00140	C01290	3.2.1.52
C00140	G10483	3.2.1.14
C00140	hs_deg4	3.2.1.50
C00140	ksi_deg40	3.2.1.52
C00140	ksi_deg17	3.2.1.52
C00140	C00010	;2.3.1.3
C00140	ksii_core4_deg4	3.2.1.52
C00140	hs_deg24	3.2.1.50
C00140	n2m2mn	3.2.1.52
C00140	ksi_deg20	3.2.1.52
C00140	C00159	2.7.1.1;3.2.1.25
C00140	ksi_deg41	3.2.1.52
C00140	C00645	;5.1.3.8
C00140	G00123	3.2.1.52
C00140	ksi_deg31	3.2.1.52
C00140	ksii_core2_deg7	3.2.1.52
C00140	ksi_deg8	3.2.1.52
C00140	C03000	5.1.3.8
C00140	ksi_deg7	3.2.1.52
C00140	ksi_deg38	3.2.1.52
C00140	hs_deg21	3.2.1.50
C00140	ksi_deg23	3.2.1.52
C00140	hs_deg3	3.10.1.1;3.2.1.50
C00140	C00015	;2.4.1.90
C00140	ha_pre1	3.2.1.31;3.2.1.52
C00140	C00191	;3.2.1.31
C00140	C00033	;3.5.1.33
C00140	G00108	3.2.1.52
C00140	ksii_core2_deg4	3.2.1.52
C00140	ksi_deg39	3.2.1.52
C00140	hs_deg14	3.10.1.1;3.2.1.50
C00140	ksi_deg11	3.2.1.52
C00140	C00024	;2.3.1.3
C00140	G08421	3.2.1.52
C00140	C00611	;2.4.1.90
C00140	ksii_core2_deg8	3.2.1.52
C00140	ksi_deg35	3.2.1.52
C00140	chtn	3.2.1.14
C00140	hs_deg20	3.10.1.1;3.2.1.50
C00140	G00109	3.2.1.52
C00140	hs_deg15	3.2.1.50
C00140	G00093	3.2.1.52
C00140	C04010	3.1.4.45
C00140	C06135	3.2.1.52
C00140	ksi_deg19	3.2.1.52
C00140	ksi_deg13	3.2.1.52
C00140	ksi_deg32	3.2.1.52
