input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row23	E1	row23_M+H[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid	row23	191.0556	377.3	0.9997381186948713	-0.0003491750823743499	C7H12O6,C7H14O7
row24	E2	row24_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row24	160.0607	170.45	0.6183804816247859	1.527364574887506	C6H13NO5
row25	E3	row25_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row25	160.0607	193.78	0.5958120482413929	2.7247421897359168	C6H13NO5
row26	E4	row26_M+Na[1+]	C00483;C01183;C02735	Tyramine$N,N-Dimethylaniline N-oxide$Phenylethanolamine; 2-Amino-1-phenylethanol	row26	160.0738	293.2	0.9961990240547633	-0.015705997660583615	C7H12O4
row28	E6	row28_M+H[1+]	C00804	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate	row28	71.0127	301.08	0.5958120482413929	1.908599867136971	
row33	E8	row33_M+H[1+];row34_M+H[1+]	C00322	2-Oxoadipate	row33	161.0449	242.72	0.5958120482413929	1.9230157014463582	C6H12O6,C6H10O5
row34	E8	row33_M+H[1+];row34_M+H[1+]	C00322	2-Oxoadipate	row34	161.0449	245.47	0.8127371741194629	0.7138655622466799	C6H12O6,C6H10O5
row52	E10	row52_M+H[1+];row70_M(C13)+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate	row52	193.0348	307.77	0.6563737545943353	1.331627415947908	C6H10O7
row70	E10	row52_M+H[1+];row70_M(C13)+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate	row70	194.0382	307.77	0.938066176811556	0.265560984950384	C10H9NO,C10H12ClNO2
row96	E14	row107_M(C13)+H[1+];row96_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row96	130.05	184.53	0.5958120482413929	1.9113061661565565	
row97	E15	row97_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row97	130.05	299.9	0.32599042703154313	4.5047695309121085	
row106	E21	row106_M+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row106	166.0502	47.59	0.8781900623804427	0.4610257826746861	C6H6N4O2,C8H9NO3,C8H8NO3,C8H11NO4
row107	E14	row107_M(C13)+H[1+];row96_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row107	131.0533	184.13	0.5958120482413929	1.9232373450264941	C6H12OS
