pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Glutamate metabolism	1	2	0.007730442819931098	E181	C00669	gamma-L-Glutamyl-L-cysteine
Vitamin B1 (thiamin) metabolism	1	3	0.012856062515754978	E9	C00322	2-Oxoadipate
Glutathione Metabolism	1	4	0.019830266364171078	E181	C00669	gamma-L-Glutamyl-L-cysteine
Lysine metabolism	1	8	0.035963364423157715	E9	C00322	2-Oxoadipate
Aspartate and asparagine metabolism	1	9	0.03856818754726494	E181	C00669	gamma-L-Glutamyl-L-cysteine
Tryptophan metabolism	1	13	0.04562641794807159	E9	C00322	2-Oxoadipate
Urea cycle/amino group metabolism	1	13	0.04562641794807159	E40	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
Pyrimidine metabolism	1	14	0.047559028653054364	E57	C00438	N-Carbamoyl-L-aspartate
Vitamin D3 (cholecalciferol) metabolism	0	0	0.05293672800604991			
Hyaluronan Metabolism	0	1	0.05293672800604991			
N-Glycan biosynthesis	0	3	0.05293672800604991			
Glycolysis and Gluconeogenesis	0	5	0.05293672800604991			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.05293672800604991			
R Group Synthesis	0	0	0.05293672800604991			
C5-Branched dibasic acid metabolism	0	0	0.05293672800604991			
Pyruvate Metabolism	0	0	0.05293672800604991			
Sialic acid metabolism	0	6	0.05293672800604991			
Chondroitin sulfate degradation	0	1	0.05293672800604991			
Di-unsaturated fatty acid beta-oxidation	0	0	0.05293672800604991			
Putative anti-Inflammatory metabolites formation from EPA	0	1	0.05293672800604991			
Linoleate metabolism	0	5	0.05293672800604991			
Hexose phosphorylation	0	4	0.05293672800604991			
Vitamin B2 (riboflavin) metabolism	0	1	0.05293672800604991			
Squalene and cholesterol biosynthesis	0	0	0.05293672800604991			
Galactose metabolism	0	5	0.05293672800604991			
Keratan sulfate degradation	0	1	0.05293672800604991			
Glycerolipid metabolism	0	0	0.05293672800604991			
Carnitine shuttle	0	2	0.05293672800604991			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.05293672800604991			
Alkaloid biosynthesis II	0	0	0.05293672800604991			
Glycosphingolipid biosynthesis - globoseries	0	1	0.05293672800604991			
Histidine metabolism	0	5	0.05293672800604991			
