SOURCE	TARGET	ENZYMES
C00020	C00777	
C06613	C16586	1.1.1.1
C06613	C16596	1.1.1.1
C00582	C04148	6.2.1.30;2.3.1.14
C05647	C05642	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05647	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00576	C16586	1.1.1.1
C00576	C16596	1.1.1.1
C07645	C16586	1.2.1.5;1.1.1.1
C07645	C16596	1.1.1.1
C02700	C05642	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C02700	C00643	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C02909	C16586	1.1.1.1
C02909	C16596	1.1.1.1
C00058	C05642	;3.5.1.9;1.14.14.1
C00058	CE5860	
C05642	C00525	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C00780	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C05642	CE5860	
C05642	C00704	
C05642	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C01598	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C15605	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C05642	C00027	;1.4.3.4
C02050	C06428	3.1.2.2
C06611	C16586	1.1.1.1
C06611	C16596	1.1.1.1
C03242	C06428	3.1.2.2
C00154	C06428	3.1.2.2
C16679	C00777	1.2.3.11;;1.2.1.36;1.14.14.1;2.4.1.17
C16587	C16586	1.2.1.5;1.1.1.1
C16587	C16596	1.1.1.1
C01342	C00322	
C14099	C16586	1.1.1.1
C14099	C16596	1.1.1.1
