SOURCE	TARGET	ENZYMES
C00956	C00322	2.6.1.39
C00051	C00669	;6.3.2.3;2.3.2.4;1.8.4.4
C02220	C00322	
C01342	C00322	
C15973	C00322	2.3.1.61;1.2.4.2
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00669	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00322	;2.6.1.39;1.2.4.2;2.3.1.61
C01879	C00151	2.3.2.4;3.4.11.1;3.4.11.2
C01879	C00669	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C01879	C00041	;2.3.1.1;4.4.1.1;3.4.11.1;3.4.11.2;6.3.2.3;2.3.2.4;2.8.1.7
C01879	C03740	2.3.2.4;3.4.11.1;3.4.11.2
C01879	C00097	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C05381	C00322	1.2.4.2
C00026	C00322	;2.6.1.39;1.2.4.2;2.3.1.61
C15972	C00322	2.3.1.61;1.2.4.2
C16254	C00322	2.3.1.61;1.2.4.2
C00669	C00037	;2.3.1.1;4.4.1.1;3.4.11.1;3.4.11.2;6.3.2.3;2.3.2.4;2.8.1.7
C00669	C00097	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C00068	C00322	1.2.4.2
C00091	C00322	2.3.1.61;1.2.4.2
C00248	C00322	1.2.4.2
C00322	C00010	;2.3.1.61;1.2.4.2
C00322	C00527	2.3.1.61;1.2.4.2
C00322	C06157	2.3.1.61;1.2.4.2
