SOURCE	TARGET	ENZYMES
C00643	C15605	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C05642	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C01598	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C00780	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C00078	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C02700	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C00525	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00643	C05647	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C15605	C02700	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C05653	C02700	3.5.1.9;3.7.1.3
C05653	C02406	3.5.1.9;3.7.1.3
C05642	C02700	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C01598	C02700	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C02700	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C05648	C02700	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00078	C02700	;1.4.3.2;1.13.11.11;1.13.11.52;6.1.1.2;1.14.16.4;3.5.1.9;4.1.1.28;3.7.1.3
C00078	C02406	1.13.11.11;3.5.1.9;3.7.1.3
C00328	C02700	3.5.1.9;3.7.1.3
C00328	C02406	3.5.1.49;3.5.1.9;3.7.1.3
C00058	C02700	;3.5.1.9
C00058	C02406	3.5.1.49;3.5.1.9
C02700	C00041	;3.7.1.3
C02700	C00525	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C02700	C05647	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00041	C01879	;2.3.1.1;4.4.1.1;3.4.11.1;3.4.11.2;6.3.2.3;2.3.2.4;2.8.1.7
C00041	C02406	3.7.1.3
