EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row359	row359_M+Na[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid
E2	row6	row6_M+H[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid
E3	row7	row7_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E4	row8	row8_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E6	row10	row10_M+H[1+]	C00804	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate
E7	row13;row14	row13_M+H[1+];row14_M+H[1+]	C00322	2-Oxoadipate
E8	row23	row23_M+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate
E12	row55;row63	row55_M+H[1+];row63_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E13	row56	row56_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E18	row62	row62_M+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate
E20	row551	row551_M+Na[1+]	CE5542	noradrenochrome o-semiquinone
E28	row77	row77_M+Na[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E29	row78	row78_M+H[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome
E34	row125	row125_M+Na[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E35	row126	row126_M+Na[1+]	C00791	
E36	row134	row134_M+Na[1+]	C02670;C00072;glac	D-glucurono-6,3-lactone$L-Ascorbate$D-glucurono-6,3-lactone
E37	row146	row146_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E40	row1111	row1111_M+H[1+]	C05606	Melanin
E41	row150;row172	row150_M+H[1+];row172_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol
E43	row156	row156_M+H[1+]	C00108	Anthranilate
E47	row385;row386	row385_M+Na[1+];row386_M+Na[1+]	C00900;C06010	2-Acetolactate$(S)-2-Acetolactate; (S)-2-Hydroxy-2-methyl-3-oxobutanoate
E48	row169;row170	row169_M+Na[1+];row170_M+Na[1+]	C01040;C05394;C00198	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone$3-Keto-beta-D-galactose$D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
E49	row322	row322_M+H[1+]	C01040;C05394;C00198	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone$3-Keto-beta-D-galactose$D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone
E50	row175	row175_M+Na[1+]	C00122	Fumarate
E59	row250	row250_M+H[1+]	C01045;C01042	N-Formyl-L-glutamate$N-Acetyl-L-aspartate
E63	row254	row254_M+H[1+]	C05130	Imidazole-4-acetaldehyde; Imidazole acetaldehyde
E65	row276;row303	row276_M[1+];row303_M+H[1+]	C06006	(S)-2-Aceto-2-hydroxybutanoate; (S)-2-Hydroxy-2-ethyl-3-oxobutanoate
E66	row287	row287_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E67	row302	row302_M+H[1+]	C02512;C00429	Beta cyanoalanine$5,6-dihydrouracil
E68	row313;row314	row313_M+Na[1+];row314_M+Na[1+]	C01029;C00612	$N1-Acetylspermidine
E69	row320;row331	row320_M+H[1+];row331_M(C13)+H[1+]	C01180	2-keto-4-methylthiobutyrate
E70	row322;row541	row322_M+Na[1+];row541_M+HCOONa[1+]	CE2026	3-methylcrotonoylglycine
E72	row345;row577	row345_M+Na[1+];row577_M+H[1+]	C00624	N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid
E75	row353	row353_M+H[1+]	CE5665	leukoaminochrome
E76	row365;row383	row365_M+H[1+];row383_M(C13)+H[1+]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$alpha-D-Galactose$D-Mannose
E78	row365	row365_M+Na[1+]	CE4970;CE4968	2-methylbutyrylglycine$isovalerylglycine
E79	row380	row380_M+Na[1+]	C05635;C16596	5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione
E82	row389	row389_M+H[1+]	C00082;CE2174	L-Tyrosine$
E86	row406;row407	row406_M+H[1+];row407_M+H[1+]	C00135	L-Histidine
E87	row416	row416_M+H[1+]	C00295	Orotate
E88	row424;row425;row957	row424_M+Na[1+];row425_M+Na[1+];row957_M+HCOONa[1+]	CE4890;C09640	N-methylsalsolinol$(-)-Salsoline
E94	row456	row456_M+Na[1+]	C16586;CE2173	2-Phenyl-1,3-propanediol monocarbamate$
