SOURCE	TARGET	ENZYMES
C00021	C05635	2.1.1.4
C00021	CE4890	;2.1.1.6
C00021	C00019	;2.1.1.67;2.1.1.43;2.1.1.62;2.1.1.60;2.1.1.61;2.1.1.49;4.1.1.50;2.1.1.114;2.1.1.137;2.1.1.20;2.1.1.37;2.1.1.36;2.1.1.31;2.1.1.33;2.1.1.32;2.1.1.17;2.1.1.72;2.1.1.13;2.1.1.77;2.1.1.10;2.1.1.56;2.1.1.59;2.5.1.6;2.1.1.8;2.1.1.100;2.1.1.98;2.1.1.125;3.3.1.1;1.16.1.8;2.1.1.2;2.1.1.1;2.1.1.6;2.1.1.4;2.8.1.8;2.1.1.28;2.1.1.29
C00021	C09640	;2.1.1.6
C01598	C05642	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C01598	C00019	;2.1.1.49;2.1.1.4
C01598	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C01342	C00322	
C01342	C03239	;1.4.3.14
C00527	C00322	2.3.1.61;1.2.4.2
C01756	C00019	2.1.1.67
C04155	C00019	2.1.1.32;2.1.1.36;2.1.1.29;2.1.1.33;2.1.1.61
C01177	C01225	3.1.4.43
C05544	C00019	2.1.1.59;2.1.1.43;2.1.1.60
C03758	C00019	;2.1.1.6
C00432	C16586	1.1.1.1
C00432	C16596	1.1.1.1
C00026	C00322	;2.6.1.39;1.2.4.2;2.3.1.61
C05522	C00019	2.1.1.37
C05580	C00019	2.1.1.6
C04156	C00019	2.1.1.36
C04317	C00670	;3.1.1.4;3.1.1.5;2.3.1.67;3.1.4.2;3.1.1.47;1.14.16.5;2.3.1.147;2.3.1.148;3.1.4.46
C02415	C00019	2.1.1.43
C04748	C00019	2.1.1.100
CE2179	C00019	;2.1.1.6
C00268	C00643	;1.14.16.4
C05298	C00019	;2.1.1.6
C00157	C00670	;3.1.1.4;3.1.1.5
C00157	C00019	;2.1.1.17
C05546	C00019	;2.1.1.59;2.1.1.43;2.1.1.60
C00577	C16586	1.1.1.1
C00577	C16596	1.1.1.1
C05320	C00019	2.1.1.125
C06157	C00322	2.3.1.61;1.2.4.2
