pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Tryptophan metabolism	6	13	0.002184690362154441	E10,E306,E137,E119,E259,E230	C00322,C00019,C00643,C05635/C16596,C04148/C05642,CE5860	2-Oxoadipate$S-Adenosyl-L-methionine$5-Hydroxy-L-tryptophan$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$alpha-N-Phenylacetyl-L-glutamine/Formyl-N-acetyl-5-methoxykynurenamine$
Lysine metabolism	3	7	0.02546004537433829	E95,E10,E306	C03239/C02946/C04076,C00322,C00019	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate/4-Acetamidobutanoate/L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde$2-Oxoadipate$S-Adenosyl-L-methionine
Tyrosine metabolism	5	16	0.03134190404167717	E136,E130,E306,E259,E27	C16586/CE2173,CE4890/C09640,C00019,C04148/C05642,CE5542	2-Phenyl-1,3-propanediol monocarbamate/$N-methylsalsolinol/(-)-Salsoline$S-Adenosyl-L-methionine$alpha-N-Phenylacetyl-L-glutamine/Formyl-N-acetyl-5-methoxykynurenamine$noradrenochrome o-semiquinone
Glycerophospholipid metabolism	3	8	0.03999663893790438	E201,E286,E306	C00670,C01225,C00019	sn-Glycero-3-phosphocholine$sn-glycero-3-Phospho-1-inositol; 1-(sn-glycero-3-Phospho)-1D-myo-inositol$S-Adenosyl-L-methionine
Hyaluronan Metabolism	1	1	0.05335686076800269	E140		
Keratan sulfate degradation	1	1	0.05335686076800269	E140		
Androgen and estrogen biosynthesis and metabolism	1	1	0.05335686076800269	E306	C00019	S-Adenosyl-L-methionine
Vitamin B12 (cyanocobalamin) metabolism	1	1	0.05335686076800269	E306	C00019	S-Adenosyl-L-methionine
C21-steroid hormone biosynthesis and metabolism	1	1	0.05335686076800269	E309		
Histidine metabolism	2	5	0.0774724813040921	E127,E306	,C00019	$S-Adenosyl-L-methionine
Drug metabolism - cytochrome P450	2	5	0.0774724813040921	E136,E119	C16586/CE2173,C05635/C16596	2-Phenyl-1,3-propanediol monocarbamate/$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione
Heparan sulfate degradation	1	2	0.11335181917485926	E140		
N-Glycan Degradation	1	2	0.11335181917485926	E140		
Ubiquinone Biosynthesis	1	2	0.11335181917485926	E306	C00019	S-Adenosyl-L-methionine
Methionine and cysteine metabolism	2	7	0.13410637761532646	E115,E306	,C00019	$S-Adenosyl-L-methionine
Urea cycle/amino group metabolism	3	13	0.15780186538946306	E52,E95,E306	,C03239/C02946/C04076,C00019	$6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate/4-Acetamidobutanoate/L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde$S-Adenosyl-L-methionine
Pyrimidine metabolism	3	13	0.15780186538946306	E150,E54,E149	,,	$$
Arginine and Proline Metabolism	2	8	0.1626754054281153	E95,E306	C03239/C02946/C04076,C00019	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate/4-Acetamidobutanoate/L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde$S-Adenosyl-L-methionine
Vitamin B1 (thiamin) metabolism	1	3	0.16351567095202083	E10	C00322	2-Oxoadipate
Propanoate metabolism	1	3	0.16351567095202083	E156		
Porphyrin metabolism	1	3	0.16351567095202083	E162		
Leukotriene metabolism	1	3	0.16351567095202083	E284		
Aminosugars metabolism	1	3	0.16351567095202083	E140		
Beta-Alanine metabolism	1	3	0.16351567095202083	E127		
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	5	0.22191412486345685	E306	C00019	S-Adenosyl-L-methionine
Galactose metabolism	1	6	0.24367700193261072	E140		
Phosphatidylinositol phosphate metabolism	1	6	0.24367700193261072	E286	C01225	sn-glycero-3-Phospho-1-inositol; 1-(sn-glycero-3-Phospho)-1D-myo-inositol
Sialic acid metabolism	1	7	0.2561129316864129	E140		
Glycine, serine, alanine and threonine metabolism	1	9	0.2700613393832451	E306	C00019	S-Adenosyl-L-methionine
