massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	191.0291	163.98	0.7076298120217868	-0.7126720558860951	C8H12OS,C9H8N2OS,C9H10N2O2S
row2	159.9914	206.68	0.0850772164514943	4.635639790036978	C4H4ClN3O2
row3	159.9976	206.15	0.9916112436363564	0.015743381943458448	
row4	159.9976	207.73	0.8286328226184971	-0.412477421471377	
row5	121.943	140.78	0.9640906275319719	-0.08998288590868801	
row6	122.0213	219.81	0.5790296420395018	1.0424022937162887	
row7	122.0213	226.24	0.569379452445221	-1.0710903280428177	
row8	191.0556	377.3	0.46431511579213197	-1.3808802030428002	C7H12O6,C7H14O7
row9	160.0607	170.45	0.7114343431730233	-0.6980742919937755	C6H13NO5
row10	160.0607	193.78	0.15103559468313196	3.4575528268674462	C6H13NO5
row11	160.0799	293.59	0.04862228395333303	-6.026453409208089	
row12	191.0749	185.58	0.8990282292275211	0.24894353892491164	C8H18O4S,C8H16O3S
row13	71.0127	301.08	0.38319461799775695	1.7081263371350772	
row14	73.0195	214.95	0.47527556512471636	1.3454839070052012	
row15	191.8657	1.7	0.718419757210872	-0.6796411926911875	
row16	160.9921	207.2	0.6900432665510376	0.759168583456786	C7H7Cl
row17	191.9942	218.63	0.4725062223603475	-1.3565626018305552	
row18	191.9942	219.68	0.4817165996547348	1.320851730970622	
row19	161.0116	399.52	0.26921619636300115	2.4295789108880985	C5H6N2O2,C5H9ClN2O3
row20	161.0116	400.83	0.5597120866390786	1.0972048351129484	C5H6N2O2,C5H9ClN2O3
row21	161.0116	402.41	0.4983640179902016	1.2655158579460686	C5H6N2O2,C5H9ClN2O3
row22	161.0116	406.51	0.41497412481563384	1.5707015036226473	C5H6N2O2,C5H9ClN2O3
row23	161.0116	438.96	0.6585091335648982	0.8390861084207337	C5H6N2O2,C5H9ClN2O3
row24	73.9954	131.03	0.33672424359287356	1.9945061020439712	
row25	161.0449	242.72	0.012309740697701937	17.426944662901008	C6H12O6,C6H10O5
row26	161.0449	245.47	0.0352401051450527	7.167388345778121	C6H12O6,C6H10O5
row27	123.98	218.49	0.6437503042684124	0.8790346852595962	C3H9Se,C5O4,C2H3NO3
row28	161.056	314.86	0.06988320823053384	-5.0993200005228525	C5H10N2O4,C3H7N5O3
