input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row8	E3	row8_M+H[1+]	C00944	3-Dehydroquinate; 5-Dehydroquinate; 3-Dehydroquinic acid; 5-Dehydroquinic acid	row8	191.0556	377.3	0.027861672954217064	4.053733692480887	C7H12O6,C7H14O7
row9	E4	row9_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row9	160.0607	170.45	0.043145249950881565	3.472232710720223	C6H13NO5
row10	E5	row10_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide	row10	160.0607	193.78	0.05458951560698928	3.189149934343071	C6H13NO5
row12	E6	row12_M(C13)+H[1+];row513_M+Na[1+];row846_M+H[1+]	C00624	N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid	row12	191.0749	185.58	0.00027472334430619726	21.227081446665228	C8H18O4S,C8H16O3S
row14	E8	row14_M+H[1+]	C00804	Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate	row14	71.0127	301.08	0.19618701263742377	-1.7484600185147001	
row20	E10	row20_M+Na[1+];row21_M+Na[1+]	C00506	L-Cysteate	row20	191.9942	218.63	0.0012514499641269345	11.809350763586933	
row21	E10	row20_M+Na[1+];row21_M+Na[1+]	C00506	L-Cysteate	row21	191.9942	219.68	0.011495003105472803	5.481707687065466	
row22	E11	row22_M+H[1+];row23_M+H[1+];row40_M(C13)+H[1+];row41_M(C13)+H[1+]	C00322	2-Oxoadipate	row22	161.0449	242.72	0.00268439602802511	8.988359337528372	C6H12O6,C6H10O5
row23	E11	row22_M+H[1+];row23_M+H[1+];row40_M(C13)+H[1+];row41_M(C13)+H[1+]	C00322	2-Oxoadipate	row23	161.0449	245.47	0.006304891269005014	6.722533688053951	C6H12O6,C6H10O5
row40	E11	row22_M+H[1+];row23_M+H[1+];row40_M(C13)+H[1+];row41_M(C13)+H[1+]	C00322	2-Oxoadipate	row40	162.0481	242.72	0.006973740627566227	6.488428156098254	C13H6
row41	E11	row22_M+H[1+];row23_M+H[1+];row40_M(C13)+H[1+];row41_M(C13)+H[1+]	C00322	2-Oxoadipate	row41	162.0481	245.21	0.00812062713888444	6.174846276016193	C13H6
row45	E14	row45_M+H[1+];row67_M(C13)+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate	row45	193.0348	307.77	0.0023459741958212566	9.399372237724679	C6H10O7
row67	E14	row45_M+H[1+];row67_M(C13)+H[1+]	C00158;C04575;C00311	Citrate$$Isocitrate	row67	194.0382	307.77	0.00169193424795077	10.54994347155762	C10H9NO,C10H12ClNO2
row86	E19	row86_M+H[1+]	C00906	5,6-Dihydrothymine	row86	129.0659	233.1	0.17247894576416237	1.8895609909396598	
row99	E21	row115_M(C13)+H[1+];row99_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row99	130.05	184.53	0.0005955731305005922	15.74174510494996	
row100	E22	row100_M+H[1+];row116_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row100	130.05	299.9	0.00021242998311776017	23.54209016864769	
row114	E28	row114_M+H[1+];row136_M(C13)+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row114	166.0502	47.59	0.12920485059109127	2.264619197252914	C6H6N4O2,C8H9NO3,C8H8NO3,C8H11NO4
row115	E21	row115_M(C13)+H[1+];row99_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row115	131.0533	184.13	0.0008225456085227778	13.847242669968182	C6H12OS
row116	E22	row100_M+H[1+];row116_M(C13)+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate	row116	131.0533	299.76	1.680534570543284e-08	795.6782993070082	C6H12OS
row136	E28	row114_M+H[1+];row136_M(C13)+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate	row136	167.0535	47.85	0.004893317282374987	7.329950213853883	C8H9NO3
row137	E41	row137_M+Na[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate	row137	196.0585	225.32	0.0007968584073413314	14.057328394154046	C6H12O7
row138	E44	row138_M+H[1+];row167_M(C13)+H[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome	row138	196.0612	380.45	0.011203369618565134	5.529619956151567	C9H11NO4,C5H13N2O4P,C9H13NO5
row139	E45	row139_M+H[1+]	C01165;C01157;C00430;C03440;C01110	L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate	row139	132.0657	306.72	0.0007045424092039527	14.72991522124012	
row167	E44	row138_M+H[1+];row167_M(C13)+H[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome	row167	197.0643	380.45	0.0006263357629782782	15.47543213753873	C10H14O2S
row190	E53	row190_M+H[1+]	C00534	Pyridoxamine	row190	169.0975	34.06	0.6967671302799163	-0.4890250336015021	C8H16N2O3,C8H14N2O2,C8H13N2O2
row201	E55	row201_M+Na[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde	row201	170.0426	254.8	0.7859896904657485	0.3441371602182069	
row206	E58	row206_M+Na[1+]	C00791		row206	136.0477	48.64	0.9176649190434715	0.13316112996672544	C8H8O2
row215	E59	row215_M+Na[1+]	C02670;C00072;glac	D-glucurono-6,3-lactone$L-Ascorbate$D-glucurono-6,3-lactone	row215	199.0219	241.27	0.007333984785800667	6.387372110158605	C12H10O2S,C6H8NaO6,C6H11NaO7
