pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Xenobiotics metabolism	1	4	0.0036971683051844383	E235	C14847/C14848	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene/2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
Vitamin D3 (cholecalciferol) metabolism	0	0	0.019326107049827745			
Hyaluronan Metabolism	0	2	0.019326107049827745			
N-Glycan biosynthesis	0	3	0.019326107049827745			
Glycolysis and Gluconeogenesis	0	1	0.019326107049827745			
Glycosphingolipid biosynthesis - ganglioseries	0	2	0.019326107049827745			
R Group Synthesis	0	0	0.019326107049827745			
C5-Branched dibasic acid metabolism	0	0	0.019326107049827745			
Pyruvate Metabolism	0	0	0.019326107049827745			
Sialic acid metabolism	0	0	0.019326107049827745			
Chondroitin sulfate degradation	0	0	0.019326107049827745			
Di-unsaturated fatty acid beta-oxidation	0	0	0.019326107049827745			
Putative anti-Inflammatory metabolites formation from EPA	0	2	0.019326107049827745			
Linoleate metabolism	0	4	0.019326107049827745			
Hexose phosphorylation	0	3	0.019326107049827745			
Vitamin B2 (riboflavin) metabolism	0	0	0.019326107049827745			
Squalene and cholesterol biosynthesis	0	1	0.019326107049827745			
Galactose metabolism	0	3	0.019326107049827745			
Keratan sulfate degradation	0	3	0.019326107049827745			
Glycerolipid metabolism	0	0	0.019326107049827745			
Carnitine shuttle	0	4	0.019326107049827745			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.019326107049827745			
Alkaloid biosynthesis II	0	2	0.019326107049827745			
Vitamin B1 (thiamin) metabolism	0	2	0.019326107049827745			
Glycosphingolipid biosynthesis - globoseries	0	2	0.019326107049827745			
Histidine metabolism	0	4	0.019326107049827745			
Vitamin B5 - CoA biosynthesis from pantothenate	0	2	0.019326107049827745			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.019326107049827745			
Glycosphingolipid biosynthesis - lactoseries	0	2	0.019326107049827745			
Bile acid biosynthesis	0	5	0.019326107049827745			
Parathio degradation	0	0	0.019326107049827745			
Propanoate metabolism	0	0	0.019326107049827745			
Blood Group Biosynthesis	0	2	0.019326107049827745			
Electron transport chain	0	0	0.019326107049827745			
Vitamin H (biotin) metabolism	0	0	0.019326107049827745			
Biopterin metabolism	0	2	0.019326107049827745			
Vitamin E metabolism	0	1	0.019326107049827745			
Androgen and estrogen biosynthesis and metabolism	0	1	0.019326107049827745			
Glycine, serine, alanine and threonine metabolism	0	3	0.019326107049827745			
Caffeine metabolism	0	0	0.019326107049827745			
Lipoate metabolism	0	0	0.019326107049827745			
Heparan sulfate biosynthesis	0	0	0.019326107049827745			
Drug metabolism - cytochrome P450	0	5	0.019326107049827745			
Vitamin B9 (folate) metabolism	0	1	0.019326107049827745			
Tryptophan metabolism	0	14	0.019326107049827745			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.019326107049827745			
Urea cycle/amino group metabolism	0	10	0.019326107049827745			
De novo fatty acid biosynthesis	0	0	0.019326107049827745			
Vitamin A (retinol) metabolism	0	1	0.019326107049827745			
Valine, leucine and isoleucine degradation	0	4	0.019326107049827745			
Fatty Acid Metabolism	0	0	0.019326107049827745			
Glycosaminoglycan degradation	0	0	0.019326107049827745			
Fatty acid oxidation	0	0	0.019326107049827745			
Fructose and mannose metabolism	0	2	0.019326107049827745			
ROS Detoxification	0	0	0.019326107049827745			
Saturated fatty acids beta-oxidation	0	0	0.019326107049827745			
CoA Catabolism	0	2	0.019326107049827745			
Omega-3 fatty acid metabolism	0	1	0.019326107049827745			
Butanoate metabolism	0	1	0.019326107049827745			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.019326107049827745			
Glycosphingolipid biosynthesis - neolactoseries	0	2	0.019326107049827745			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	3	0.019326107049827745			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	2	0.019326107049827745			
Geraniol degradation	0	0	0.019326107049827745			
D4&E4-neuroprostanes formation	0	0	0.019326107049827745			
Vitamin D	0	0	0.019326107049827745			
Dynorphin metabolism	0	0	0.019326107049827745			
Heparan sulfate degradation	0	0	0.019326107049827745			
Fatty acid oxidation, peroxisome	0	0	0.019326107049827745			
Polyunsaturated fatty acid biosynthesis	0	0	0.019326107049827745			
Purine metabolism	0	7	0.019326107049827745			
Alanine and Aspartate Metabolism	0	1	0.019326107049827745			
Glutathione Metabolism	0	1	0.019326107049827745			
Keratan sulfate biosynthesis	0	2	0.019326107049827745			
TCA cycle	0	0	0.019326107049827745			
3-Chloroacrylic acid degradation	0	0	0.019326107049827745			
Arachidonic acid metabolism	0	4	0.019326107049827745			
Sphingolipid metabolism	0	0	0.019326107049827745			
O-Glycan biosynthesis	0	2	0.019326107049827745			
Glycosphingolipid metabolism	0	2	0.019326107049827745			
Limonene and pinene degradation	0	0	0.019326107049827745			
Arginine and Proline Metabolism	0	5	0.019326107049827745			
Proteoglycan biosynthesis	0	2	0.019326107049827745			
Vitamin K metabolism	0	0	0.019326107049827745			
Glycerophospholipid metabolism	0	3	0.019326107049827745			
Glutamate metabolism	0	1	0.019326107049827745			
Porphyrin metabolism	0	1	0.019326107049827745			
Phosphatidylinositol phosphate metabolism	0	2	0.019326107049827745			
Benzoate degradation via CoA ligation	0	0	0.019326107049827745			
Prostaglandin formation from arachidonate	0	0	0.019326107049827745			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.019326107049827745			
Vitamin B6 (pyridoxine) metabolism	0	2	0.019326107049827745			
Pentose and Glucuronate Interconversions	0	3	0.019326107049827745			
Atrazine degradation	0	0	0.019326107049827745			
N-Glycan Degradation	0	1	0.019326107049827745			
Leukotriene metabolism	0	3	0.019326107049827745			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.019326107049827745			
Fatty acid activation	0	0	0.019326107049827745			
Carbon fixation	0	0	0.019326107049827745			
Nucleotide Sugar Metabolism	0	0	0.019326107049827745			
Ubiquinone Biosynthesis	0	1	0.019326107049827745			
1- and 2-Methylnaphthalene degradation	0	0	0.019326107049827745			
Pyrimidine metabolism	0	6	0.019326107049827745			
Aspartate and asparagine metabolism	0	3	0.019326107049827745			
Nitrogen metabolism	0	1	0.019326107049827745			
Drug metabolism - other enzymes	0	0	0.019326107049827745			
Aminosugars metabolism	0	4	0.019326107049827745			
Tyrosine metabolism	0	16	0.019326107049827745			
Beta-Alanine metabolism	0	1	0.019326107049827745			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.019326107049827745			
C21-steroid hormone biosynthesis and metabolism	0	1	0.019326107049827745			
Starch and Sucrose Metabolism	0	3	0.019326107049827745			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.019326107049827745			
Omega-6 fatty acid metabolism	0	0	0.019326107049827745			
Phytanic acid peroxisomal oxidation	0	0	0.019326107049827745			
Pentose phosphate pathway	0	1	0.019326107049827745			
Methionine and cysteine metabolism	0	4	0.019326107049827745			
Lysine metabolism	0	2	0.019326107049827745			
Selenoamino acid metabolism	0	1	0.019326107049827745			
