SOURCE	TARGET	ENZYMES
C01921	C00037	2.3.1.65
C01921	C01794	2.3.1.65
C01921	C00010	2.3.1.65
C05337	C05465	2.3.1.65
C15517	C15516	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C15517	C05465	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C03990	C15516	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C03990	C05465	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C05122	C00245	2.3.1.65
C05122	C01794	2.3.1.65
C05122	C00010	2.3.1.65
C00020	C00695	3.1.2.2;6.2.1.7
C00245	C05463	2.3.1.65
C00245	C05465	6.2.1.-;2.3.1.65
C05463	C00010	6.2.1.7;2.3.1.65
C05463	CE1589	6.2.1.7;2.3.1.65
C15516	C05465	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C05465	C00010	6.2.1.-;2.3.1.65
C00695	C01794	3.1.2.27;3.1.2.2;6.2.1.7
C00695	C00010	3.1.2.27;3.1.2.2;6.2.1.7
