input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row3	E4	row3_M+H[1+];row31_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row3	132.0769	252.96	0.08260237708828312	-3.711083269384452	C4H9N3O2
row31	E4	row3_M+H[1+];row31_M(C13)+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row31	133.0801	252.83	0.11760002509625353	-3.1350540830926326	C4H9N3O2
row33	E7	row33_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate	row33	133.0861	26.79	0.06599995723096182	4.100992489002138	
row39	E8	row39_M+Na[1+]	C00257;C00800	D-Gluconate$L-Gulonate	row39	219.0476	192.56	0.7223688936319625	0.5749121313527678	
row59	E11	row427_M+Na[1+];row59_M+H[1+]	C00864	(R)-Pantothenate	row59	220.1181	179.0	0.9266496214052528	0.1661923332622024	C9H17NO5
row77	E15	row77_M+H[1+];row96_M(C13)+H[1+]	C00643	5-Hydroxy-L-tryptophan	row77	221.0922	191.51	0.22744624129027763	2.207394179620025	C11H12N2O3
row96	E15	row77_M+H[1+];row96_M(C13)+H[1+]	C00643	5-Hydroxy-L-tryptophan	row96	222.0956	191.25	0.1442307513185567	2.8334131381448886	C11H12N2O3
row115	E20	row115_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row115	137.0598	204.41	0.8667189049514379	0.2910009959978	C8H8O2
row117	E22	row117_M+H[1+]	C02291;C00542	L-Cystathionine$Cystathionine	row117	223.0749	25.33	0.032982936840073855	5.4872578948243955	
row126	E28	row126_M+Na[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline	row126	138.0526	222.17	0.29490868461155206	1.7349733718282543	
row139	E30	row139_M+H[1+]	C00785	Urocanate	row139	139.0503	182.68	0.13042337258224637	-2.9857089274167263	C6H6N2O2
row176	E34	row176_M(C13)+H[1+];row676_M+Na[1+];row677_M+Na[1+]	C00082;CE2174	L-Tyrosine$	row176	183.0844	204.27	0.9448719220006242	-0.12645744222013514	C9H11NO3
row195	E35	row195_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol	row195	184.097	30.07	0.397606194225945	-1.3610365596330531	
row196	E36	row196_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol	row196	184.097	161.51	0.526436363972419	1.0235944250624276	
row209	E40	row209_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite	row209	145.0474	197.29	0.09286212718063686	3.5128324802407196	
