pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Glycolysis and Gluconeogenesis	1	1	0.02730862952693051	E92	C01136/C16255	S-Acetyldihydrolipoamide; 6-S-Acetyldihydrolipoamide/[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine; S-Acetyldihydrolipoamide-E
Vitamin B1 (thiamin) metabolism	1	1	0.02730862952693051	E92	C01136/C16255	S-Acetyldihydrolipoamide; 6-S-Acetyldihydrolipoamide/[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine; S-Acetyldihydrolipoamide-E
Purine metabolism	2	6	0.0333585412990505	E59,E150	C00242,C00387	Guanine$Guanosine
Vitamin B6 (pyridoxine) metabolism	1	2	0.04075287790941938	E120	C00250	Pyridoxal
Drug metabolism - cytochrome P450	1	3	0.04453407276699437	E102	C16602/C16601/C07496	3-Hydroxycarbamazepine/2-Hydroxycarbamazepine/Carbamazepine-10,11-epoxide; Carbamazepine epoxide
Urea cycle/amino group metabolism	2	10	0.045122258633728256	E59,E95	C00242,C00581/gudac	Guanine$Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid/Guanidinoacetate
Glycine, serine, alanine and threonine metabolism	1	4	0.04621460381480548	E95	C00581/gudac	Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid/Guanidinoacetate
Pyrimidine metabolism	1	6	0.0473069489958827	E139	C05711/C00475	gamma-Glutamyl-beta-cyanoalanine/Cytidine
Tyrosine metabolism	2	16	0.04839929417695992	E51,E47	CE4888/C05578,C05579	dopaminochrome/5,6-Dihydroxyindole; DHI$Indole-5,6-quinone
Vitamin D3 (cholecalciferol) metabolism	0	0	0.049575665910427696			
Hyaluronan Metabolism	0	2	0.049575665910427696			
N-Glycan biosynthesis	0	3	0.049575665910427696			
Glycosphingolipid biosynthesis - ganglioseries	0	2	0.049575665910427696			
R Group Synthesis	0	0	0.049575665910427696			
C5-Branched dibasic acid metabolism	0	0	0.049575665910427696			
Pyruvate Metabolism	0	0	0.049575665910427696			
Sialic acid metabolism	0	0	0.049575665910427696			
Chondroitin sulfate degradation	0	0	0.049575665910427696			
Di-unsaturated fatty acid beta-oxidation	0	1	0.049575665910427696			
Putative anti-Inflammatory metabolites formation from EPA	0	2	0.049575665910427696			
Linoleate metabolism	0	4	0.049575665910427696			
Hexose phosphorylation	0	4	0.049575665910427696			
Vitamin B2 (riboflavin) metabolism	0	0	0.049575665910427696			
Squalene and cholesterol biosynthesis	0	1	0.049575665910427696			
Galactose metabolism	0	3	0.049575665910427696			
Keratan sulfate degradation	0	3	0.049575665910427696			
Glycerolipid metabolism	0	0	0.049575665910427696			
Carnitine shuttle	0	2	0.049575665910427696			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.049575665910427696			
Alkaloid biosynthesis II	0	1	0.049575665910427696			
Glycosphingolipid biosynthesis - globoseries	0	2	0.049575665910427696			
Histidine metabolism	0	4	0.049575665910427696			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.049575665910427696			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.049575665910427696			
Glycosphingolipid biosynthesis - lactoseries	0	2	0.049575665910427696			
Bile acid biosynthesis	0	1	0.049575665910427696			
Parathio degradation	0	0	0.049575665910427696			
Propanoate metabolism	0	0	0.049575665910427696			
Blood Group Biosynthesis	0	2	0.049575665910427696			
Electron transport chain	0	0	0.049575665910427696			
Vitamin H (biotin) metabolism	0	0	0.049575665910427696			
Biopterin metabolism	0	2	0.049575665910427696			
Vitamin E metabolism	0	1	0.049575665910427696			
Androgen and estrogen biosynthesis and metabolism	0	1	0.049575665910427696			
Caffeine metabolism	0	0	0.049575665910427696			
Lipoate metabolism	0	1	0.049575665910427696			
Heparan sulfate biosynthesis	0	0	0.049575665910427696			
Vitamin B9 (folate) metabolism	0	1	0.049575665910427696			
Tryptophan metabolism	1	12	0.049575665910427696	E146	C02693	Indole-3-acetamide
Glyoxylate and Dicarboxylate Metabolism	0	0	0.049575665910427696			
De novo fatty acid biosynthesis	0	1	0.049575665910427696			
Vitamin A (retinol) metabolism	0	1	0.049575665910427696			
Valine, leucine and isoleucine degradation	0	5	0.049575665910427696			
Fatty Acid Metabolism	0	1	0.049575665910427696			
Glycosaminoglycan degradation	0	0	0.049575665910427696			
Fatty acid oxidation	0	0	0.049575665910427696			
Fructose and mannose metabolism	0	2	0.049575665910427696			
ROS Detoxification	0	0	0.049575665910427696			
Xenobiotics metabolism	0	4	0.049575665910427696			
Saturated fatty acids beta-oxidation	0	0	0.049575665910427696			
CoA Catabolism	0	1	0.049575665910427696			
Omega-3 fatty acid metabolism	0	0	0.049575665910427696			
Butanoate metabolism	0	1	0.049575665910427696			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.049575665910427696			
Glycosphingolipid biosynthesis - neolactoseries	0	2	0.049575665910427696			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	3	0.049575665910427696			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	2	0.049575665910427696			
Geraniol degradation	0	0	0.049575665910427696			
D4&E4-neuroprostanes formation	0	1	0.049575665910427696			
Vitamin D	0	0	0.049575665910427696			
Dynorphin metabolism	0	0	0.049575665910427696			
Heparan sulfate degradation	0	0	0.049575665910427696			
Fatty acid oxidation, peroxisome	0	0	0.049575665910427696			
Polyunsaturated fatty acid biosynthesis	0	0	0.049575665910427696			
Alanine and Aspartate Metabolism	0	1	0.049575665910427696			
Glutathione Metabolism	0	1	0.049575665910427696			
Keratan sulfate biosynthesis	0	2	0.049575665910427696			
TCA cycle	0	0	0.049575665910427696			
3-Chloroacrylic acid degradation	0	0	0.049575665910427696			
Arachidonic acid metabolism	0	3	0.049575665910427696			
Sphingolipid metabolism	0	0	0.049575665910427696			
O-Glycan biosynthesis	0	2	0.049575665910427696			
Glycosphingolipid metabolism	0	2	0.049575665910427696			
Limonene and pinene degradation	0	0	0.049575665910427696			
Arginine and Proline Metabolism	0	3	0.049575665910427696			
Proteoglycan biosynthesis	0	2	0.049575665910427696			
Vitamin K metabolism	0	0	0.049575665910427696			
Glycerophospholipid metabolism	0	4	0.049575665910427696			
Glutamate metabolism	0	1	0.049575665910427696			
Porphyrin metabolism	0	1	0.049575665910427696			
Phosphatidylinositol phosphate metabolism	0	2	0.049575665910427696			
Benzoate degradation via CoA ligation	0	0	0.049575665910427696			
Prostaglandin formation from arachidonate	0	0	0.049575665910427696			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.049575665910427696			
Pentose and Glucuronate Interconversions	0	3	0.049575665910427696			
Atrazine degradation	0	0	0.049575665910427696			
N-Glycan Degradation	0	1	0.049575665910427696			
Leukotriene metabolism	0	2	0.049575665910427696			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.049575665910427696			
Fatty acid activation	0	1	0.049575665910427696			
Carbon fixation	0	0	0.049575665910427696			
Nucleotide Sugar Metabolism	0	0	0.049575665910427696			
Ubiquinone Biosynthesis	0	1	0.049575665910427696			
1- and 2-Methylnaphthalene degradation	0	0	0.049575665910427696			
Aspartate and asparagine metabolism	0	3	0.049575665910427696			
Nitrogen metabolism	0	1	0.049575665910427696			
Drug metabolism - other enzymes	0	0	0.049575665910427696			
Aminosugars metabolism	0	4	0.049575665910427696			
Beta-Alanine metabolism	0	1	0.049575665910427696			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.049575665910427696			
C21-steroid hormone biosynthesis and metabolism	0	1	0.049575665910427696			
Starch and Sucrose Metabolism	0	3	0.049575665910427696			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.049575665910427696			
Omega-6 fatty acid metabolism	0	0	0.049575665910427696			
Phytanic acid peroxisomal oxidation	0	0	0.049575665910427696			
Pentose phosphate pathway	0	1	0.049575665910427696			
Methionine and cysteine metabolism	0	3	0.049575665910427696			
Lysine metabolism	0	2	0.049575665910427696			
Selenoamino acid metabolism	0	1	0.049575665910427696			
