SOURCE	TARGET	ENZYMES
C01233	C04230	3.1.1.5
C00245	C05463	2.3.1.65
C00245	C05465	6.2.1.-;2.3.1.65
C14748	C00219	1.14.15.3
C14748	C01371	1.14.15.3
C14748	C00340	1.14.15.3
C14748	C00226	1.14.15.3
C14748	C00756	1.14.15.3
C14748	C00435	1.14.15.3
C14748	C00162	1.14.15.3
C14748	C01387	1.14.15.3
C14748	C03547	1.14.15.3
C00579	C01136	2.3.1.12
C04635	C04230	3.1.1.4
C00219	C14769	1.14.14.1
C00219	C04230	3.1.1.4
C00219	C14768	1.14.14.1
C00219	C14778	1.14.14.1
C00219	C14771	3.1.2.2;1.14.14.1
C00219	C14749	1.14.14.1
C00219	C14770	3.1.2.2;1.14.14.1
C05973	C04230	3.1.1.5
C00370	C04230	3.1.1.4;3.1.1.5;2.3.1.43
C00670	C04230	3.1.1.4;3.1.1.5
CE1589	C05463	6.2.1.7;2.3.1.65
C14769	C14774	3.3.2.9;3.3.2.10
C14769	C00722	3.3.2.10
C14769	C06548	3.3.2.10
C14769	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14769	C14772	3.3.2.9;3.3.2.10
C14769	C14773	3.3.2.9;3.3.2.10
C14769	C00016	1.14.14.1
C14769	C14771	3.3.2.9;1.14.14.1;3.3.2.10
C14769	C01380	3.3.2.10
C14769	C01352	1.14.14.1
C14769	C14775	3.3.2.9;3.3.2.10
C14769	C15588	3.3.2.10
C14769	C14770	3.3.2.9;1.14.14.1;3.3.2.10
C14774	C14768	3.3.2.9;3.3.2.10
C14774	C14771	3.3.2.9;3.3.2.10
C14774	C14770	3.3.2.9;3.3.2.10
C00350	C04230	3.1.1.4;2.3.1.23
C16255	C00022	1.2.4.1;2.3.1.12
C16255	C00010	1.2.4.1;2.3.1.12
C16255	C00024	1.2.4.1;2.3.1.12
C16255	C05125	1.2.4.1
C16255	C15972	1.2.4.1;2.3.1.12
C16255	C00068	1.2.4.1
C16255	C15973	1.2.4.1;2.3.1.12
C04233	C04230	3.1.1.5;2.3.1.43
C01595	C04230	3.1.1.4
C00722	C14768	3.3.2.10
C00722	C14771	3.3.2.10
C00722	C14770	3.3.2.10
C15516	C05465	1.14.13.97;6.2.1.-;2.3.1.65;2.8.2.2
C00022	C01136	1.2.4.1;2.3.1.12
C00027	C14771	1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
