pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Pyruvate Metabolism	1	1	0.00033610620956222166	E162	C00051	Reduced glutathione
Androgen and estrogen biosynthesis and metabolism	1	1	0.00033610620956222166	E162	C00051	Reduced glutathione
Prostaglandin formation from arachidonate	1	1	0.00033610620956222166	E162	C00051	Reduced glutathione
Glutathione Metabolism	1	2	0.0007562389715149988	E162	C00051	Reduced glutathione
Glutamate metabolism	1	2	0.0007562389715149988	E162	C00051	Reduced glutathione
Putative anti-Inflammatory metabolites formation from EPA	1	3	0.002604823124107218	E162	C00051	Reduced glutathione
Ascorbate (Vitamin C) and Aldarate Metabolism	1	3	0.002604823124107218	E162	C00051	Reduced glutathione
Glycine, serine, alanine and threonine metabolism	1	4	0.005041593143433325	E162	C00051	Reduced glutathione
Xenobiotics metabolism	1	4	0.005041593143433325	E162	C00051	Reduced glutathione
Leukotriene metabolism	1	4	0.005041593143433325	E162	C00051	Reduced glutathione
Aspartate and asparagine metabolism	1	4	0.005041593143433325	E162	C00051	Reduced glutathione
Linoleate metabolism	1	5	0.005545752457776657	E162	C00051	Reduced glutathione
Histidine metabolism	1	5	0.005545752457776657	E162	C00051	Reduced glutathione
Methionine and cysteine metabolism	1	5	0.005545752457776657	E162	C00051	Reduced glutathione
Arachidonic acid metabolism	1	6	0.007310310057978321	E162	C00051	Reduced glutathione
Tryptophan metabolism	1	13	0.013864381144441643	E162	C00051	Reduced glutathione
Tyrosine metabolism	1	14	0.014200487354003866	E162	C00051	Reduced glutathione
Vitamin D3 (cholecalciferol) metabolism	0	0	0.021510797411982186			
Hyaluronan Metabolism	0	0	0.021510797411982186			
N-Glycan biosynthesis	0	2	0.021510797411982186			
Glycolysis and Gluconeogenesis	0	2	0.021510797411982186			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.021510797411982186			
R Group Synthesis	0	0	0.021510797411982186			
C5-Branched dibasic acid metabolism	0	0	0.021510797411982186			
Sialic acid metabolism	0	0	0.021510797411982186			
Chondroitin sulfate degradation	0	0	0.021510797411982186			
Di-unsaturated fatty acid beta-oxidation	0	1	0.021510797411982186			
Hexose phosphorylation	0	3	0.021510797411982186			
Vitamin B2 (riboflavin) metabolism	0	0	0.021510797411982186			
Squalene and cholesterol biosynthesis	0	1	0.021510797411982186			
Galactose metabolism	0	2	0.021510797411982186			
Keratan sulfate degradation	0	0	0.021510797411982186			
Glycerolipid metabolism	0	0	0.021510797411982186			
Carnitine shuttle	0	4	0.021510797411982186			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.021510797411982186			
Alkaloid biosynthesis II	0	2	0.021510797411982186			
Vitamin B1 (thiamin) metabolism	0	2	0.021510797411982186			
Glycosphingolipid biosynthesis - globoseries	0	0	0.021510797411982186			
Vitamin B5 - CoA biosynthesis from pantothenate	0	2	0.021510797411982186			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.021510797411982186			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.021510797411982186			
Bile acid biosynthesis	0	5	0.021510797411982186			
Parathio degradation	0	0	0.021510797411982186			
Propanoate metabolism	0	0	0.021510797411982186			
Blood Group Biosynthesis	0	0	0.021510797411982186			
Electron transport chain	0	0	0.021510797411982186			
Vitamin H (biotin) metabolism	0	0	0.021510797411982186			
Biopterin metabolism	0	2	0.021510797411982186			
Vitamin E metabolism	0	1	0.021510797411982186			
Caffeine metabolism	0	0	0.021510797411982186			
Lipoate metabolism	0	0	0.021510797411982186			
Heparan sulfate biosynthesis	0	0	0.021510797411982186			
Drug metabolism - cytochrome P450	0	2	0.021510797411982186			
Vitamin B9 (folate) metabolism	0	1	0.021510797411982186			
