SOURCE	TARGET	ENZYMES
C01180	C00082	1.4.3.2;2.6.1.5
C05590	C00082	1.11.1.8
C00301	C00153	3.2.2.6;3.2.2.5
C01762	C00330	2.4.2.1;3.1.3.5
C01762	C00475	3.1.3.5
C01762	C03150	2.4.2.1;3.1.3.5
C01762	C00242	2.4.2.1;3.1.3.5
C01762	C00294	2.4.2.1;3.1.3.5
C01762	C00212	2.4.2.1;3.1.3.5
C01762	C00153	2.4.2.1
C01762	C00387	2.4.2.1;3.1.3.5
C15586	C00330	2.4.2.1
C15586	C03150	2.4.2.1
C15586	C00242	2.4.2.1
C15586	C00294	2.4.2.1
C15586	C00212	2.4.2.1
C15586	C00153	2.4.2.1
C15586	C00387	2.4.2.1
C02839	C00082	6.1.1.1
C00442	C03150	2.4.2.1
C00442	C00242	2.4.2.1
C00442	C00294	2.4.2.1
C00442	C00212	2.4.2.1
C00442	C00153	2.4.2.1
C00442	C00387	2.4.2.1
C00020	C00082	;1.3.3.6;6.1.1.20;1.1.1.35;6.1.1.1;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;3.1.2.2;5.1.99.4
C00020	C00330	3.1.3.5
C00020	C00475	3.1.3.5
C00020	C03150	3.1.3.5
C00020	C00242	3.1.3.5;2.4.2.7;2.4.2.8
C00020	C00294	3.1.3.5
C00020	C00212	2.7.1.20;3.1.3.5;2.7.1.74
C00020	C00387	3.1.3.5;2.4.2.7;2.4.2.8
C06059	C00475	3.5.4.5
C06059	C00294	3.5.4.4
C06059	C00212	3.5.4.4
C00082	C00268	;1.14.16.2;4.2.1.96;1.14.16.1
C00082	thbpt4acam	1.14.16.2;4.2.1.96;1.14.16.1
C00082	C00483	4.1.1.28;1.14.18.1;4.1.1.25
C00082	C00161	1.4.3.2
C00082	CE1951	;2.6.1.9;2.6.1.5;2.6.1.1;3.4.15.-;2.6.1.57;1.14.16.1;2.6.1.58;1.14.16.2;2.3.1.16;4.1.1.25;1.11.1.8;4.1.1.28;1.11.1.7;1.4.3.2;1.3.3.6;4.2.1.96;1.1.1.35;6.1.1.1;4.2.1.17;3.1.2.2;1.14.18.1;2.6.1.64;5.1.99.4;4.1.1.53;6.1.1.20;6.3.2.25;6.2.1.-;3.4.21.39;2.3.1.154
C00082	C00151	1.4.3.2
C00082	C00787	6.1.1.1
C00082	C00708	;1.11.1.8
C00082	C01179	;1.4.3.2;2.6.1.9;2.6.1.5;2.6.1.1;2.6.1.57
C00082	C00822	;1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;1.14.18.1;6.2.1.-;5.1.99.4
C00082	C00671	1.4.3.2
C00082	C02515	;1.11.1.8
C00082	C05167	1.4.3.2
C00082	C00073	;1.4.3.2;2.6.1.5
C00082	C00026	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00082	C15522	1.14.16.2;1.14.16.1
C00082	C00027	;1.4.3.2;1.3.3.6;1.14.18.1;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;1.11.1.8;6.2.1.-;1.11.1.7;5.1.99.4
C00082	C00014	;1.4.3.2
C00082	C00355	;1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;1.14.16.2;4.1.1.25;1.14.18.1;4.1.1.28;6.2.1.-;5.1.99.4;2.3.1.154
C00082	C00272	;1.14.16.2;1.14.16.1
C00082	C00078	;1.4.3.2;4.1.1.28
C00082	C05234	6.3.2.25
C00082	C01392	6.3.2.25
C00082	C00331	1.4.3.2
C00082	C00407	1.4.3.2;3.4.15.-
C00082	C01382	;1.11.1.8
C00082	C00079	;2.6.1.9;2.6.1.5;2.6.1.1;3.4.15.-;2.6.1.57;1.14.16.1;2.6.1.58;1.14.16.2;2.3.1.16;4.1.1.25;1.11.1.8;4.1.1.28;1.11.1.7;1.4.3.2;1.3.3.6;4.2.1.96;1.1.1.35;6.1.1.1;4.2.1.17;3.1.2.2;1.14.18.1;2.6.1.64;5.1.99.4;4.1.1.53;6.1.1.20;6.3.2.25;6.2.1.-;3.4.21.39;2.3.1.154
C00082	C00166	1.4.3.2;2.6.1.9;2.6.1.5;2.6.1.1;2.6.1.57;2.6.1.58;2.6.1.64
C00082	C00025	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00082	C00036	;1.4.3.2;2.6.1.1
C00082	C00049	1.4.3.2;2.6.1.1
C00911	C00330	3.1.3.5
C00911	C00475	3.1.3.5
C00911	C03150	3.1.3.5
C00911	C00294	3.1.3.5
C00911	C00212	3.1.3.5
C00911	C00387	3.1.3.5
C00363	C16633	2.7.1.48
C00363	C00475	2.7.1.48
C16637	C00330	2.4.2.4
C16637	C00242	2.4.2.4
C16633	C07649	2.4.2.3
C16633	C00075	2.7.1.48
C16633	G10620	2.7.1.48
C16633	C00620	2.4.2.3
C16633	C00131	2.7.1.48
C16633	C00106	2.4.2.3
C16633	C00458	2.7.1.48
C16633	C00081	2.7.1.48
C16633	C00044	2.7.1.48
C16633	C00475	2.7.1.48
C16633	C00105	2.7.1.48
C16633	C00015	2.7.1.48
C16633	G10619	2.7.1.48
C16633	C00286	2.7.1.48
C16633	C00299	2.4.2.3;2.7.1.48
C16633	C00460	2.7.1.48
C16633	C00705	2.7.1.48
C16633	C00459	2.7.1.48
C16633	C00104	2.7.1.48
C16633	C16634	2.7.1.48
C16633	C00206	2.7.1.48
C16633	G10621	2.7.1.48
C16633	C00361	2.7.1.48
C16633	C01346	2.7.1.48
C16633	C00055	2.7.1.48
C16633	C00035	2.7.1.48
C00214	C00330	3.1.3.5;2.4.2.4
C00214	C00475	3.1.3.5
C00214	C03150	3.1.3.5
C00214	C00242	3.1.3.5;2.4.2.4
C00214	C00294	3.1.3.5
C00214	C00212	3.1.3.5
C00214	C00387	3.1.3.5;2.4.2.4
C07649	C00330	2.4.2.4
C07649	C00242	2.4.2.4
C00559	C00330	2.4.2.1;3.1.3.5;2.4.2.4
C00559	C00475	3.1.3.5
C00559	C03150	2.4.2.1;3.1.3.5
C00559	C00242	2.4.2.1;3.1.3.5;2.4.2.4
C00559	C00294	2.4.2.1;3.1.3.5;3.5.4.4
C00559	C00212	2.4.2.1;3.1.3.5;3.5.4.4
C00559	C00153	2.4.2.1
C00559	C00387	2.4.2.1;3.1.3.5;2.4.2.4
C01342	C00242	3.5.4.3
C00075	C00475	2.7.1.48
C11824	C00475	3.5.4.5
C11824	C00294	3.5.4.4
C11824	C00212	3.5.4.4
C00330	C00620	2.4.2.1
C00330	C00178	2.4.2.4
C00330	C00106	2.4.2.1;2.4.2.4
C00330	C05512	2.4.2.1;2.4.2.4
C00330	C00655	3.1.3.5
C00330	C01185	3.1.3.5
C00330	C15587	2.4.2.1
C00330	C00253	2.4.2.1;3.1.3.5
C00330	C00147	2.4.2.1;2.4.2.4
C00330	C00475	3.1.3.5
C00330	C03150	2.4.2.1;3.1.3.5
C00330	C00672	2.4.2.1;3.1.3.5;2.7.1.113;2.4.2.4;3.1.3.10
C00330	C00242	2.4.2.1;3.1.3.5;2.4.2.4
C00330	C00105	3.1.3.5
C00330	C00364	3.1.3.5
C00330	C00465	2.4.2.1
C00330	C00294	2.4.2.1;3.1.3.5
C00330	C12739	2.4.2.4
C00330	C00299	3.1.3.5
C00330	C02520	3.1.3.5
C00330	C00212	2.4.2.1;3.1.3.5
C00330	C00455	3.1.3.5
C00330	C00881	3.1.3.5
C00330	C00144	3.1.3.5
C00330	C00362	3.1.3.5;2.7.1.113
C00330	C00239	3.1.3.5
C00330	C00153	2.4.2.1
C00330	C11736	2.4.2.4
C00330	C00385	2.4.2.1;2.4.2.4
C00330	G10621	3.1.3.5
C00330	C05841	2.4.2.1;3.1.3.5
C00330	C00526	2.4.2.1;2.4.2.4
C00330	C00360	3.1.3.5
C00330	C01736	2.4.2.1
C00330	C00055	3.1.3.5
C00330	C00262	2.4.2.1;2.4.2.4
C00330	C00387	2.4.2.1;3.1.3.5;2.4.2.4
C00330	C00130	3.1.3.5
C01977	C00242	2.4.2.29
C16619	C00242	2.4.2.8
C07648	C00242	2.4.2.8
C16615	C00242	2.4.2.8
C02918	C00153	2.1.1.1
G10620	C00475	2.7.1.48
C00620	C03150	2.4.2.1
C00620	C00242	2.4.2.1
C00620	C00294	2.4.2.1
C00620	C00212	2.4.2.1
C00620	C00153	2.4.2.1
C00620	C00387	2.4.2.1
C00178	C00242	2.4.2.4
C00131	C00475	2.7.1.48
C00106	C03150	2.4.2.1
C00106	C00242	2.4.2.1;2.4.2.4
C00106	C00294	2.4.2.1
C00106	C00212	2.4.2.1
C00106	C00153	2.4.2.1
C00106	C00387	2.4.2.1;2.4.2.4
C05512	C03150	2.4.2.1
C05512	C00242	2.4.2.1;2.4.2.4
C05512	C00294	2.4.2.1;3.5.4.4
C05512	C00212	2.4.2.1;3.5.4.4
C05512	C00153	2.4.2.1
C05512	C00387	2.4.2.1;2.4.2.4
C00655	C00475	3.1.3.5
C00655	C03150	3.1.3.5
C00655	C00242	3.1.3.5;2.4.2.22;2.4.2.8
C00655	C00294	3.1.3.5
C00655	C00212	3.1.3.5
C00655	C00387	3.1.3.5;2.4.2.22;2.4.2.8
C00458	C00475	2.7.1.48
C01185	C00475	3.1.3.5
C01185	C03150	3.1.3.5
C01185	C00294	3.1.3.5
C01185	C00212	3.1.3.5
C01185	C00387	3.1.3.5
C00021	C00212	3.3.1.1
C00021	C00153	2.1.1.1
C15587	C03150	2.4.2.1
C15587	C00242	2.4.2.1
C15587	C00294	2.4.2.1
C15587	C00212	2.4.2.1
C15587	C00153	2.4.2.1
C15587	C00387	2.4.2.1
C00081	C00475	2.7.1.48
C00044	C00475	2.7.1.48
C05698	C00212	3.3.1.1
C00201	C00212	2.7.1.74
C00253	C03150	2.4.2.1;3.1.3.5
C00253	C00242	2.4.2.1;3.1.3.5
C00253	C00294	2.4.2.1;3.1.3.5
C00253	C00212	2.4.2.1;3.1.3.5
C00253	C00153	2.4.2.1
C00253	C00387	2.4.2.1;3.1.3.5
C00147	C03150	2.4.2.1
C00147	C00242	2.4.2.1;2.4.2.8;2.4.2.4;2.4.2.7
C00147	C00294	2.4.2.1
C00147	C00212	2.4.2.1
C00147	C00153	2.4.2.1
C00147	C00387	2.4.2.1;2.4.2.8;2.4.2.4;2.4.2.7
C02380	C00242	2.4.2.8
C00475	C00014	3.5.4.5
C00475	C03150	3.1.3.5
C00475	C00105	3.1.3.5;2.7.1.48
C00475	C00364	3.1.3.5
C00475	C00015	2.7.1.48
C00475	C00294	3.1.3.5
C00475	G10619	2.7.1.48
C00475	C12739	3.5.4.5
C00475	C00286	2.7.1.48
C00475	C00299	3.1.3.5;2.7.1.48;3.5.4.5
C00475	C02520	3.1.3.5
C00475	C00212	3.1.3.5
C00475	C00460	2.7.1.48
C00475	C00455	3.1.3.5
C00475	C00881	3.1.3.5;3.5.4.5
C00475	C00705	2.7.1.48
C00475	C00459	2.7.1.48
C00475	C00144	3.1.3.5
C00475	C00362	3.1.3.5
C00475	C00104	2.7.1.48
C00475	C16634	2.7.1.48
C00475	C00239	3.1.3.5;3.5.4.5
C00475	C00206	2.7.1.48
C00475	C16635	3.5.4.5
C00475	G10621	3.1.3.5;2.7.1.48
C00475	C05841	3.1.3.5
C00475	C00526	3.5.4.5
C00475	C00361	2.7.1.48
C00475	C00360	3.1.3.5
C00475	C01346	2.7.1.48
C00475	C00055	3.1.3.5;2.7.1.48
C00475	C00035	2.7.1.48
C00475	C00387	3.1.3.5
C00475	C00130	3.1.3.5
C00014	C00242	3.5.4.3
C00014	C00294	3.5.4.4
C00014	C00212	3.5.4.4
C03150	C00672	2.4.2.1;3.1.3.5
C03150	C00242	2.4.2.1;3.1.3.5
C03150	C00105	3.1.3.5
C03150	C00364	3.1.3.5
C03150	C00465	2.4.2.1
C03150	C00294	2.4.2.1;3.1.3.5
C03150	C00299	3.1.3.5
C03150	C02520	3.1.3.5
C03150	C00212	2.4.2.1;3.1.3.5
C03150	C00455	3.1.3.5;2.7.1.22
C03150	C00881	3.1.3.5
C03150	C00144	3.1.3.5
C03150	C00362	3.1.3.5
C03150	C00239	3.1.3.5
C03150	C00153	2.4.2.1
C03150	C00385	2.4.2.1
C03150	G10621	3.1.3.5
C03150	C05841	2.4.2.1;3.1.3.5
C03150	C00526	2.4.2.1
C03150	C00360	3.1.3.5
C03150	C01736	2.4.2.1
C03150	C00055	3.1.3.5
C03150	C00262	2.4.2.1
C03150	C00387	2.4.2.1;3.1.3.5
C03150	C00130	3.1.3.5
C00155	C00212	3.3.1.1
C00672	C00242	2.4.2.1;3.1.3.5;2.4.2.4
C00672	C00294	2.4.2.1;3.1.3.5
C00672	C00212	2.4.2.1;3.1.3.5
C00672	C00153	2.4.2.1
C00672	C00387	2.4.2.1;3.1.3.5;2.4.2.4
C01978	C00242	2.4.2.29
C00242	C04646	2.4.2.8
C00242	C00465	2.4.2.1
C00242	C00294	2.4.2.1;3.1.3.5
C00242	C12739	2.4.2.4
C00242	C00212	2.4.2.1;3.1.3.5
C00242	C01449	2.4.2.29
C00242	C00144	3.1.3.5;2.4.2.7;2.4.2.22;2.4.2.8
C00242	C00153	2.4.2.1
C00242	C11736	2.4.2.4
C00242	C00385	3.5.4.3;2.4.2.8;2.4.2.1;2.4.2.4;2.4.2.22
C00242	C00119	2.4.2.8;2.4.2.7;2.4.2.22
C00242	C16614	2.4.2.8
C00242	C05841	2.4.2.1;3.1.3.5
C00242	C00526	2.4.2.1;2.4.2.4
C00242	C01736	2.4.2.1
C00242	C00262	3.5.4.3;2.4.2.8;2.4.2.1;2.4.2.4;2.4.2.22
C00242	C00387	2.4.2.29;2.4.2.8;2.4.2.22;3.1.3.5;2.4.2.1;3.5.4.3;2.4.2.4;2.4.2.7
C00242	C00130	3.1.3.5;2.4.2.22;2.4.2.8
C00105	C00294	3.1.3.5
C00105	C00212	3.1.3.5
C00105	C00387	3.1.3.5
C00364	C00294	3.1.3.5
C00364	C00212	3.1.3.5
C00364	C00387	3.1.3.5
C00465	C00294	2.4.2.1
C00465	C00212	2.4.2.1
C00465	C00153	2.4.2.1
C00465	C00387	2.4.2.1
C00294	C00299	3.1.3.5
C00294	C02520	3.1.3.5
C00294	C00212	2.4.2.1;3.1.3.5;3.5.4.4
C00294	C00455	3.1.3.5
C00294	C00881	3.1.3.5
C00294	C00144	3.1.3.5
C00294	C00362	3.1.3.5
C00294	C00239	3.1.3.5
C00294	C00153	2.4.2.1
C00294	C00385	3.2.2.2;2.4.2.1;3.2.2.8;3.2.2.1
C00294	G10621	3.1.3.5
C00294	C05841	2.4.2.1;3.1.3.5
C00294	C00526	2.4.2.1
C00294	C00360	3.1.3.5
C00294	C01736	2.4.2.1
C00294	C00055	3.1.3.5
C00294	C00262	3.2.2.2;2.4.2.1;3.2.2.8;3.2.2.1
C00294	C00121	3.2.2.2;3.2.2.8;3.2.2.1
C00294	C00387	2.4.2.1;3.1.3.5
C00294	C00130	3.1.3.5
1mncam	C00153	2.4.2.12;2.1.1.1;2.4.2.31;2.4.2.30;3.2.2.6;3.2.2.5;2.4.2.1
C00019	C00153	2.1.1.1
C00299	C00212	3.1.3.5
C00299	C00387	3.1.3.5
C02520	C00212	3.1.3.5
C02520	C00387	3.1.3.5
C00212	C00455	3.1.3.5
C00212	C00881	3.1.3.5;2.7.1.74
C00212	C00144	3.1.3.5
C00212	C00362	3.1.3.5
C00212	C00239	3.1.3.5;2.7.1.74
C00212	C00153	2.4.2.1
C00212	C00385	2.4.2.1
C00212	C00454	2.7.1.74
C00212	G10621	3.1.3.5
C00212	C05692	3.3.1.1
