input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row3	E3	row23_M(C13)+H[1+];row3_M+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row3	132.0769	252.96	0.10651643323065695	-2.9758055500420006	C4H9N3O2
row23	E3	row23_M(C13)+H[1+];row3_M+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine	row23	133.0801	252.83	0.184910241252587	-2.2953863905496386	C4H9N3O2
row25	E6	row25_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate	row25	133.0861	26.79	0.007520431469801852	8.992965066558241	
row31	E7	row31_M+Na[1+]	C00257;C00800	D-Gluconate$L-Gulonate	row31	219.0476	192.56	0.2887289562345315	1.5290904754576033	
row49	E10	row374_M+Na[1+];row49_M+H[1+];row71_M(C13)+H[1+]	C00864	(R)-Pantothenate	row49	220.1181	179.0	0.4935579650613509	0.9563186484495281	C9H17NO5
row70	E14	row70_M+H[1+]	C00643	5-Hydroxy-L-tryptophan	row70	221.0922	191.51	0.010810396623181699	-7.7961324519758035	C11H12N2O3
row71	E10	row374_M+Na[1+];row49_M+H[1+];row71_M(C13)+H[1+]	C00864	(R)-Pantothenate	row71	221.1214	178.87	0.2241442152826983	1.8944598200959173	C9H17NO5
row105	E20	row105_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde	row105	137.0598	204.41	0.025098183779410577	5.5639610463672255	C8H8O2
row107	E22	row107_M+H[1+]	C02291;C00542	L-Cystathionine$Cystathionine	row107	223.0749	25.33	0.00360208749650602	-13.00142486182367	
row116	E24	row116_M+H[1+];row523_M+Na[1+]	C00329	D-Glucosamine	row116	180.0872	191.9	0.22253257671091384	1.9647414801449716	C6H13NO5
row117	E25	row117_M+Na[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline	row117	138.0526	222.17	0.07067106174428443	-3.5711916929695904	
row127	E27	row127_M+H[1+]	C00785	Urocanate	row127	139.0503	182.68	0.16649286309318204	-2.4278534721183043	C6H6N2O2
row156	E31	row156_M+Na[1+]	CE2949		row156	226.0107	388.93	0.22268250092476363	-1.930629431835338	
row165	E33	row165_M(C13)+H[1+];row585_M+Na[1+];row586_M+Na[1+]	C00082;CE2174	L-Tyrosine$	row165	183.0844	204.27	0.07390933805880949	3.5177786464925385	C9H11NO3
