massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	132.0446	28.24	0.022697636752242723	6.235475136900661	C8H5NO
row2	132.0527	159.14	0.003012427866679537	13.676898045599653	
row3	132.0769	252.96	0.8730395997233569	0.25576976209140934	C4H9N3O2
row4	132.0809	155.99	0.005010134206774291	10.976245468937199	
row5	175.2036	358.7	0.549224995794406	-0.9284392605379654	
row6	218.0598	269.31	0.27108320476262693	1.8411198857832143	
row7	218.0653	269.18	0.07232950602718169	3.8384125426741216	
row8	132.1049	259.43	0.018426455439947958	6.748609912675479	C25H42O
row9	132.1049	261.03	0.06311973389854042	4.08956364779535	
row10	132.1049	270.23	0.07232950602718169	3.84120136373284	
row11	132.1049	283.42	0.2559288313577799	1.970126124464598	
row12	132.1049	366.34	0.26808369479808797	1.8636973620256838	
row13	132.1049	368.18	0.032501145900290976	5.342572935537644	
row14	132.1049	379.61	0.0015875609939796883	18.342577132541695	
row15	218.0813	27.71	0.2559288313577799	1.9999865740791127	C12H11NO3
row16	72.0926	209.43	0.15744088046878016	2.7128419625367908	
row17	132.1152	265.76	0.252275837450436	2.109551030141257	
row18	132.1214	265.76	0.14314642268436914	2.839055238526744	
row19	218.1249	295.96	0.6266175650123721	-0.7481282963320819	
row20	73.0784	209.43	0.05129360592813777	4.467701032653944	
row21	73.0848	209.69	0.03653995112225611	5.130693159351996	
row22	176.0295	216.13	0.13209596633247694	-2.946634430865699	
row23	132.9874	108.14	0.2765510015267013	1.8057588939916385	
row24	132.9874	110.9	0.40583563140045126	1.3226898215292797	
row25	132.9874	112.74	0.383846545751786	1.3962000732862945	
row26	132.9874	213.89	0.23861682233696885	-2.18869504402723	
row27	133.0279	362.77	0.479317990111482	-1.112691764606165	
row28	133.0319	190.85	0.23131914645256557	-2.2210318797795354	C5H8O2S
row29	218.9434	200.73	0.05592930283489008	-4.313534100364229	
row30	133.0762	257.72	0.001691992549219137	-17.890585297840385	
row31	133.0801	252.83	0.5905027703716315	0.8224989766891292	C4H9N3O2
row32	133.0843	155.6	0.00810088053928293	9.275635746773196	
row33	133.0861	26.79	0.10079079802235573	-3.334127140308674	
row34	219.0267	198.21	0.8269912209845294	0.3576418016832893	
row35	219.0267	204.67	0.10847637816014014	3.230528247756946	
row36	219.0267	210.74	0.4661874211704468	1.1492813291448636	
row37	133.1014	25.2	0.7410106442485378	0.5152845703958795	
row38	133.1014	27.84	0.7688698087026706	-0.457644840466892	
row39	219.0476	192.56	0.1744081191567804	2.58030139530699	
row40	219.0576	269.31	0.12306059533325008	3.0374463539792598	C13H11ClO,C11H10N2OS
row41	133.1222	266.16	0.18433744745050598	2.5146264719530493	
row42	133.1247	265.76	0.21121687705512995	2.3432087401501525	
row43	176.1282	29.68	0.07232950602718169	-3.8344416680629223	
row44	176.8754	200.73	0.9738005315311674	-0.053686905837261656	CK2O3
row45	219.9076	198.21	0.9534680155062383	0.08744896385566392	
row46	219.9076	205.06	0.22360221456086585	-2.2685927748965113	
row47	134.0312	190.98	0.32965501378724865	-1.5823994520037075	
row48	219.9468	200.73	0.047524815712559496	-4.594126270230736	
row49	134.0322	190.59	0.8990831060762151	-0.19650983860472096	
row50	134.0353	190.85	0.2559288313577799	-2.0736084511887833	C5H8O2S
row51	134.0813	41.57	0.01239333086176487	-7.839851359320941	C5H11NO3
row52	134.0813	48.95	0.06513357580167622	-4.027739254786114	C5H11NO3
row53	220.03	198.21	0.7414568077023393	0.5136875650196923	
row54	220.03	204.67	0.07367621148704814	3.809379803142517	
row55	220.03	210.74	0.49694987413552977	1.061085383611011	
row56	220.0371	198.07	0.9188750305284253	-0.15283228092572762	
row57	220.0371	204.54	0.8730395997233569	-0.25856093607692243	C9H11NO3
row58	220.1181	179.0	0.8572507498878781	-0.2948888168250246	C9H17NO5
row59	75.0577	257.85	0.016152294130068898	7.156299005836172	
row60	75.0577	259.69	0.2849541530045409	1.764178208933426	
row61	177.8883	200.73	0.3141852384270194	-1.643496936441154	
row62	177.9668	200.99	0.028752270964784662	-5.6087934714948045	H2KO4P
row63	135.0277	190.72	0.22503625424561993	-2.2557879355539927	
row64	178.0242	202.96	0.002625183204056309	14.348363142091426	
row65	220.5575	191.77	0.3286820949689035	1.5892956438877552	
row66	178.0711	191.12	0.022546584064901395	6.25122586538351	
row67	220.9016	200.73	0.2559288313577799	-1.9498560956159126	
row68	220.9415	200.6	0.06347086853153083	-4.078987016004072	
row69	220.9475	200.6	0.11329071833909943	-3.15900265034154	
row70	221.0248	198.21	0.8270801658192144	0.3568248423637558	
row71	221.0248	204.67	0.11135783536274566	3.1891738515680936	
row72	221.0248	211.14	0.7410106442485378	0.5151889493786127	
row73	221.0308	198.21	0.42377096689388466	-1.2649230613428437	
row74	135.0635	50.0	0.499214776247253	-1.0515644763130314	C8H7NO
row75	221.0344	204.14	0.7291431503464828	-0.5356518245495203	
row76	221.0344	209.3	0.3423507878485368	1.5340355471192968	
row77	221.0405	204.41	0.8730395997233569	-0.2567644886120371	
row78	135.068	203.36	0.4310507657933423	-1.246164581293998	
row79	221.0922	191.51	0.00397948918190529	12.091967893488098	C11H12N2O3
row80	221.1214	178.87	0.14228929834467574	-2.8496302395267494	C9H17NO5
row81	221.1389	27.32	0.0821852406050228	-3.6495868967388323	C11H16N4O
row82	221.1389	34.84	0.7909416928988359	-0.4182591961547625	
row83	221.8998	135.41	0.5634566538030844	-0.8876134940961037	
row84	221.8998	150.28	0.0847273175752117	-3.5987608497634582	
row85	178.8736	200.73	0.7175045386732097	0.5596615637816187	
row86	221.9924	336.01	0.35719477484740936	1.4849682516480698	
row87	221.9924	338.11	0.28288945264621357	1.7804667674584835	
row88	221.9924	341.65	0.2559288313577799	1.996116155394386	
row89	221.9924	348.91	0.2559288313577799	1.9999999973880815	
row90	221.9924	350.39	0.6462139506987092	0.7029572096081154	
row91	221.9924	352.1	0.28404028584651025	1.7720115293040872	
row92	77.0391	159.01	0.002131463616873453	16.053438241012316	
row93	178.8811	198.21	0.28470268059355314	-1.7665918749831868	
row94	178.8811	205.06	0.2404209474127002	-2.1800030642982917	
row95	77.9274	200.73	0.017708805367716827	-6.868534101355517	
row96	222.0956	174.67	5.973539048455782e-05	73.13042993696193	C11H12N2O3
row97	222.0956	176.11	0.0017373277287644699	17.59750582035443	
