EID	massfeature_rows	str_row_ion	compounds	compound_names
E3	row29;row3	row29_M(C13)+H[1+];row3_M+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E6	row31	row31_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E7	row38	row38_M+Na[1+]	C00257;C00800	D-Gluconate$L-Gulonate
E10	row399;row60;row87	row399_M+Na[1+];row60_M+H[1+];row87_M(C13)+H[1+]	C00864	(R)-Pantothenate
E16	row101;row86	row101_M(C13)+H[1+];row86_M+H[1+]	C00643	5-Hydroxy-L-tryptophan
E21	row118	row118_M+H[1+]	C07086;C03765	Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde
E24	row127	row127_M+Na[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline
E26	row134	row134_M+H[1+]	C00785	Urocanate
E27	row468	row468_M+Na[1+]	C00785	Urocanate
E29	row155	row155_M+Na[1+]	CE2949	
E30	row161;row583;row584	row161_M(C13)+H[1+];row583_M+Na[1+];row584_M+Na[1+]	C00082;CE2174	L-Tyrosine$
E32	row172	row172_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E33	row173	row173_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E36	row177;row445;row472	row177_M+HCOONa[1+];row445_M+H[1+];row472_M(C13)+H[1+]	C00637	Indole-3-acetaldehyde
E37	row446	row446_M+H[1+]	C00637	Indole-3-acetaldehyde
E38	row177	row177_M+Na[1+]	C05660	5-Methoxyindoleacetate
E39	row628	row628_M+H[1+]	C05660	5-Methoxyindoleacetate
E41	row183	row183_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite
E44	row208	row208_M+H[1+]	C01035	4-Guanidinobutanoate
E47	row220	row220_M+Na[1+]	C00328;C05647	L-Kynurenine$Formyl-5-hydroxykynurenamine
E50	row234;row242	row234_M+Na[1+];row242_M+HCOONa[1+]	C01019	6-Deoxy-L-galactose; L-Fucose
E52	row242	row242_M+Na[1+]	C02076	sedoheptulose
E53	row244	row244_M+H[1+]	C05579	Indole-5,6-quinone
E54	row245	row245_M+H[1+]	C05579	Indole-5,6-quinone
E58	row268	row268_M+H[1+]	CE4888;C05578	dopaminochrome$5,6-Dihydroxyindole; DHI
E64	row302	row302_M+Na[1+]	C00547;C00314	Norepinephrine$Pyridoxine
E66	row313;row328;row778	row313_M+H[1+];row328_M(C13)+H[1+];row778_M+Na[1+]	C00242	Guanine
E69	row785;row790	row785_M+H[1+];row790_M(C13)+H[1+]	CN0016	Dibenzo[a,l]pyrene
E70	row320;row896	row320_M+Na[1+];row896_M+H[1+]	C01233	sn-Glycero-3-phosphoethanolamine
E72	row342	row342_M+H[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E73	row896	row896_M+Na[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E75	row352;row353	row352_M+Na[1+];row353_M+Na[1+]	C00077;C00515;C01602	Ornithine$D-Ornithine$Ornithine; 2,5-Diaminovaleric acid; 2,5-Diaminopentanoic acid; 2,5-Diaminopentanoate
E81	row425	row425_M+H[1+]	C04221	trans-1,2-Dihydrobenzene-1,2-diol
E85	row454	row454_M+Na[1+]	CE5920	
E87	row464	row464_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E88	row482	row482_M+H[1+]	C00141	3-Methyl-2-oxobutanoate
E94	row495;row496	row495_M+H[1+];row496_M+H[1+]	C05639	4,6-Dihydroxyquinoline; Quinoline-4,6-diol
E95	row497	row497_M+H[1+]	C05639	4,6-Dihydroxyquinoline; Quinoline-4,6-diol
E96	row498;row499;row514	row498_M+H[1+];row499_M+H[1+];row514_M(C13)+H[1+]	C01136;C16255	S-Acetyldihydrolipoamide; 6-S-Acetyldihydrolipoamide$[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine; S-Acetyldihydrolipoamide-E
E98	row500	row500_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E99	row501	row501_M+H[1+]	C00581;gudac	Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid$Guanidinoacetate
E103	row532	row532_M+Na[1+]	C00329	D-Glucosamine
E104	row546;row547	row546_M+H[1+];row547_M+H[1+]	C16602;C16601;C07496	3-Hydroxycarbamazepine$2-Hydroxycarbamazepine$Carbamazepine-10,11-epoxide; Carbamazepine epoxide
E105	row554	row554_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E106	row589;row624	row589_M+H[1+];row624_M(C13)+H[1+]	C00153	Nicotinamide
E109	row586	row586_M+H[1+]	C16582;C16584	2-Hydroxyfelbamate$p-Hydroxyfelbamate
E110	row573;row611	row573_M+H[1+];row611_M(C13)+H[1+]	C05838;C00811;C02763;C00166	cis-2-Hydroxycinnamate; 2-Coumarinate$4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate$enol-Phenylpyruvate$Phenylpyruvate
E112	row585;row619	row585_M+H[1+];row619_M(C13)+H[1+]	C00180;C00633	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde
E114	row1024;row1025;row607	row1024_M+Na[1+];row1025_M+Na[1+];row607_M+H[1+]	C03150;C04874	N-Ribosylnicotinamide$Dihydroneopterin
E116	row612	row612_M+Na[1+]	C01507;C00794;C01697	L-Iditol$D-Sorbitol$Galactitol
E119	row645;row664	row645_M+H[1+];row664_M(C13)+H[1+]	C00250	Pyridoxal
E123	row667	row667_M+H[1+]	CE3087	beta-carboline
E128	row670;row697	row670_M+H[1+];row697_M(C13)+H[1+]	C00906	5,6-Dihydrothymine
E130	row671	row671_M+Na[1+]	C03684;C00835	6-Pyruvoyl-5,6,7,8-tetrahydropterin$Sepiapterin
