EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row4	row4_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone
E2	row5;row6	row5_M+H[1+];row6_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone
E5	row1066	row1066_M+Na[1+]	C01762	Xanthosine
E11	row34;row51	row34_M+H[1+];row51_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol
E12	row110;row111	row110_M+Na[1+];row111_M+Na[1+]	C01119	Oxidized dithiothreitol
E15	row49	row49_M+Na[1+]	C00073	L-Methionine
E18	row54	row54_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite
E22	row63	row63_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E24	row69	row69_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E25	row78	row78_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid
E32	row105	row105_M+H[1+]	C01250	N-Acetyl-L-glutamate 5-semialdehyde; 2-Acetamido-5-oxopentanoate
E37	row124	row124_M+H[1+]	C00439	N-Formimidoyl-L-glutamate
E39	row128	row128_M+H[1+]	C02646	4-Coumaryl alcohol; 4-Hydroxycinnamyl alcohol; p-Coumaryl alcohol
E42	row132	row132_M+H[1+]	CE5665	leukoaminochrome
E43	row134	row134_M+H[1+]	C05527	3-Sulfinopyruvate
E45	row141	row141_M+Na[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E46	row144	row144_M+H[1+]	C08276	
E47	row147	row147_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate
E48	row149	row149_M+H[1+]	C09815	Benzamide
E51	row187	row187_M+Na[1+]	C00049;C00402	L-Aspartate$D-Aspartate
E52	row195	row195_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate
E56	row214	row214_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E60	row451	row451_M+Na[1+]	C05583;C05582	3-Methoxy-4-hydroxyphenylglycolaldehyde$Homovanillate; Homovanillic acid
E65	row244;row245;row246;row297	row244_M+Na[1+];row245_M+Na[1+];row246_M+Na[1+];row297_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E68	row266	row266_M+H[1+]	C11821	5-Hydroxyisourate
E70	row268;row860	row268_M+H[1+];row860_M+HCOONa[1+]	C00822;C05604	Dopaquinone$2-Carboxy-2,3-dihydro-5,6-dihydroxyindole; Leucodopachrome
E72	row277	row277_M+Na[1+]	1mncam;C02918	1-Methylnicotinamide$1-Methylnicotinamide
E74	row284	row284_M+Na[1+]	C00791	
E75	row296	row296_M+H[1+]	C00631;C00197	D-Glycerate 2-phosphate$3-Phospho-D-glycerate
E79	row329	row329_M+Na[1+]	C00438	N-Carbamoyl-L-aspartate
E80	row331	row331_M+H[1+]	C05585;C00156	Gentisate aldehyde$4-Hydroxybenzoate
E81	row353	row353_M+H[1+]	C12215	Iminoerythrose 4-phosphate; Imino-D-erythrose 4-phosphate
E82	row358;row379	row358_M+H[1+];row379_M(C13)+H[1+]	CE5538;C05653	noradrenochrome$N-Formylanthranilate
E85	row359	row359_M+H[1+]	C00624	N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid
E87	row645	row645_M+Na[1+]	C05635;C16596	5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione
E88	row646	row646_M+Na[1+]	C05635;C16596	5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione
E91	row387	row387_M+H[1+]	C03722	Quinolinate
E94	row411	row411_M+Na[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E95	row415	row415_M+H[1+]	C00643	5-Hydroxy-L-tryptophan
E97	row889	row889_M+Na[1+]	C00214	Thymidine
E98	row448	row448_M+H[1+]	C00214	Thymidine
E101	row469	row469_M+H[1+]	C02470	Xanthurenic acid
E103	row471	row471_M+H[1+]	C00248	Lipoamide; Thioctic acid amide
E104	row481	row481_M+H[1+]	C02985	L-Fucose 1-phosphate; 6-Deoxy-L-galactose 1-phosphate; beta-L-Fucose 1-phosphate
E105	row482;row930	row482_M+Na[1+];row930_M+HCOONa[1+]	CE5626	salsolinol 1-carboxylate
E107	row492	row492_M+Na[1+]	C00331	Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate
E108	row493	row493_M+Na[1+]	C00331	Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; 3-(Indol-3-yl)pyruvate
E113	row542;row543	row542_M+Na[1+];row543_M+Na[1+]	C01029;C00612	$N1-Acetylspermidine
E114	row572	row572_M+H[1+]	C00526	Deoxyuridine
E119	row582	row582_M+H[1+]	C02325	Sinapyl alcohol; Sinapoyl alcohol
E120	row628	row628_M+Na[1+]	C02325	Sinapyl alcohol; Sinapoyl alcohol
E125	row612	row612_M+H[1+]	C05648	5-Hydroxy-N-formylkynurenine; 5-Hydroxy-N-formyl-L-kynurenine
E129	row643;row673;row674;row675	row643_M+H[1+];row673_M(C13)+H[1+];row674_M(C13)+H[1+];row675_M(C13)+H[1+]	C05708	Selenomethionine Se-oxide
E132	row669	row669_M+H[1+]	C16300	Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid
E135	row687;row688;row689;row964	row687_M+Na[1+];row688_M+Na[1+];row689_M+Na[1+];row964_M+HCOONa[1+]	C03150	N-Ribosylnicotinamide
E139	row705	row705_M+H[1+]	C06426;C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
E145	row724	row724_M+Na[1+]	C00670	sn-Glycero-3-phosphocholine
E147	row726	row726_M+H[1+]	C01595	linoleic acid (all cis C18:2) n-6
E150	row757	row757_M+Na[1+]	C04582;C04188	5-Methylthio-5-deoxy-D-ribulose 1-phosphate$5-Methylthio-5-deoxy-D-ribose 1-phosphate
E151	row761;row797;row798	row761_M+Na[1+];row797_M+H[1+];row798_M+H[1+]	CE5868	N-acetyl-seryl-aspartate
E154	row778;row789	row778_M+H[1+];row789_M(C13)+H[1+]	C00387	Guanosine
E155	row841	row841_M+H[1+]	CE5526;CE5527;C14765	$$13-OxoODE; 13-KODE; (9Z,11E)-13-Oxooctadeca-9,11-dienoic acid
E156	row871;row900	row871_M+H[1+];row900_M(C13)+H[1+]	C14762;C14826;C14825	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid
E159	row894	row894_M+H[1+]	C04148;C05642	alpha-N-Phenylacetyl-L-glutamine$Formyl-N-acetyl-5-methoxykynurenamine
E161	row911	row911_M+Na[1+]	C00170	5-Methylthioadenosine
E162	row930	row930_M+Na[1+]	C00294	Inosine
E164	row939	row939_M+Na[1+]	C01449	Queuine; Base Q
E168	row958	row958_M+H[1+]	C00777;C15493	Retinoate$9-cis-Retinoic acid
E169	row982	row982_M+H[1+]	C03410	N-Glycoloyl-neuraminate; N-Glycolylneuraminate; NeuNGc
E173	row1027	row1027_M+H[1+]	C05476	Tetrahydrocorticosterone
E174	row1031	row1031_M+Na[1+]	C00575	cAMP
E175	row1032	row1032_M+Na[1+]	C00575	cAMP
E177	row1078;row1095	row1078_M+H[1+];row1095_M(C13)+H[1+]	C01169	S-Succinyldihydrolipoamide
E178	row1087	row1087_M+H[1+]	C06196	2'-Deoxyinosine 5'-phosphate; dIMP
E179	row1088	row1088_M+H[1+]	C06196	2'-Deoxyinosine 5'-phosphate; dIMP
E181	row1105	row1105_M+Na[1+]	C06350	
E184	row1119;row1120	row1119_M+Na[1+];row1120_M+Na[1+]	C00455	NMN
E186	row1129;row1130;row1138	row1129_M+H[1+];row1130_M+H[1+];row1138_M(C13)+H[1+]	CE5528	
E187	row1131	row1131_M+H[1+]	CE5528	
E190	row1134	row1134_M+H[1+]	CE5928;CE5925;C05953;C05957;C05954;C05955;CE5535;CE5537	$$Prostaglandin A2; PGA2; Medullin$Prostaglandin J2; PGJ2$Prostaglandin B2; PGB2$Prostaglandin C2; PGC2$$
E194	row1151;row1178	row1151_M+H[1+];row1178_M(C13)+H[1+]	C04717;C14827	(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid$9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid
