pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin D3 (cholecalciferol) metabolism	0	0	0.009747080077304428			
Hyaluronan Metabolism	0	1	0.009747080077304428			
N-Glycan biosynthesis	0	1	0.009747080077304428			
Glycolysis and Gluconeogenesis	0	3	0.009747080077304428			
Glycosphingolipid biosynthesis - ganglioseries	0	1	0.009747080077304428			
R Group Synthesis	0	0	0.009747080077304428			
C5-Branched dibasic acid metabolism	0	1	0.009747080077304428			
Pyruvate Metabolism	0	0	0.009747080077304428			
Sialic acid metabolism	0	0	0.009747080077304428			
Chondroitin sulfate degradation	0	0	0.009747080077304428			
Di-unsaturated fatty acid beta-oxidation	0	2	0.009747080077304428			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.009747080077304428			
Linoleate metabolism	0	8	0.009747080077304428			
Hexose phosphorylation	0	0	0.009747080077304428			
Vitamin B2 (riboflavin) metabolism	0	1	0.009747080077304428			
Squalene and cholesterol biosynthesis	0	0	0.009747080077304428			
Galactose metabolism	0	0	0.009747080077304428			
Keratan sulfate degradation	0	1	0.009747080077304428			
Glycerolipid metabolism	0	0	0.009747080077304428			
Carnitine shuttle	0	0	0.009747080077304428			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.009747080077304428			
Alkaloid biosynthesis II	0	1	0.009747080077304428			
Vitamin B1 (thiamin) metabolism	0	1	0.009747080077304428			
Glycosphingolipid biosynthesis - globoseries	0	1	0.009747080077304428			
Histidine metabolism	0	2	0.009747080077304428			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.009747080077304428			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.009747080077304428			
Glycosphingolipid biosynthesis - lactoseries	0	1	0.009747080077304428			
Bile acid biosynthesis	0	1	0.009747080077304428			
Parathio degradation	0	1	0.009747080077304428			
Propanoate metabolism	0	1	0.009747080077304428			
Blood Group Biosynthesis	0	1	0.009747080077304428			
Electron transport chain	0	0	0.009747080077304428			
Vitamin H (biotin) metabolism	0	1	0.009747080077304428			
Biopterin metabolism	0	0	0.009747080077304428			
Vitamin E metabolism	0	1	0.009747080077304428			
