massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	108.9009	135.19	0.9405578581958427	-0.32378698027748953	
row2	108.9009	150.19	0.933383957388087	-0.8128612060534914	CaO2
row3	108.9777	212.81	0.9467250666681246	0.2875989499489906	
row4	109.0285	24.93	0.9346666598275495	0.5689140867459787	C3H8NO,CH6N4,C4H3N3O
row5	109.0285	163.28	0.4560962520555829	5.384401463462604	C3H8NO,CH6N4,C4H3N3O
row6	109.0285	165.25	0.9348344813319838	-0.4477939212474908	C3H8NO,CH6N4,C4H3N3O
row7	169.0613	50.51	0.933383957388087	1.9672238548980894	C7H12N2O4
row8	169.0692	50.11	0.933383957388087	1.442126400828784	C8H11NO3
row9	142.0653	156.03	0.933383957388087	0.7606316844535942	
row10	142.9433	201.48	0.933383957388087	1.1413161518468538	
row11	142.9743	201.75	0.9348344813319838	0.4483965339706444	
row12	110.8979	150.19	0.9346666598275495	-0.5702462455159355	
row13	170.0564	301.17	0.933383957388087	0.7018544132063053	C6H9N3O3,C6H11N3O4
row14	170.0564	309.57	0.933383957388087	0.7592246289575121	C6H9N3O3,C6H11N3O4
row15	170.0701	49.85	0.933383957388087	0.7145638080879418	
row16	110.957	36.26	0.9697507894859414	-0.1531427052131338	
row17	170.8286	1.7	0.933383957388087	1.0840393330494178	
row18	170.8474	149.8	0.9433299709269035	-0.300601219557277	
row19	143.0454	298.15	0.933383957388087	0.8155525021440493	
row20	143.0454	314.96	0.933383957388087	0.8204758382179868	
row21	143.0535	147.17	0.933383957388087	-0.8227425042792478	C7H12OS,C7H14O2S,C7H14O2S
row22	143.0535	150.74	0.933383957388087	0.9495213136173858	C7H12OS,C7H14O2S,C7H14O2S
row23	143.0535	152.45	0.933383957388087	2.012764349476986	C7H12OS,C7H14O2S,C7H14O2S
row24	112.9362	346.74	0.933383957388087	-1.9751028091584364	
row25	171.0195	227.54	0.933383957388087	-0.8401642088560206	C9H6N2O3
row26	143.9007	346.74	0.9348344813319838	-0.3756758549009018	
row27	171.0405	234.76	0.933383957388087	0.9200862810202634	C6H8N2O4,C6H10N2O5
row28	171.0405	239.91	0.933383957388087	0.9815835191333286	C6H8N2O4,C6H10N2O5
row29	171.0479	32.33	0.933383957388087	1.484301602346855	C8H14O3S,C6H9N3OS
row30	113.9356	346.6	0.933383957388087	-1.9311810419217588	
row31	171.0558	26.91	0.9348344813319838	0.5091809363829909	C10H10N2O2,C10H8N2O,C8H5N5
row32	171.0598	309.18	0.933383957388087	1.412267470846562	C7H14N2O2S
row33	143.9777	201.61	0.9346666598275495	0.5361363828319176	
row34	171.0657	191.97	0.933383957388087	0.6486259998928009	C8H14O5,C8H12O4,C6H9N3O3
row35	143.9904	222.26	0.9538782609696626	0.2367468769003527	
row36	171.0769	292.24	0.9348344813319838	0.4562290806107274	C7H12N2O3,C7H14N2O4
row37	77.0056	212.81	0.9532642340792441	0.24183329040555623	
row38	114.932	346.87	0.933383957388087	-1.5760800670431865	
row39	144.0293	212.15	0.9433299709269035	-0.3032532735396724	
row40	144.0446	26.12	0.9346666598275495	0.5462950806849965	C6H8O4
row41	78.9848	182.74	0.9499989951774329	0.25330030004274223	
