SOURCE	TARGET	ENZYMES
C00161	C00073	1.4.3.2
C00087	C00073	2.8.1.8
C00036	C00073	;1.4.3.2
C00091	C01169	2.3.1.61;1.2.4.2
C00025	C00073	;2.3.1.1;2.6.1.5
C01179	C00073	;1.4.3.2;2.6.1.5
C00037	C00073	;3.5.1.14;2.3.1.1;2.6.1.73
C00027	C00073	;1.4.3.2
C00101	C00073	2.1.1.13
C01647	C00073	6.1.1.10
C05752	C00073	2.8.1.8
C00579	C01169	2.3.1.61
C00048	C00073	;3.5.1.14;2.3.1.1;2.6.1.73
C02430	C00073	6.1.1.10
C00073	C00064	
C00073	C00671	1.4.3.2
C00073	C16239	2.8.1.8
C00073	C00014	;1.4.3.2
C00073	C05167	1.4.3.2
C00073	C00166	1.4.3.2;2.6.1.5
C00073	C00078	;1.4.3.2
C00073	C00440	;2.1.1.13
C00073	C00019	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C00073	C00026	;2.3.1.1;2.6.1.5
C00073	C01026	2.1.1.5
C00073	C00033	;3.5.1.14
C00073	C00021	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C00073	C00719	2.1.1.5
C00073	C16236	2.8.1.8
C00073	C00331	1.4.3.2
C00073	C00151	3.5.1.14;1.4.3.2
C00073	C00407	1.4.3.2
C00073	C02712	2.3.1.1;3.5.1.14
C00073	C00049	1.4.3.2
C00073	C01180	1.4.3.2;2.6.1.73;2.6.1.5
C00073	C00020	;6.1.1.10
C00073	C00082	;1.4.3.2;2.6.1.5
C00073	C00079	;1.4.3.2;2.6.1.5
C00073	C16237	2.8.1.8
C00073	C00010	;2.3.1.1
C00073	C00155	;2.1.1.13;2.1.1.5;2.1.1.10
C00073	C05198	2.8.1.8
C00073	C00024	;2.3.1.1
C00068	C01169	1.2.4.2
C05381	C01169	1.2.4.2
C00248	C01169	1.2.4.2
C01169	C00010	2.3.1.61;1.2.4.2
