EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row7	row7_M+H[1+]	C00366	Urate
E2	row8	row8_M+H[1+]	C00366	Urate
E6	row9	row9_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone
E7	row10;row11	row10_M+H[1+];row11_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone
E10	row1280	row1280_M+Na[1+]	C01762	Xanthosine
E16	row49;row69	row49_M+H[1+];row69_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol
E18	row67	row67_M+Na[1+]	C00073	L-Methionine
E21	row73	row73_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite
E25	row88	row88_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E27	row94	row94_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E28	row104	row104_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid
E38	row145	row145_M+Na[1+]	C01119	Oxidized dithiothreitol
E40	row167	row167_M+H[1+]	C00439	N-Formimidoyl-L-glutamate
E42	row184	row184_M+H[1+]	C05527	3-Sulfinopyruvate
E44	row191	row191_M+Na[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid
E45	row194	row194_M+H[1+]	C08276	
E46	row197	row197_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate
E47	row199	row199_M+H[1+]	C09815	Benzamide
E48	row210	row210_M+H[1+]	C00780	Serotonin
E51	row248	row248_M+Na[1+]	C00049;C00402	L-Aspartate$D-Aspartate
E52	row255	row255_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate
