pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
TCA cycle	1	1	0.001008318628686665	E176	C01169	S-Succinyldihydrolipoamide
Glycine, serine, alanine and threonine metabolism	1	5	0.012772035963364424	E18	C00073	L-Methionine
Arginine and Proline Metabolism	1	6	0.017645576002016636	E18	C00073	L-Methionine
Methionine and cysteine metabolism	1	6	0.017645576002016636	E18	C00073	L-Methionine
Urea cycle/amino group metabolism	1	7	0.019326107049827745	E18	C00073	L-Methionine
Vitamin D3 (cholecalciferol) metabolism	0	0	0.038232081337702714			
Hyaluronan Metabolism	0	1	0.038232081337702714			
N-Glycan biosynthesis	0	2	0.038232081337702714			
Glycolysis and Gluconeogenesis	0	4	0.038232081337702714			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.038232081337702714			
R Group Synthesis	0	0	0.038232081337702714			
C5-Branched dibasic acid metabolism	0	1	0.038232081337702714			
Pyruvate Metabolism	0	0	0.038232081337702714			
Sialic acid metabolism	0	3	0.038232081337702714			
Chondroitin sulfate degradation	0	0	0.038232081337702714			
Di-unsaturated fatty acid beta-oxidation	0	2	0.038232081337702714			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.038232081337702714			
Linoleate metabolism	0	2	0.038232081337702714			
Hexose phosphorylation	0	3	0.038232081337702714			
Vitamin B2 (riboflavin) metabolism	0	1	0.038232081337702714			
Squalene and cholesterol biosynthesis	0	0	0.038232081337702714			
Galactose metabolism	0	3	0.038232081337702714			
Keratan sulfate degradation	0	1	0.038232081337702714			
Glycerolipid metabolism	0	0	0.038232081337702714			
Carnitine shuttle	0	0	0.038232081337702714			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.038232081337702714			
Alkaloid biosynthesis II	0	1	0.038232081337702714			
Vitamin B1 (thiamin) metabolism	0	1	0.038232081337702714			
Glycosphingolipid biosynthesis - globoseries	0	2	0.038232081337702714			
Histidine metabolism	0	2	0.038232081337702714			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.038232081337702714			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.038232081337702714			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.038232081337702714			
Bile acid biosynthesis	0	1	0.038232081337702714			
Parathio degradation	0	1	0.038232081337702714			
Propanoate metabolism	0	1	0.038232081337702714			
Blood Group Biosynthesis	0	0	0.038232081337702714			
Electron transport chain	0	0	0.038232081337702714			
Vitamin H (biotin) metabolism	0	1	0.038232081337702714			
Biopterin metabolism	0	0	0.038232081337702714			
Vitamin E metabolism	0	1	0.038232081337702714			
Androgen and estrogen biosynthesis and metabolism	0	0	0.038232081337702714			
Caffeine metabolism	0	2	0.038232081337702714			
Lipoate metabolism	0	0	0.038232081337702714			
Heparan sulfate biosynthesis	0	0	0.038232081337702714			
Drug metabolism - cytochrome P450	0	3	0.038232081337702714			
Vitamin B9 (folate) metabolism	0	0	0.038232081337702714			
Tryptophan metabolism	0	13	0.038232081337702714			
Glyoxylate and Dicarboxylate Metabolism	0	1	0.038232081337702714			
De novo fatty acid biosynthesis	0	2	0.038232081337702714			
Vitamin A (retinol) metabolism	0	1	0.038232081337702714			
Valine, leucine and isoleucine degradation	0	1	0.038232081337702714			
Fatty Acid Metabolism	0	1	0.038232081337702714			
Glycosaminoglycan degradation	0	0	0.038232081337702714			
