input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row7	E1	row7_M+H[1+]	C00366	Urate	row7	169.0363	191.84	0.6372803272326018	-1.0915185349088312	C5H8NNaO4
row8	E2	row8_M+H[1+]	C00366	Urate	row8	169.0363	210.84	0.8660961763043851	-0.3433593774239365	C5H8NNaO4
row9	E6	row9_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row9	109.0285	24.93	0.5662386868858087	1.4621236782322053	C3H8NO,CH6N4,C4H3N3O
row10	E7	row10_M+H[1+];row11_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row10	109.0285	163.28	0.901449287680943	-0.2590080011193738	C3H8NO,CH6N4,C4H3N3O
row11	E7	row10_M+H[1+];row11_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row11	109.0285	165.25	0.7550181864113801	-0.6458162496721784	C3H8NO,CH6N4,C4H3N3O
row49	E16	row49_M+H[1+];row69_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row49	171.0657	191.97	0.615527376808064	-1.2179894429617146	C8H14O5,C8H12O4,C6H9N3O3
row67	E18	row67_M+Na[1+]	C00073	L-Methionine	row67	172.0398	28.62	0.2876320901940537	6.048430501622458	C5H8ClN5,C5H7N5,C7H9N2O,C10H9NO3,C10H7NO2
row69	E16	row49_M+H[1+];row69_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row69	172.069	192.36	0.6811687624574833	-0.8797458352464131	C8H12O4
row73	E21	row73_M+Na[1+]	C00503	Erythritol; Erythrol; Phycitol; Phycite; Erythrite	row73	145.0477	26.25	0.5804827667058021	1.4044810192607926	
row88	E25	row88_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine	row88	116.0469	209.92	0.553032671784415	1.5730800316774394	C3H7N3O2
row94	E27	row94_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde	row94	146.0814	180.11	0.9027622470483251	0.25397049964890894	
row104	E28	row104_M+Na[1+]	C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid	row104	173.0333	267.43	0.7973458803344712	-0.5195984769733903	
row145	E38	row145_M+Na[1+]	C01119	Oxidized dithiothreitol	row145	174.9865	27.57	0.553032671784415	2.6198658681767655	
row167	E40	row167_M+H[1+]	C00439	N-Formimidoyl-L-glutamate	row167	175.0718	305.9	0.9700731724617253	-0.0835650240607773	C6H12N2O4
row184	E42	row184_M+H[1+]	C05527	3-Sulfinopyruvate	row184	152.9855	283.31	0.6750452376808271	0.9049046934066866	
row191	E44	row191_M+Na[1+]	C01732;C00490	Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid$Itaconate; Itaconic acid; Methylenesuccinic acid	row191	153.016	216.35	0.8275895144171526	-0.43157732073065563	
row194	E45	row194_M+H[1+]	C08276		row194	121.0312	243.2	0.5726393400132408	1.4374818515371894	
row197	E46	row197_M+H[1+]	C04043;C00642;C05852	3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate	row197	153.0548	34.95	0.7680801201978341	0.5912447009168338	C6H7N3O2
row199	E47	row199_M+H[1+]	C09815	Benzamide	row199	122.0601	49.85	0.5915437962688993	1.3548216886130087	
row210	E48	row210_M+H[1+]	C00780	Serotonin	row210	177.1026	258.33	0.9051473848966382	-0.24602827731598015	C10H14N2O,C10H16N2O2,C8H11N5
row248	E51	row248_M+Na[1+]	C00049;C00402	L-Aspartate$D-Aspartate	row248	156.0269	266.24	0.553032671784415	2.576486978639987	
