SOURCE	TARGET	ENZYMES
C00655	C06196	3.6.1.19
C00015	C00031	;2.4.1.22
C05399	C00137	3.2.1.22
C05399	C00031	3.2.1.22
C05399	C00159	3.2.1.22
C00215	C06196	3.6.1.19
strch1	C00031	3.2.1.10;3.2.1.1
C01798	C00267	3.2.1.21
Tyr-ggn	C00031	3.2.1.33;2.4.1.1
C00718	C00267	3.2.1.33;3.2.1.1;3.2.1.3
C00962	C02686	3.2.1.46
C00962	C00195	3.2.1.46
C00962	C01290	3.2.1.23
C00962	C01190	3.2.1.23
C04646	C06196	3.6.1.19
C06136	C00221	3.2.1.23
C06136	C00267	3.2.1.23
C02052	C00267	3.2.1.1
G10238	C00221	3.2.1.23
G10238	C00267	3.2.1.23
G10238	C00031	3.2.1.45
G10534	C00221	3.2.1.23
G10534	C00267	3.2.1.23
C00092	C00031	;2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
C00206	C00031	2.7.1.1
C00206	C00159	2.7.1.1
C00286	C06196	3.6.1.19
C00055	C00137	2.7.8.11
C05838	C00031	3.2.1.21
C00668	C00267	2.7.1.147;2.7.1.1;3.1.3.9;2.7.1.2
C04911	C00221	3.2.1.23
C04911	C00267	3.2.1.23
C00191	C00137	1.13.99.1
C04006	C00137	3.1.3.25
G00124	C00221	3.2.1.23
G00124	C00267	3.2.1.23
mn	C00159	3.2.1.24;3.2.1.25
C00369	C00267	3.2.1.33;3.2.1.1;3.2.1.3
G10504	C00221	3.2.1.23
G10504	C00267	3.2.1.23
C05402	C00137	3.2.1.22
C05402	C00031	3.2.1.20;3.2.1.22
C05402	C00159	3.2.1.22
C00052	C00031	;2.4.1.22
glygn4	C00031	3.2.1.10;3.2.1.1
C06037	C00137	3.2.1.22
C06037	C00031	3.2.1.22
C06037	C00159	3.2.1.22
C00140	C00159	2.7.1.1;3.2.1.25
C05394	C00221	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;1.1.1.47;3.1.3.9
C05394	C00267	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;3.1.3.9
C06135	C00221	3.2.1.23
C06135	C00267	3.2.1.23
C00269	C00137	2.7.8.11
C02686	C00137	3.2.1.22
C02686	C00031	3.2.1.22
C02686	C00159	3.2.1.22
C01083	C00031	3.2.1.28
C00137	cdpdag_hs	2.7.8.11
C00137	G10488	3.2.1.22
C00137	G01275	3.2.1.22
C00137	G00370	3.2.1.22
C00137	G11121	3.2.1.22
C00137	C00794	3.2.1.22
C00137	C03546	3.1.3.25
C00137	G00497	3.2.1.22
C00137	C01235	3.2.1.22
C00137	C00089	3.2.1.22
C00137	C00116	3.2.1.22
C00137	C01194	2.7.8.11;2.4.1.198;3.1.4.4;3.1.4.3;3.1.3.25
C00137	C01225	3.1.4.44
C00137	G00092	3.2.1.22
C00137	C06126	3.2.1.22
C00137	G10621	2.7.8.11
C00137	C05400	3.2.1.22
C00137	C03692	3.2.1.22
C00137	C00416	3.1.4.4
C00137	G00249	3.2.1.22
C00137	C01177	2.7.8.11;2.4.1.198;3.1.4.4;3.1.4.3;3.1.3.25
C00137	G00093	3.2.1.22
C00137	C00124	3.2.1.22
C00137	C01290	3.2.1.22
C00137	G00278	3.2.1.22
C00137	G00501	3.2.1.22
C00137	C00492	3.2.1.22
C00137	C04737	3.2.1.22
C00137	C05401	3.2.1.22
C00137	C05404	3.2.1.22
C00137	C00031	3.2.1.22
C00137	G10529	3.2.1.22
C00137	C00093	3.1.4.44;2.7.8.11;3.1.4.3
C00137	C01613	3.2.1.22
C00137	C00159	3.2.1.22
C00137	C15585	3.1.3.25
C00137	pail_hs	3.2.1.22;3.1.4.4;3.1.4.3;1.13.99.1;3.1.3.25;2.4.1.198;3.1.4.44;2.7.8.11
G10488	C00031	3.2.1.22
G10488	C00159	3.2.1.22
G01275	C00031	3.2.1.22
G01275	C00159	3.2.1.22
C05403	C00221	3.2.1.21;3.2.1.23;2.7.1.2;2.7.1.1;5.1.3.3;2.7.1.147;1.1.1.47;3.1.3.9
