pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
N-Glycan biosynthesis	1	2	0.01100747836316276	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
Glycosphingolipid biosynthesis - globoseries	1	2	0.01100747836316276	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
Caffeine metabolism	1	2	0.01100747836316276	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
Glycosphingolipid metabolism	1	2	0.01100747836316276	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
Phosphatidylinositol phosphate metabolism	1	2	0.01100747836316276	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
N-Glycan Degradation	1	2	0.01100747836316276	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
Starch and Sucrose Metabolism	1	2	0.01100747836316276	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
Selenoamino acid metabolism	1	2	0.01100747836316276	E32	C01119	Oxidized dithiothreitol
Sialic acid metabolism	1	3	0.013864381144441643	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
Hexose phosphorylation	1	3	0.013864381144441643	E53	C00031/C00221/C02336/C00267/C00962/C00795/C00137/C13747/C07480/C00984/C00159	D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/1,7-Dimethylxanthine; Paraxanthine//alpha-D-Galactose/D-Mannose
