SOURCE	TARGET	ENZYMES
C02249	C01595	3.1.2.2;6.2.1.3
C02249	C06427	1.14.19.-;3.1.2.2;6.2.1.3
C02249	C06426	3.1.2.2;6.2.1.3
C00777	C00167	;2.4.1.17
C00777	C00015	;2.4.1.17
C00777	C00376	1.2.3.11;;1.2.1.36
C00777	CE2952	;1.2.1.36;2.4.1.17
C00777	CE1617	;1.2.1.36;2.4.1.17
C00777	C16679	1.2.3.11;;1.2.1.36;1.14.14.1;2.4.1.17
C00777	retnglc	2.4.1.17
C00777	C00027	1.2.3.11;
C00777	C11061	2.4.1.17
C00777	CE5589	;1.2.1.36
C00777	C00010	
C00777	C16680	1.14.14.1
C00777	C16677	1.14.14.1
C00777	C00020	
C16300	C06427	1.14.19.-
C14768	C15588	3.3.2.10
C14768	C06548	3.3.2.10
C14768	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C01380	3.3.2.10
C14768	C14771	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C14775	3.3.2.9;3.3.2.10
C14768	C01352	1.14.14.1
C14768	C14774	3.3.2.9;3.3.2.10
C14768	C14770	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C14773	3.3.2.9;3.3.2.10
C14768	C00722	3.3.2.10
C14768	C00219	1.14.14.1
C14768	C14772	3.3.2.9;3.3.2.10
C14768	C00016	1.14.14.1
arachd	C05966	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1
arachd	C05356	1.13.11.31;1.13.11.34
C04849	CE6248	;2.5.1.18;3.3.2.10;1.14.13.30;1.11.1.9;3.3.2.9
C04849	C05965	;1.11.1.9
C04849	C00051	;2.5.1.18;1.11.1.9
C04849	CE6250	2.5.1.18
C04849	C04843	3.3.2.9;3.3.2.10
C14814	C14813	1.14.14.1
CE5921	CE5528	
C15588	C14769	3.3.2.10
C15588	C14771	3.3.2.10
C15588	C14775	3.3.2.10
C15588	C14774	3.3.2.10
C15588	C14770	3.3.2.10
C15588	C14773	3.3.2.10
C15588	C14772	3.3.2.10
C05966	CE7172	1.13.11.31;1.13.11.34
C05966	C04742	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1;1.11.1.9
C05966	CE2567	1.13.11.31;1.13.11.34
C05966	C00127	1.13.11.31;1.13.11.34;1.11.1.9
C05966	C00027	1.13.11.34;1.11.1.9
C05966	C00051	1.13.11.31;1.11.1.9
C05966	C14781	1.14.14.1
C05966	C14813	1.14.14.1
C05966	C00219	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1;1.11.1.9
C14748	C01371	1.14.15.3
C14748	C00435	1.14.15.3
C14748	C00340	1.14.15.3
C14748	C01387	1.14.15.3
C14748	C00756	1.14.15.3
C14748	C00219	1.14.15.3
C14748	C00226	1.14.15.3
C14748	C00162	1.14.15.3
C14748	C03547	1.14.15.3
CE4809	C06427	6.2.1.3
C04742	C00127	1.13.11.31;1.13.11.34;1.11.1.9
C04742	C00051	1.13.11.31;1.11.1.9
C06548	C14769	3.3.2.10
C06548	C14771	3.3.2.10
C06548	C14775	3.3.2.10
C06548	C14774	3.3.2.10
C06548	C14770	3.3.2.10
C06548	C14773	3.3.2.10
C06548	C14772	3.3.2.10
C01595	C00249	;3.1.2.14;3.1.2.2;6.2.1.3
C01595	C14825	1.14.14.1
C01595	C14826	1.14.14.1
C01595	C06429	3.1.2.2
C01595	C00028	;1.13.11.33;1.14.19.3;1.3.99.13
C01595	C01530	3.1.2.14;3.1.2.2;6.2.1.3
C01595	CE6415	
C01595	C06254	;3.1.1.4
C01595	C04635	;3.1.1.4
C01595	C03035	;3.1.2.2;1.14.19.3;6.2.1.3
C01595	C00154	;1.3.99.13;3.1.2.2;6.2.1.3
C01595	C00030	;1.13.11.33;1.14.19.3;1.3.99.13
C01595	lnlcACP	3.1.2.14
C01595	C03595	3.1.2.2;6.2.1.3
C01595	C00350	;3.1.1.4
C01595	C06428	3.1.2.2
C01595	C14827	1.13.11.34
C01595	C04517	;3.1.1.4
C01595	C00510	;3.1.2.2
C01595	C00412	;3.1.2.2;6.2.1.3
C01595	C06425	3.1.2.2;6.2.1.3
C01595	C05212	3.1.1.4
C01595	C00157	;3.1.1.4
C01595	C04438	3.1.1.4
C01595	C00010	;3.1.2.2;6.2.1.3
C01595	lnlccoa	6.2.1.3
C01595	C02050	;3.1.1.4;1.13.11.12;1.14.14.1;6.2.1.3;3.1.2.2;3.1.2.14;1.13.11.33;1.13.11.34;1.14.19.3;1.3.99.13
C01595	C04756	3.1.1.4
C01595	C00958	;3.1.1.4
C01595	C02041	3.1.2.2
