massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	68.0121	432.41	0.6731911055611057	0.5970198180584523	
row2	108.9009	135.19	0.33130039528833216	1.4283859466475963	
row3	108.9009	150.19	0.7261507140018124	0.49820523680580336	CaO2
row4	68.0141	500.58	0.9513432883956994	-0.08726744059890519	C3H5NO2,C3H3NO
row5	169.0363	191.84	0.9032380718029562	0.17981337555649676	C5H8NNaO4
row6	169.0363	210.84	0.23106505027347357	2.088721440274461	C5H8NNaO4
row7	109.0285	24.93	0.12631979565756887	2.9590128097561745	C3H8NO,CH6N4,C4H3N3O
row8	109.0285	163.28	0.3491226713800727	1.3685854581553123	C3H8NO,CH6N4,C4H3N3O
row9	109.0285	165.25	0.5754857185798717	0.7947672329840176	C3H8NO,CH6N4,C4H3N3O
row10	169.0613	50.51	0.19720474561993864	2.313419154246921	C7H12N2O4
row11	169.0692	50.11	0.11463931334395819	3.1426797536335083	C8H11NO3
row12	142.0653	156.03	0.23397146281653175	-1.9890384219368464	
row13	142.9433	201.48	0.5036683928615027	0.9567367594756463	
row14	170.0286	192.23	0.845346391217115	0.29509902801814414	C7H9NO2S,C7H9NO2S
row15	170.0286	211.1	0.36137743892848107	1.3328405116505233	C7H9NO2S,C7H9NO2S
row16	142.9743	201.75	0.2603863030281929	1.77458069234506	
row17	110.8979	135.19	0.9032380718029562	0.17951045521668996	
row18	110.8979	150.19	0.9796647536358775	0.036525301110748046	
row19	170.0701	49.85	0.08620238068984684	3.6838493506588335	
row20	143.0055	201.35	0.6026373429926146	0.7329424166286587	
row21	170.8286	1.7	0.9330635332425145	-0.12303353144610063	
row22	170.8286	135.45	0.4248354302104971	-1.1480458453632474	
row23	170.8286	138.73	0.28866235438937393	-1.6144635125091857	
row24	170.8286	149.8	0.40992373866550197	-1.1926590397132335	
row25	170.8474	135.58	0.5372363562256667	-0.8791421003151033	
row26	170.8474	149.8	0.09926188230252947	-3.4189621451598806	
row27	143.0454	298.15	0.19808102327890614	2.302427834353363	
row28	143.0454	314.96	0.10797237480939566	3.253252652685983	
row29	111.9853	132.69	0.23397146281653175	1.9559365411155547	C3H6Cl2
row30	143.0535	147.17	0.09926188230252947	3.4138802260656895	C7H12OS,C7H14O2S,C7H14O2S
row31	143.0535	150.74	0.25732240655906224	1.7981440364931318	C7H12OS,C7H14O2S,C7H14O2S
row32	143.0535	152.45	0.057605994198627435	4.667479274681876	C7H12OS,C7H14O2S,C7H14O2S
row33	143.0535	155.89	0.6229564101541717	0.6957796980126882	C7H12OS,C7H14O2S,C7H14O2S
row34	112.9362	346.74	0.44309406856160144	-1.1026168052508427	
row35	171.0195	164.46	0.9115775938004992	-0.1614136479900229	C9H6N2O3
row36	171.0195	227.54	0.29950706720760517	1.5672412002496388	C9H6N2O3
row37	171.0195	235.16	0.23397146281653175	1.96670594698866	C9H6N2O3
row38	75.0066	99.08	0.48756237363697125	0.9934216271456451	
row39	75.0066	102.1	0.23397146281653175	1.9923136954182545	
row40	143.9007	346.74	0.20770066218216202	2.230641599977598	
row41	113.0455	192.63	0.08620238068984684	3.6958034617307147	
row42	113.0455	194.6	0.01290962735942481	9.191557082135779	
row43	113.0455	196.59	0.3025736066494726	1.5526829110042708	
row44	113.0455	198.43	0.09557349013754186	3.490232057445086	
row45	113.0455	200.14	0.1586011954062195	2.622489164002078	
row46	113.0455	212.81	0.22498134530044656	2.1256445109324624	
row47	171.0405	234.76	0.2636102187552913	-1.752584205224248	C6H8N2O4,C6H10N2O5
