SOURCE	TARGET	ENZYMES
C00577	C16596	1.1.1.1
C05444	C16596	1.1.1.1
C00432	C16596	1.1.1.1
C16596	C14099	1.1.1.1
C16596	C06612	1.1.1.1
C16596	C14090	1.1.1.1
C16596	C05577	1.1.1.1
C16596	C16595	1.1.1.1
C16596	C00709	1.1.1.1
C16596	C16587	1.1.1.1
C16596	C00226	1.1.1.1
C16596	C05576	1.1.1.1
C16596	C05445	1.1.1.1
C16596	C00069	1.1.1.1
C16596	C00376	1.1.1.1
C16596	C00473	1.1.1.1
C16596	C00114	1.1.1.1
C16596	C00469	1.1.1.1
C16596	C06611	1.1.1.1
C16596	C00084	1.1.1.1
C16596	C06613	1.1.1.1
C16596	C02909	1.1.1.1
C16596	C07490	1.1.1.1
C16596	C14089	1.1.1.1
C16596	C16348	1.1.1.1
C16596	C16586	1.1.1.1
C16596	C00071	1.1.1.1
C16596	C00116	1.1.1.1
C16596	C07645	1.1.1.1
C16596	C16551	1.1.1.1
C16596	C00576	1.1.1.1
C16596	C06899	1.1.1.1
