pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Drug metabolism - cytochrome P450	1	3	0.0029409293336694394	E124	C05635/C16596	5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione
Aspartate and asparagine metabolism	1	5	0.004621460381480548	E107	C01029/C00612	/N1-Acetylspermidine
Tryptophan metabolism	1	16	0.008990841105789429	E124	C05635/C16596	5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione
Vitamin D3 (cholecalciferol) metabolism	0	0	0.009663053524913872			
Hyaluronan Metabolism	0	0	0.009663053524913872			
N-Glycan biosynthesis	0	2	0.009663053524913872			
Glycolysis and Gluconeogenesis	0	5	0.009663053524913872			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.009663053524913872			
R Group Synthesis	0	0	0.009663053524913872			
C5-Branched dibasic acid metabolism	0	1	0.009663053524913872			
Pyruvate Metabolism	0	0	0.009663053524913872			
Sialic acid metabolism	0	2	0.009663053524913872			
Chondroitin sulfate degradation	0	0	0.009663053524913872			
Di-unsaturated fatty acid beta-oxidation	0	2	0.009663053524913872			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.009663053524913872			
Linoleate metabolism	0	2	0.009663053524913872			
Hexose phosphorylation	0	3	0.009663053524913872			
Vitamin B2 (riboflavin) metabolism	0	1	0.009663053524913872			
Squalene and cholesterol biosynthesis	0	0	0.009663053524913872			
Galactose metabolism	0	2	0.009663053524913872			
Keratan sulfate degradation	0	0	0.009663053524913872			
Glycerolipid metabolism	0	0	0.009663053524913872			
Carnitine shuttle	0	0	0.009663053524913872			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.009663053524913872			
Alkaloid biosynthesis II	0	1	0.009663053524913872			
Vitamin B1 (thiamin) metabolism	0	1	0.009663053524913872			
Glycosphingolipid biosynthesis - globoseries	0	2	0.009663053524913872			
Histidine metabolism	0	2	0.009663053524913872			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.009663053524913872			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.009663053524913872			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.009663053524913872			
Bile acid biosynthesis	0	1	0.009663053524913872			
Parathio degradation	0	1	0.009663053524913872			
Propanoate metabolism	0	1	0.009663053524913872			
Blood Group Biosynthesis	0	0	0.009663053524913872			
Electron transport chain	0	0	0.009663053524913872			
Vitamin H (biotin) metabolism	0	1	0.009663053524913872			
Biopterin metabolism	0	0	0.009663053524913872			
Vitamin E metabolism	0	1	0.009663053524913872			
Androgen and estrogen biosynthesis and metabolism	0	0	0.009663053524913872			
Glycine, serine, alanine and threonine metabolism	0	5	0.009663053524913872			
Caffeine metabolism	0	2	0.009663053524913872			
Lipoate metabolism	0	0	0.009663053524913872			
Heparan sulfate biosynthesis	0	0	0.009663053524913872			
Vitamin B9 (folate) metabolism	0	0	0.009663053524913872			
Glyoxylate and Dicarboxylate Metabolism	0	1	0.009663053524913872			
Urea cycle/amino group metabolism	0	7	0.009663053524913872			
De novo fatty acid biosynthesis	0	2	0.009663053524913872			
Vitamin A (retinol) metabolism	0	1	0.009663053524913872			
Valine, leucine and isoleucine degradation	0	1	0.009663053524913872			
Fatty Acid Metabolism	0	1	0.009663053524913872			
Glycosaminoglycan degradation	0	0	0.009663053524913872			
Fatty acid oxidation	0	0	0.009663053524913872			
Fructose and mannose metabolism	0	3	0.009663053524913872			
ROS Detoxification	0	0	0.009663053524913872			
Xenobiotics metabolism	0	0	0.009663053524913872			
Saturated fatty acids beta-oxidation	0	0	0.009663053524913872			
CoA Catabolism	0	1	0.009663053524913872			
Omega-3 fatty acid metabolism	0	1	0.009663053524913872			
Butanoate metabolism	0	1	0.009663053524913872			
Mono-unsaturated fatty acid beta-oxidation	0	1	0.009663053524913872			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.009663053524913872			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	10	0.009663053524913872			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	0	0.009663053524913872			
Geraniol degradation	0	0	0.009663053524913872			
D4&E4-neuroprostanes formation	0	0	0.009663053524913872			
Vitamin D	0	0	0.009663053524913872			
Dynorphin metabolism	0	0	0.009663053524913872			
Heparan sulfate degradation	0	0	0.009663053524913872			
Fatty acid oxidation, peroxisome	0	0	0.009663053524913872			
Polyunsaturated fatty acid biosynthesis	0	0	0.009663053524913872			
Purine metabolism	0	15	0.009663053524913872			
Alanine and Aspartate Metabolism	0	2	0.009663053524913872			
Glutathione Metabolism	0	1	0.009663053524913872			
Keratan sulfate biosynthesis	0	0	0.009663053524913872			
TCA cycle	0	1	0.009663053524913872			
3-Chloroacrylic acid degradation	0	0	0.009663053524913872			
Arachidonic acid metabolism	0	1	0.009663053524913872			
Sphingolipid metabolism	0	0	0.009663053524913872			
O-Glycan biosynthesis	0	0	0.009663053524913872			
Glycosphingolipid metabolism	0	2	0.009663053524913872			
Limonene and pinene degradation	0	0	0.009663053524913872			
Arginine and Proline Metabolism	0	5	0.009663053524913872			
Proteoglycan biosynthesis	0	0	0.009663053524913872			
Vitamin K metabolism	0	0	0.009663053524913872			
Glycerophospholipid metabolism	0	4	0.009663053524913872			
Glutamate metabolism	0	0	0.009663053524913872			
Porphyrin metabolism	0	0	0.009663053524913872			
Phosphatidylinositol phosphate metabolism	0	2	0.009663053524913872			
Benzoate degradation via CoA ligation	0	0	0.009663053524913872			
Prostaglandin formation from arachidonate	0	1	0.009663053524913872			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.009663053524913872			
Vitamin B6 (pyridoxine) metabolism	0	0	0.009663053524913872			
Pentose and Glucuronate Interconversions	0	0	0.009663053524913872			
Atrazine degradation	0	0	0.009663053524913872			
N-Glycan Degradation	0	2	0.009663053524913872			
Leukotriene metabolism	0	1	0.009663053524913872			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.009663053524913872			
Fatty acid activation	0	2	0.009663053524913872			
Carbon fixation	0	1	0.009663053524913872			
Nucleotide Sugar Metabolism	0	0	0.009663053524913872			
Ubiquinone Biosynthesis	0	3	0.009663053524913872			
1- and 2-Methylnaphthalene degradation	0	0	0.009663053524913872			
Pyrimidine metabolism	0	6	0.009663053524913872			
Nitrogen metabolism	0	1	0.009663053524913872			
Drug metabolism - other enzymes	0	1	0.009663053524913872			
Aminosugars metabolism	0	1	0.009663053524913872			
Tyrosine metabolism	0	7	0.009663053524913872			
Beta-Alanine metabolism	0	1	0.009663053524913872			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.009663053524913872			
C21-steroid hormone biosynthesis and metabolism	0	0	0.009663053524913872			
Starch and Sucrose Metabolism	0	2	0.009663053524913872			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.009663053524913872			
Omega-6 fatty acid metabolism	0	1	0.009663053524913872			
Phytanic acid peroxisomal oxidation	0	1	0.009663053524913872			
Pentose phosphate pathway	0	5	0.009663053524913872			
Methionine and cysteine metabolism	0	5	0.009663053524913872			
Lysine metabolism	0	4	0.009663053524913872			
Selenoamino acid metabolism	0	2	0.009663053524913872			
