massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	108.9009	135.19	0.7031775629432593	-1.7092547747349658	
row2	108.9009	150.19	0.9921117671525502	0.02504055506274887	CaO2
row3	108.9897	101.84	0.7798464439299533	0.5952889644902141	
row4	108.9897	103.28	0.9812837495786657	-0.06640580504164956	
row5	108.9897	107.61	0.7206050370928386	1.0484923166611873	
row6	108.9897	108.53	0.7260893858396382	0.8734656590742096	
row7	108.9897	111.16	0.993352415991693	0.021680533379730048	
row8	169.0363	191.84	0.7206050370928386	1.067543211998797	C5H8NNaO4
row9	169.0363	210.84	0.7538510496121579	-0.6955384645100601	C5H8NNaO4
row10	109.0285	24.93	0.9640580395672241	-0.12092884145282073	C3H8NO,CH6N4,C4H3N3O
row11	109.0285	165.25	0.7206050370928386	-1.3002333903177763	C3H8NO,CH6N4,C4H3N3O
row12	169.0613	50.51	0.7031775629432593	-3.147793235542528	C7H12N2O4
row13	169.0692	50.11	0.7031775629432593	-2.3020925984474965	C8H11NO3
row14	142.9433	201.48	0.9077835573871241	-0.25873401431835197	
row15	170.0286	192.23	0.7031775629432593	1.7518445390412083	C7H9NO2S,C7H9NO2S
row16	170.0286	211.1	0.8489223281608943	-0.41645486942674687	C7H9NO2S,C7H9NO2S
row17	142.9743	201.75	0.7260893858396382	-0.9471722900349865	
row18	110.8979	135.19	0.7031775629432593	-1.7690522192052698	
row19	110.8979	150.19	0.7206050370928386	-1.0763215555487462	
row20	170.0564	301.17	0.7031775629432593	2.6222451332955528	C6H9N3O3,C6H11N3O4
row21	170.0564	309.57	0.7206050370928386	-1.2806974069935366	C6H9N3O3,C6H11N3O4
row22	170.0701	49.85	0.7717930562380213	-0.6289508316331583	
row23	143.0055	201.35	0.9062633580489238	-0.26417886943882324	
row24	170.8286	1.7	0.9274785644928137	0.22034514433340902	
row25	170.8286	135.45	0.7206050370928386	-1.04641611277807	
row26	170.8286	138.73	0.8934903286928855	-0.3033127303092377	
row27	170.8286	149.8	0.7839132530682417	-0.5877573811992164	
row28	170.8474	135.58	0.7717930562380213	-0.627784389218248	
row29	170.8474	149.8	0.7260893858396382	-0.866385438998676	
row30	143.0454	298.15	0.7299206957184134	-0.7976456441144947	
row31	143.0454	314.96	0.7260893858396382	-0.8945068601324199	
row32	73.0273	92.91	0.7031775629432593	1.813731260878993	
row33	143.0535	147.17	0.7031775629432593	-1.5410137248262714	C7H12OS,C7H14O2S,C7H14O2S
row34	143.0535	150.74	0.7693491973162457	0.6439292274976561	C7H12OS,C7H14O2S,C7H14O2S
row35	143.0535	152.45	0.8282442262465486	-0.4800382142031918	C7H12OS,C7H14O2S,C7H14O2S
row36	143.0535	155.89	0.9732836906532758	-0.09427162105563987	C7H12OS,C7H14O2S,C7H14O2S
row37	112.9362	346.74	0.7031775629432593	2.2776378223507394	
row38	73.9954	358.42	0.7031775629432593	1.9809008170980604	
row39	171.0195	164.46	0.7662174690254253	0.6538717804104941	C9H6N2O3
row40	171.0195	227.54	0.9649415082199992	-0.11319624406746856	C9H6N2O3
row41	143.9007	346.74	0.7260893858396382	-0.9649423586915438	
row42	171.0405	234.76	0.7031775629432593	1.8908807805582002	C6H8N2O4,C6H10N2O5
row43	171.0405	239.91	0.943109336067964	0.17144319095814411	C6H8N2O4,C6H10N2O5
row44	171.0479	32.33	0.7260893858396382	0.8167185322776734	C8H14O3S,C6H9N3OS
row45	113.9356	346.6	0.7031775629432593	1.830890277808724	
row46	171.0558	26.91	0.7260893858396382	-0.8282092746024476	C10H10N2O2,C10H8N2O,C8H5N5
row47	143.9777	201.61	0.7260893858396382	-0.8784304653843594	
row48	171.0657	191.97	0.7031775629432593	1.5851264860934478	C8H14O5,C8H12O4,C6H9N3O3
row49	143.9904	222.26	0.7206050370928386	-1.2623731075587634	
row50	171.0769	292.24	0.7031775629432593	2.116187749642214	C7H12N2O3,C7H14N2O4
row51	171.5435	297.23	0.7252303876129743	-0.9954618735842975	
row52	77.0144	151.14	0.7031775629432593	1.999223216345399	C4H4N2O,C4H2N2
row53	171.8736	9.74	0.9794084107555864	0.07543898030009304	
row54	171.8736	14.36	0.7031775629432593	1.996274849007496	
row55	171.8736	106.96	0.894633823247838	0.29381344779278057	
row56	114.932	346.87	0.7252962084739919	0.9884585127318906	
row57	144.0293	212.15	0.8764039855472993	-0.3372719034427519	
row58	78.9565	322.84	0.7031775629432593	1.7349421149481947	
row59	78.9565	324.41	0.7206050370928386	1.1490393529802763	
row60	78.9565	326.65	0.9601344407696617	0.13052963534149403	
row61	78.9565	329.4	0.873810106106658	0.3459165592094891	
row62	144.0446	26.12	0.8282442262465486	-0.4871546323666113	C6H8O4
row63	144.0738	34.95	0.7838429740616357	0.5885868076246313	
row64	115.0027	297.76	0.7031775629432593	2.3110092231060233	
row65	144.8687	135.32	0.8222013011027562	-0.5002792131956155	CaCl2
row66	144.8687	149.93	0.8886680576907059	-0.3136892129649886	CaCl2
row67	172.0355	267.29	0.9810940336108248	0.06759169260489335	C6H6N2O4
row68	144.9724	201.61	0.7246963592816729	-0.999117711153887	C2H6O3S
row69	172.0398	28.62	0.7206050370928386	-1.159245748074899	C5H8ClN5,C5H7N5,C7H9N2O,C10H9NO3,C10H7NO2
row70	80.9641	34.43	0.7206050370928386	1.435827383413445	
row71	144.9783	201.61	0.7206050370928386	-1.2071359517916849	C5H6OS2
row72	172.069	192.36	0.7260893858396382	0.8138997362266241	C8H12O4
row73	82.9531	34.82	0.7260893858396382	-0.8146529313496969	
row74	82.9531	191.71	0.8577126098378317	-0.3930404638382032	
row75	172.5373	267.29	0.8659921466344043	-0.3725068600710581	
row76	172.8276	1.56	0.8055645591306227	0.5358724595213766	
row77	115.0584	222.26	0.8039592699869899	0.5401514443597325	C6H14OS,C6H12S,C6H12S
row78	172.8417	135.58	0.7260893858396382	-0.8151171388186592	
row79	172.8417	150.06	0.7206050370928386	1.394428061287545	
row80	146.0531	210.97	0.8408951364903059	-0.44458627402546863	
row81	116.0061	297.63	0.7031775629432593	1.959068851190483	
row82	116.0478	209.92	0.7031775629432593	4.036326595413193	C5H8O3
row83	172.985	201.48	0.8076317573171581	-0.5276274091345112	
row84	172.9907	25.73	0.9822831802390911	0.06074350261706734	C6H6O4S,C6H6O4S
row85	172.9907	27.57	0.9794084107555864	-0.07687018304804957	C6H6O4S,C6H6O4S
row86	146.0814	180.11	0.7260893858396382	0.863179321515824	
row87	146.8659	135.58	0.9812837495786657	0.06538902071456261	
row88	146.8659	149.8	0.8430442103367428	-0.43575553045939747	
row89	84.9502	34.69	0.7500487452222194	-0.7037476045168809	
row90	173.0083	254.89	0.7374542397812094	-0.758025669584228	C6H6O6,C6H8O7,C7H7FO2S
row91	173.0083	259.39	0.7031775629432593	-4.8036863612530185	C6H6O6,C6H8O7,C7H7FO2S
row92	173.0333	267.43	0.8673543652757845	-0.3611497225327893	
row93	147.0176	270.31	0.943109336067964	0.16763426435042322	C5H9NS2,C4H5NO5,C5H9NS2
row94	173.0376	267.43	0.8570407255483004	-0.39691054239780443	C8H10O2
row95	173.056	233.85	0.7031775629432593	3.474400479353248	C6H10N2O4,C6H12N2O5
row96	147.0667	197.78	0.7206050370928386	-1.1813880323305213	C6H12O4,C6H14O5,C6H11O4
row97	147.0667	200.96	0.7206050370928386	1.1379958794528007	C6H12O4,C6H14O5,C6H11O4
row98	173.0812	192.1	0.7209382036645524	1.0150525820895229	C8H14O4,C6H11N3O3,C8H16O5
row99	147.9204	2.75	0.7031775629432593	-1.885722287059712	
