input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row4	E1	row4_M+H[1+]	C00366	Urate	row4	169.0363	191.84	0.2843408314569234	1.7096873723739032	C5H8NNaO4
row5	E2	row5_M+H[1+]	C00366	Urate	row5	169.0363	210.84	0.6726003750089926	-0.6334428654185863	C5H8NNaO4
row6	E6	row6_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row6	109.0285	24.93	0.02879627878312489	5.477836199006795	C3H8NO,CH6N4,C4H3N3O
row7	E7	row7_M+H[1+];row8_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row7	109.0285	163.28	0.7046328103466744	-0.5646025188350143	C3H8NO,CH6N4,C4H3N3O
row8	E7	row7_M+H[1+];row8_M+H[1+]	C00472	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	row8	109.0285	165.25	0.8386167772248867	0.31622715553678366	C3H8NO,CH6N4,C4H3N3O
row54	E17	row54_M+H[1+];row74_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row54	171.0657	191.97	0.7011451298747274	-0.5705319856876989	C8H14O5,C8H12O4,C6H9N3O3
row72	E19	row72_M+Na[1+]	C00073	L-Methionine	row72	172.0398	28.62	0.00236506298987902	13.900814921333005	C5H8ClN5,C5H7N5,C7H9N2O,C10H9NO3,C10H7NO2
row74	E17	row54_M+H[1+];row74_M(C13)+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol	row74	172.069	192.36	0.7198916015485303	-0.5392155437255551	C8H12O4
row90	E23	row90_M+Na[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine	row90	116.0469	209.92	0.29287762185251476	1.666492829313512	C3H7N3O2
row96	E25	row96_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde	row96	146.0814	180.11	0.09142626054647701	3.472535678564425	
