massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	108.9009	135.19	0.4024986027303817	1.2902096577642383	
row2	108.9009	150.19	0.4774107030996381	1.091795067337556	CaO2
row3	108.9897	101.84	0.24188903763005784	1.9851190129859348	
row4	108.9897	103.28	0.24188903763005784	1.969417149010061	
row5	108.9897	104.99	0.28433098502757087	1.705752723392569	
row6	108.9897	107.61	0.24383603168398982	1.9403875407800244	
row7	108.9897	111.16	0.24188903763005784	1.9974391917573888	
row8	169.0363	191.84	0.41063693881448965	-1.267389203450625	C5H8NNaO4
row9	169.0363	210.84	0.7877924542165596	-0.4255416139371586	C5H8NNaO4
row10	109.0285	24.93	0.03209653260755966	-5.262228592258816	C3H8NO,CH6N4,C4H3N3O
row11	109.0285	163.28	0.28149889173937576	1.722569444656644	C3H8NO,CH6N4,C4H3N3O
row12	109.0285	165.25	0.5780638942290172	0.8541121439070607	C3H8NO,CH6N4,C4H3N3O
row13	169.0613	50.51	0.11973225670450384	2.967776189746976	C7H12N2O4
row14	169.0692	50.11	0.04180377511206031	4.6785562154311	C8H11NO3
row15	142.9433	201.48	0.9316359071814414	-0.13505380176003381	
row16	170.0286	192.23	0.2855103597466946	-1.6999807259797208	C7H9NO2S,C7H9NO2S
row17	170.0286	211.1	0.9318546340143945	0.1325720353678001	C7H9NO2S,C7H9NO2S
row18	142.9743	201.75	0.03604414604698382	5.008028366070573	
row19	110.8979	135.19	0.5891997690764961	0.8334757720424018	
row20	110.8979	150.19	0.503605642937103	1.0297690307600715	
row21	170.0564	301.17	0.0004323601878958902	-25.979324501893732	C6H9N3O3,C6H11N3O4
row22	170.0564	309.57	0.008171305916005867	-8.71890980831093	C6H9N3O3,C6H11N3O4
row23	170.0701	49.85	0.13511543234464365	2.785841228888855	
row24	143.0055	201.35	0.7615941998585631	0.4729665549473848	
row25	170.8286	1.7	0.7178181767057167	-0.5608018570544723	
row26	170.8286	135.45	0.630950010985635	0.7373157671803585	
row27	170.8286	138.73	0.4563381133544065	-1.147236395117204	
row28	170.8286	149.8	0.9093101923912174	-0.1800333041897962	
row29	170.8474	135.58	0.8011204900391252	0.3962511662303403	
row30	170.8474	149.8	0.8617025501458597	-0.2774665941523761	
