m/z	rtime	p-value	t-score	custom_id
166.0515	1.84	0.803411325171086	-1.9783166534305598	
167.0894	24.51	0.8924352749336487	-0.482180432326237	C7H8O2
265.1066	27.15	0.803411325171086	-1.1830439340368495	
265.1066	31.0	0.803411325171086	0.9478214614611549	
265.9621	20.04	0.8047568965885297	0.8201878559552632	
216.9226	22.14	0.803411325171086	1.1240429653500141	
217.1044	22.41	0.803411325171086	-2.2336614651257722	
267.1223	30.74	0.9503180138014303	0.2271724623666478	C14H18O5
267.1586	26.37	0.803411325171086	-1.2322196099832823	
267.1814	24.38	0.803411325171086	-1.0645506174018518	
268.1257	30.74	0.8689448141020609	0.5764074140072328	C14H18O5
170.0811	23.98	0.8298971657737172	-0.6619674394738998	C6H8O3
268.176	24.51	0.9851559150418705	-0.0361192090329543	
268.2116	24.51	0.803411325171086	-0.9700243243358267	
116.0622	38.75	0.803411325171086	1.351283416597718	
268.2712	229.69	0.803411325171086	-1.8439452036334627	
268.2712	234.45	0.803411325171086	-1.1996207618937786	C18H34O
268.2712	241.32	0.803411325171086	-1.085052181364359	C18H34O
170.1731	0.79	0.803411325171086	2.8213297727395177	
218.9196	22.14	0.803411325171086	1.1966093982591206	
218.9817	22.8	0.9421438634065803	-0.2598328191359854	
269.136	24.51	0.803411325171086	-3.17303815729675	
269.1388	26.37	0.9053795274125422	-0.4530296350065119	
219.1127	21.88	0.803411325171086	-1.3294658803128805	
219.1127	24.51	0.803411325171086	-1.0505058373266016	
117.0741	23.33	0.9552708215439281	0.18722426417977003	
172.0942	21.49	0.9178660087392394	-0.3588724012112802	
271.2052	284.25	0.85059331441372	0.6164534573571206	
221.096	41.14	0.803411325171086	0.9485667136336	
173.0783	22.41	0.803411325171086	-1.8232360286168952	
119.0492	27.15	0.803411325171086	-1.1261391127239209	C8H6O
119.0492	30.74	0.9551213650571044	0.1979213308294752	
173.096	36.26	0.9326783541012476	-0.2957678180876621	
173.096	243.95	0.8047568965885297	-0.8055305090124586	
222.0986	41.27	0.8917532100086792	0.4841652035896821	
222.0986	93.83	0.803411325171086	3.936280250247077	
120.0809	24.51	0.9124215959175433	-0.3994884085678129	
273.2573	610.1	0.803411325171086	1.5629430091220153	
273.2573	611.02	0.983155378286396	0.04466104939045946	
273.9451	20.44	0.9792849039263842	-0.05894426072023185	
274.0836	26.37	0.803411325171086	-1.0296317431126938	
121.0649	30.74	0.9393475666130164	0.2646986205271308	
174.938	22.67	0.803411325171086	1.5208314470586688	
274.1656	24.77	0.803411325171086	-1.021183950913184	
121.0843	24.77	0.8731380034990894	-0.543761779511475	
175.0014	23.06	0.9124215959175433	0.42973537820458796	
274.2737	34.15	0.803411325171086	-1.0052820939716438	C16H35NO2
274.9415	20.3	0.983155378286396	-0.04801363367681576	
275.0874	26.37	0.803411325171086	-0.9292705396528472	
275.0999	21.36	0.9591818183934797	-0.16169550703537358	
122.0686	30.74	0.803411325171086	1.056517151672839	
122.0686	65.67	0.9218560994613503	-0.32303978297201774	
175.119	1.58	0.803411325171086	-1.5913487973413083	
175.119	24.51	0.9178660087392394	-0.3644314362328195	
224.1581	24.77	0.803411325171086	-0.9649235096991633	
176.0657	23.98	0.8047568965885297	-0.8321002693305963	
275.9553	280.14	0.803411325171086	1.1123970171350852	
225.1207	21.49	0.803411325171086	-1.5846281818222407	
124.0587	23.33	0.9124215959175433	-0.3864674240327346	
277.9333	2.63	0.9508281699360567	0.22192273666603757	
226.0448	23.06	0.9551213650571044	0.20421287545162306	
177.1637	38.49	0.803411325171086	1.1694496505831997	C13H20
226.1549	0.66	0.803411325171086	1.2798432426186328	
226.1913	0.79	0.803411325171086	1.712723909907753	
226.9513	21.62	0.803411325171086	-2.2119528281333802	C6H4Cl2O5
278.9311	2.37	0.85059331441372	-0.6158015520991171	
278.9648	20.83	0.8047568965885297	-0.8307036007942913	
227.0419	22.93	0.9760482218382899	-0.07583072376499117	
279.1222	36.39	0.9178660087392394	0.3409227391897655	C15H18O5
227.1753	0.66	0.803411325171086	1.7661971655607118	
227.1753	24.51	0.803411325171086	-0.9910723371618644	
179.0815	0.66	0.9551213650571044	0.19701365139909852	
227.9547	21.62	0.803411325171086	-2.2803358548141004	C6H4Cl2O5
228.2685	58.39	0.803411325171086	-0.9160076691977055	
228.9556	21.62	0.803411325171086	-2.702190255828226	
280.2632	36.91	0.9864796534999913	0.029703449744561374	C18H33NO
280.2632	48.91	0.803411325171086	-2.6705509654607673	C18H33NO
281.1012	30.87	0.9357182703092459	0.2796283370492158	
281.1379	34.94	0.9551213650571044	0.20889898009264452	C15H20O5
281.2665	36.91	0.9760482218382899	-0.09973494881745411	C18H33NO
281.2665	48.78	0.803411325171086	-2.5759824211548987	C18H33NO
129.0698	38.23	0.9552708215439281	0.18742430089702164	
181.0096	22.01	0.9124215959175433	-0.4098494414661464	
129.1386	0.79	0.803411325171086	1.745680079642551	
283.0939	24.38	0.810430916671468	-0.7629380363628667	
283.1173	26.76	0.803411325171086	-1.0153829531619687	
283.1173	29.39	0.803411325171086	-1.05836466774413	
232.112	44.68	0.9124215959175433	0.402883485079941	
232.1189	0.66	0.803411325171086	1.0463839872151537	
232.1447	0.66	0.803411325171086	1.4626057410142823	
232.8965	22.8	0.803411325171086	1.8715587692921685	
232.9173	20.04	0.8731380034990894	-0.5546241670041668	
284.1207	26.76	0.803411325171086	-1.3333041329830682	
284.1207	29.65	0.9124215959175433	0.38836826877216124	
182.0297	25.29	0.803411325171086	-1.153328152015796	
131.0491	26.37	0.9178660087392394	-0.3394165467571709	
131.0491	47.07	0.9610201889310462	0.15622626290280006	
182.0811	23.06	0.9618063104059258	0.14503868188522312	
284.2064	24.51	0.803411325171086	-0.9048624251566635	
233.0783	22.8	0.803411325171086	-1.0053295603857912	
233.1508	0.66	0.803411325171086	1.36542385949705	
284.2945	77.64	0.803411325171086	-1.1589421350209288	C18H37NO
132.0031	21.88	0.803411325171086	-3.625131286890748	
284.9099	22.01	0.803411325171086	0.9932849403862488	
285.1096	24.24	0.803411325171086	-0.8712568923463235	
233.9128	22.14	0.803411325171086	-0.9999999999999986	
132.0888	38.36	0.9551213650571044	0.20218061713323582	
285.2099	24.51	0.803411325171086	-0.8677041667253048	
183.0781	23.06	0.9124215959175433	0.40303061086753067	
285.2979	77.51	0.803411325171086	-1.6208381445980007	C18H37NO
133.1052	23.98	0.8859943555363743	-0.5064124940173443	C6H13NO2
286.9068	22.14	0.803411325171086	0.8937244619705907	
286.9597	20.17	0.983155378286396	0.04312086682478209	
287.0888	24.24	0.8047568965885297	-0.8170904974914464	
134.0683	36.26	0.9503180138014303	0.22816893840831384	
235.0751	33.63	0.803411325171086	1.6730430654107828	
184.0817	22.8	0.9124215959175433	-0.42027211216209576	
184.8889	20.04	0.803411325171086	-1.0081724041541813	
236.1026	0.66	0.803411325171086	1.1400326233633213	
135.1167	38.36	0.803411325171086	1.1451303844238925	C10H14
288.2893	34.42	0.803411325171086	-1.338574801070462	C17H37NO2
288.2893	36.39	0.8826979049165717	0.5183017723983827	C18H33NO
135.1209	1.32	0.803411325171086	1.117406952938311	
135.1209	21.36	0.803411325171086	1.3318249126823618	
236.1502	24.9	0.9595094739144202	-0.15925975236125897	
185.1648	0.79	0.803411325171086	1.7003289422079404	
289.2926	36.39	0.9124215959175433	-0.4126285339285947	C18H33NO
289.2926	42.45	0.803411325171086	-2.751490883870287	
290.1969	25.16	0.803411325171086	-1.0616844229621278	
136.1201	38.49	0.803411325171086	1.6529803697624668	C10H14
237.1232	22.01	0.803411325171086	-4.175222687508872	
237.1272	113.49	0.803411325171086	1.32426894056302	
137.0457	22.41	0.995918382948252	0.008878846871300625	
291.1814	0.66	0.803411325171086	1.5537713668193496	
291.1925	32.05	0.803411325171086	-1.3681838980442078	
186.1681	0.92	0.810430916671468	0.7655084927635069	
237.9547	2.24	0.9667507037650671	-0.126975229551735	
237.9779	2.76	0.9322258653750687	-0.3022241757745577	
238.1201	26.63	0.803411325171086	-2.0874147129898533	
292.2125	27.02	0.803411325171086	-1.4717514806125134	
138.0489	22.41	0.9889826756977628	0.02405304468355398	
238.2276	0.79	0.803411325171086	1.855621463985284	
188.0705	24.77	0.803411325171086	-1.415821461147286	
239.1754	21.75	0.803411325171086	-1.1136969391896203	
188.1756	22.8	0.803411325171086	-1.0208868520659315	
294.2789	215.36	0.803411325171086	-1.0797333475536672	
294.2789	220.63	0.803411325171086	-1.1450538859793782	
189.0522	22.8	0.8280784023988502	-0.6694433173848796	
189.0732	22.14	0.803411325171086	-1.8849644274396267	
294.9386	21.22	0.803411325171086	-2.0687655853990377	
