m/z	rtime	p-value	t-score	custom_id
166.0515	1.84	0.3692011248499116	1.4598203079985725	
167.0894	24.51	0.05042712069545075	-3.697855846545553	C7H8O2
265.1066	27.15	0.17900522087720572	-2.2970519844210213	
265.1066	31.0	0.33591715985076165	-1.6059944507172352	
265.9621	20.04	0.5653774920524884	0.8905321085474834	
216.9226	22.14	0.523023878902099	0.9909364747149391	
217.1044	22.41	0.19156156132645116	-2.2108264568847065	
267.1223	30.74	0.2967203770589651	-1.7390308190219455	C14H18O5
267.1586	26.37	0.10407336338082679	-2.819708608134746	
267.1814	24.38	0.03157844462046997	-4.301845658864808	
268.1257	30.74	0.42775246657825905	-1.267327132344724	C14H18O5
170.0811	23.98	0.3364313986926216	1.6022227883899365	C6H8O3
268.176	24.51	0.25011525231215337	-1.9216527759235054	
268.2116	24.51	0.2538221397804671	-1.908521689479652	
116.0622	38.75	0.8334363421926554	0.3275518548121429	
268.2712	229.69	0.2139347386363647	-2.0745459906120405	
268.2712	234.45	0.1207890826129221	-2.694909493915972	C18H34O
268.2712	241.32	0.07626432319598399	-3.1892088222448067	C18H34O
170.1731	0.79	0.3639108811602455	-1.487415759675774	
218.9196	22.14	0.5387919899279999	0.9556607215771322	
218.9817	22.8	0.7193559690267101	-0.5577257295022436	
269.136	24.51	0.09458505075087802	-2.947430516392975	
269.1388	26.37	0.6701607525978367	0.6607431815445474	
219.1127	21.88	0.3520481172898864	-1.5532529156513069	
219.1127	24.51	0.20123507479081096	-2.1344326503051567	
117.0741	23.33	0.7692861789305493	0.45412638724894544	
172.0942	21.49	0.42212361274864585	1.284876256507875	
271.2052	284.25	0.9291789582156226	0.13419582366533434	
221.096	41.14	0.4751664075074631	-1.1322053243763504	
173.0783	22.41	0.5077559180772832	-1.0254973151389448	
119.0492	27.15	0.014959447531127983	-5.591957999176031	C8H6O
119.0492	30.74	0.19815879403910558	-2.1503997251179228	
173.096	36.26	0.36204240034405577	-1.4980575716938238	
173.096	243.95	0.03027249505886206	4.425144897269731	
222.0986	41.27	0.4772830783831402	-1.1270388668357485	
222.0986	93.83	0.4890826746905599	1.08881370521938	
120.0809	24.51	0.016311564899469454	-5.356681244292497	
273.2573	610.1	0.7660668441103959	-0.4602943992759643	
273.2573	611.02	0.6701607525978367	-0.659905848813962	
273.9451	20.44	0.9060624133864951	0.18209158353509558	
274.0836	26.37	0.2831452382860435	-1.7856127529436692	
121.0649	30.74	0.3972676600353818	-1.3550788577525767	
174.938	22.67	0.14519378657213913	-2.5253882853299183	
274.1656	24.77	0.2276913981498688	-2.0125759034543234	
121.0843	24.77	0.18927544297061336	-2.224493129742216	
175.0014	23.06	0.06281432540559448	-3.4266220533543534	
274.2737	34.15	0.9788101783608463	-0.037141677439905395	C16H35NO2
274.9415	20.3	0.892151153765867	0.22656576683127994	
275.0874	26.37	0.18149177971446884	-2.2813345882002913	
275.0999	21.36	0.21484943063829712	-2.066735209596421	
122.0686	30.74	0.7193559690267101	0.5560987612219457	
122.0686	65.67	0.2706340541074547	-1.8466638034391265	
175.119	1.58	0.6498089833201506	-0.7053914520137092	
