m/z	rtime	p-value	t-score	custom_id
166.0515	1.84	0.4733212496486145	-1.396166215674911	
167.0894	24.51	0.15297376678063077	-4.314108952195625	C7H8O2
265.1066	27.15	0.29714920928545485	-2.502204220363254	
265.1066	31.0	0.22160203679880533	-3.275490782790307	
265.9621	20.04	0.6865790758841824	0.700003069272255	
216.9226	22.14	0.5664444629615534	1.06642381509745	
217.1044	22.41	0.8504974381297706	-0.322503585999733	
267.1223	30.74	0.5834777637405542	-0.9862475693528202	C14H18O5
267.1586	26.37	0.7704153348715007	-0.5131244875604837	
267.1814	24.38	0.926414032107145	-0.14211114334538924	
268.1257	30.74	0.5357180826389639	-1.1643300876971536	C14H18O5
170.0811	23.98	0.666711655174725	0.7525374516165126	C6H8O3
268.176	24.51	0.6402533407060064	0.8068798063458221	
268.2116	24.51	0.36101686162022806	-2.07566704094195	
116.0622	38.75	0.9428175817994641	0.10880011590629762	
268.2712	229.69	0.38028727724331746	-1.8939920413567366	
268.2712	234.45	0.4537786164291703	-1.4714113652583112	C18H34O
268.2712	241.32	0.25775634505138356	-2.8275068428374577	C18H34O
170.1731	0.79	0.7634164022476299	0.5280440914444133	
218.9196	22.14	0.5716198375566589	1.0310281947152897	
218.9817	22.8	0.40753994122788606	-1.7247254894613868	
269.136	24.51	0.5515437629783988	-1.1060682681195877	
269.1388	26.37	0.580041471380746	0.9971455571795448	
219.1127	21.88	0.4903550503219882	-1.3261703168120256	
219.1127	24.51	0.5609226206886588	-1.0836048698020477	
117.0741	23.33	0.8031152241025431	-0.4343585974187498	
172.0942	21.49	0.6831879154738242	-0.707203753923442	
271.2052	284.25	0.949133898302347	0.09598660596998877	
221.096	41.14	0.32750469928633713	-2.297838253719926	
173.0783	22.41	0.8270386686413934	0.37128482945470787	
119.0492	27.15	0.39620849975583033	-1.8054965215558099	C8H6O
119.0492	30.74	0.3225766986612642	-2.330992552948498	
173.096	36.26	0.19732482054348605	-3.5535556489635125	
173.096	243.95	0.06786114801973693	7.697415307272225	
222.0986	41.27	0.22487515705715086	-3.2322403138133633	
222.0986	93.83	0.7394121016842993	0.5717234220049753	
120.0809	24.51	0.15945715419321177	-4.206269090316243	
273.2573	610.1	0.38455217863364544	-1.8587327444623758	
