m/z	rtime	p-value	t-score	custom_id
248.9604	21.49	0.25800961589702454	-2.6589539179128048	
249.051	23.33	0.25107423473501467	2.7916221002285764	
249.1495	36.53	0.23910245617913098	-2.9855150268543857	C15H22O3
249.1495	68.27	0.17508049842136425	-4.009686801693931	C15H22O3
249.9639	21.49	0.29796607184664514	-2.170366009953797	
250.1527	36.4	0.48806077275313847	-1.1618232163871403	C15H22O3
250.1527	68.53	0.3417409586041519	-1.8326358855580176	C15H22O3
250.9648	21.23	0.24223437702553297	-2.932157910164776	
163.0605	24.25	0.6592531701606097	0.7237430882998908	
209.0968	29.39	0.21677930642929283	-3.267206430651111	
209.0968	34.01	0.04589603197471223	-11.504114011596338	
209.0968	36.4	0.24998225134704985	-2.8152538133996265	
164.0709	24.38	0.24111366908098808	-2.956298996723468	
252.9241	1.57	0.25214801487701244	-2.709842838618045	
210.9098	2.35	0.2661821030270233	2.4861875646213822	
210.9121	21.1	0.7342360166280957	0.5484019069965332	
210.9121	23.59	0.8195280801890452	-0.3628778369216895	
254.2489	255.37	0.9217698637594105	-0.15357557539916764	C16H33NO
113.9879	21.75	0.4506643697853351	-1.3013553122858295	
114.0164	22.8	0.21677930642929283	3.310812683178551	
114.9887	21.75	0.8059044736287813	-0.3923791741195608	
255.1968	36.53	0.7670336293394402	0.4827379496506602	
212.9102	2.35	0.4851736049693629	1.177958345246841	
212.9102	20.68	0.5590811154277583	0.9355133564414597	
212.9102	23.46	0.809188610623335	-0.38124542359012753	
256.9201	1.17	0.2588543762679892	-2.5686801784813413	
213.9082	1.7	0.38826012328535275	1.5448191334764694	
168.0658	23.72	0.035180466423108306	15.483897788399112	
170.9435	22.02	0.3059942556687431	2.1130909252939025	
262.9763	21.36	0.1615431048134276	-4.2889516843074915	
262.9763	24.91	0.2661821030270233	2.482719700600827	
264.9346	22.8	0.21891330384517885	-3.146859637072026	
265.9508	21.89	0.68295576051092	0.6594385822804708	
266.1515	36.79	0.7139975491233833	0.5924833718280292	
216.9644	2.88	0.4721842918533972	1.2381069579497685	
174.9464	1.57	0.5660678242764177	-0.9143580098245787	
268.9841	26.24	0.5267252643598482	1.037424397661187	
128.9585	22.67	0.30976935540272293	-2.040476108995028	
269.9866	26.24	0.44879221079396403	-1.3080716915593136	
218.9865	24.91	0.41708573846649205	1.4260459575744857	
130.0864	1.83	0.848173162375489	0.3111490543535145	
130.0864	23.86	0.7065063917320354	-0.6120858688333561	
130.9565	22.8	0.5688048289730254	-0.9074399791907317	
221.0526	22.02	0.29890973921046754	2.1571647426792246	C6H12O6
178.9723	1.96	0.5449243367929892	0.9801900720206808	
221.1543	59.17	0.6580418132020577	-0.7347229174183931	
276.0177	24.64	0.39961314685268456	-1.4977119133581074	
133.0133	1.7	0.679565881695296	-0.6741502457850187	
223.0498	22.41	0.2588543762679892	2.5660641495235383	
278.8979	2.62	0.2990406595417444	2.146971062627325	
135.0302	22.15	0.8607552503935324	-0.28993734047330544	
181.0008	22.8	0.4851736049693629	1.1825085803870705	
181.0711	22.02	0.24932617405142432	-2.837013805050801	
