m/z	rtime	p-value	t-score	custom_id
69.0704	187.3	0.9998992158245705	-0.0006109786919034864	
135.0844	33.32	0.5315432533547906	-1.5191949851756306	C5H11NO3
218.9431	209.53	0.3170702154596093	-3.004202134066307	
181.105	26.62	0.31837225401474056	-2.923058015249572	C11H12O2
219.0716	246.3	0.511641685858881	-1.6134816869687043	
219.0975	361.29	0.9582206323648296	-0.14162342260916408	C8H14N2O5
136.9107	208.74	0.5625777270893946	1.3399418800175567	
136.94	209.39	0.30680271897672623	3.837591282059167	H3O4P,C2H3KO2
136.9693	209.66	0.9766366428023767	-0.09908218206281541	
219.1127	27.8	0.9582206323648296	0.1418745168240626	C12H14N2O2
219.1168	307.95	0.8813791250092087	-0.33633514719826313	C8H15N3O4
219.1168	318.33	0.3069484501860409	-3.2083525973512046	C8H15N3O4
219.1338	232.57	0.45251849157606433	-1.8753209617532178	C9H18N2O4
219.1338	271.47	0.40150797366801877	2.374319329278626	C9H18N2O4
137.0594	28.07	0.9105454133576114	0.260309040168949	
219.1743	24.65	0.5382575788731315	1.4522995568608754	
137.0709	200.99	0.30680271897672623	-4.1385147423011945	C7H8N2O
137.0727	211.36	0.9707826044862402	0.11285219239575008	
137.9433	209.39	0.30680271897672623	3.5726274000551768	H3O4P,C2H3KO2
138.0549	356.04	0.49392543472893685	1.6729468599643014	C5H4O2
138.0742	200.99	0.46008738035297864	-1.8504647978654776	C7H8N2O
138.9194	207.42	0.6180337954396777	-1.1235417163092647	CK2O3
138.9194	212.15	0.30680271897672623	-3.432074756647102	
138.9381	209.39	0.30680271897672623	4.209890452841982	
138.9441	209.39	0.3069484501860409	3.253964324127519	
139.0753	201.25	0.936224401369627	0.20253910579297305	
139.0977	202.7	0.679939253435522	-0.919600889231451	C6H10N4
220.0927	333.88	0.7630899715691823	-0.6141664435802883	C7H13N3O5
139.9146	207.42	0.7219303932891996	-0.7150721284304833	
139.9146	212.41	0.8438065763217452	-0.450781853825123	
139.9415	209.26	0.04706835367316239	11.042963806276475	
220.1178	185.07	0.8501003099323768	-0.42962356005091673	C9H17NO5
140.0106	265.26	0.4381650079416229	1.9331568767364948	H3O4P,C2H3KO2
140.9362	209.13	0.23705993428242464	5.3236824991476315	
140.9424	209.39	0.7447755467675626	0.643691747268903	
220.9014	209.39	0.30793285970702267	3.185788371945848	
220.9412	209.79	0.30680271897672623	-3.7864851553218646	
221.0178	318.59	0.9982406313558904	0.00955352009395656	
221.0768	376.29	0.9766366428023767	-0.09833827751682392	C7H12N2O6
221.0956	252.61	0.7049590787153084	-0.7906869975647806	C8H16N2O3S,C8H16N2O3S
221.1131	280.3	0.5491282575303613	-1.413274176707039	C8H16N2O5
77.9273	209.53	0.30680271897672623	3.6059037148764643	
78.9562	206.9	0.8329555018749563	-0.46966083114840446	
78.9562	212.94	0.6632278320166362	-0.9950441145319866	
221.8996	146.6	0.6779416790504129	-0.9327393250751543	
221.8996	156.84	0.4880303372688488	-1.702618933685763	
221.9047	209.53	0.30680271897672623	3.631455971532496	
184.9797	242.58	0.21583173519227117	-5.994386083031706	
80.9935	209.39	0.31837225401474056	2.9738779310671033	
81.9883	209.39	0.35269611887358276	2.649439758093227	
82.9916	208.47	0.6709909664348989	-0.9618104871376021	
222.8995	209.39	0.41478656699769434	2.327337327336456	
144.0477	201.65	0.5204554430800583	-1.5777733534822933	
144.0655	356.3	0.6828108705911082	0.9103718505208229	C6H9NO3
223.0635	24.52	0.6707684105359567	0.9691485774513123	
84.9117	211.76	0.8203030792453295	0.5080123402313192	
85.0289	324.92	0.41609178437882616	2.290730120210705	
144.9275	206.64	0.45251849157606433	-1.8738642421637284	
144.9275	213.33	0.3492420396620636	-2.6748268345640036	
186.0761	356.3	0.51067764165684	1.623753579509055	C8H11NO4
186.0872	318.59	0.30680271897672623	-3.78028203831015	
87.0445	282.94	0.4245885700370247	2.2073455715528185	
87.0548	324.53	0.5204554430800583	-1.5738541929365562	
187.0713	318.46	0.30680271897672623	-3.358109880160742	C8H9NO4
187.0713	325.84	0.8564528447045787	-0.40957331814167025	C7H10N2O4
187.0713	355.22	0.8455705511198958	0.44343877271343346	C7H10N2O4
187.094	28.2	0.9464330681035472	0.17503260163838538	C8H12O3
224.1109	177.59	0.6930663388585105	0.8672568808614811	C11H14N2O3
146.0923	261.19	0.4353237823381411	2.089916581937882	C5H11N3O2
146.1175	27.67	0.3623267472388648	-2.5872712675116665	
146.1175	330.99	0.30680271897672623	3.5086671689710522	C7H15NO2
187.144	27.67	0.6117588057013585	-1.1470666400660732	
224.1572	26.88	0.7334400150404029	-0.6876198914482925	
224.1854	26.62	0.7966912180812505	0.544906727415348	
89.0965	26.23	0.5014546936946435	1.6480167554824774	
147.0473	27.54	0.8606306167000836	-0.3949288989881298	C6H10O2S,C6H10O2S
225.0466	216.52	0.6180337954396777	1.1273546961583358	
188.0919	271.2	0.7049590787153084	-0.8057082486039305	C8H13NO4
147.1014	26.88	0.7049590787153084	-0.8105675426037408	C7H14O3
147.1208	27.67	0.30680271897672623	-3.3841701329791642	
189.0738	166.43	0.03155133450198947	-13.285599520804318	C11H9NO2,C6H10ClN5
91.0587	254.97	0.30680271897672623	3.420598038296238	C3H7NO2
189.1345	197.68	0.30680271897672623	-4.389812312590791	C7H16N4O2
189.179	410.79	0.7837942555624328	-0.5711503979218309	C9H21N3O
190.0713	24.65	0.6571991862781434	1.0116389262019394	C8H11NO2S,C8H11NO2S
190.0821	315.57	0.9023410186034142	0.27451269993782695	C6H11N3O4
190.0821	339.79	0.47732615291356945	1.7377997806302927	C6H11N3O4
94.0655	168.92	0.31837225401474056	2.9422425877407243	C6H7N
225.97	208.08	0.6110900749618114	1.1522756323848329	
225.97	210.31	0.4615551620400861	1.8251163129172399	
149.0575	324.66	0.30680271897672623	3.6200435848263606	
190.1379	197.68	0.31336617124011096	-3.102054859464556	C7H16N4O2
97.0288	370.65	0.664172911908431	-0.9830495166855591	C5H4O2
97.0288	420.28	0.9814958435727482	-0.08151456163005774	C5H4O2
