m/z	rtime	p-value	t-score	custom_id
69.0704	187.3	0.2598774875051751	-1.8160014465503584	
135.0844	33.32	0.5083328750003006	-0.9925286499040678	C5H11NO3
218.9431	209.53	0.1623025044581515	2.4693725544790546	
181.105	26.62	0.27812118644363787	-1.7275307475195196	C11H12O2
219.0716	246.3	0.06365597986982299	-3.95638038561605	
219.0975	361.29	0.011364061413033692	-8.662042056181848	C8H14N2O5
136.9107	208.74	0.0928574936163368	-3.3091703877212053	
136.94	209.39	0.4114696066655268	-1.250532491110621	H3O4P,C2H3KO2
136.9693	209.66	0.8624672354665879	0.2791503101876787	
219.1127	27.8	0.7265665239916433	-0.531909877029129	C12H14N2O2
219.1168	307.95	0.004116559983521705	-14.057114340559185	C8H15N3O4
219.1168	318.33	0.047296049716140716	-4.611312263893772	C8H15N3O4
219.1338	232.57	0.06051342024187756	-4.072867623441899	C9H18N2O4
219.1338	271.47	0.003505782692494882	-15.166620812218836	C9H18N2O4
137.0594	28.07	0.25428356809163527	-1.84608703547757	
219.1743	24.65	0.27022853042861683	1.7623869198356619	
137.0709	200.99	0.8966220253039399	0.2210545104129632	C7H8N2O
137.0727	211.36	0.28188592870890783	1.7120093089585624	
137.9433	209.39	0.4226071280943261	-1.2099046476373292	H3O4P,C2H3KO2
138.0549	356.04	0.019322984656335574	6.871296986250141	C5H4O2
138.0742	200.99	0.9346902630204692	0.15395328210035253	C7H8N2O
138.9194	207.42	0.19039797846736978	2.2500733289947523	CK2O3
138.9194	212.15	0.05794946957895104	4.204116210642283	
138.9381	209.39	0.2878384614175662	-1.6861784509917628	
138.9441	209.39	0.36652663103052296	-1.3772139838760533	
139.0753	201.25	0.5262690491051393	0.9510390961990864	
139.0977	202.7	0.6100561489509407	-0.767423397434669	C6H10N4
220.0927	333.88	0.025726099410295678	-6.093421022567871	C7H13N3O5
139.9146	207.42	0.6355984777533102	0.7195125388606404	
139.9146	212.41	0.0987759777840634	3.229057789413456	
139.9415	209.26	0.5189801856833328	-0.9676616293724306	
220.1178	185.07	0.4417138320740525	1.1633375711532272	C9H17NO5
140.0106	265.26	0.18954553568661958	-2.255899258674763	H3O4P,C2H3KO2
140.9362	209.13	0.4330253271502787	-1.1847157764471226	
140.9424	209.39	0.915892482422928	-0.18519117395891732	
220.9014	209.39	0.2850761209109199	-1.695730210659224	
220.9412	209.79	0.1332668533046903	2.771072236329672	
221.0178	318.59	0.05982881561558793	4.106914831225262	
221.0768	376.29	0.16114937766179382	-2.492009059076332	C7H12N2O6
221.0956	252.61	0.2169942951638929	-2.056460861745807	C8H16N2O3S,C8H16N2O3S
221.1131	280.3	0.0011760918692291778	-26.711762263751606	C8H16N2O5
77.9273	209.53	0.9606596529025647	0.10005911914027621	
78.9562	206.9	0.004536311383866213	13.385563676178165	
78.9562	212.94	0.02095116869194681	6.682996222845036	
221.8996	146.6	0.6152083544464652	-0.7566322481067331	
221.8996	156.84	0.7542142542615053	-0.48224590113824967	
221.9047	209.53	0.21913462809633943	-2.0414116198581826	
184.9797	242.58	0.1623025044581515	2.4754243733390116	
