m/z	rtime	p-value	t-score	custom_id
132.9453	151.74	0.9631475547147218	0.13712755945140676	
132.9453	206.55	0.9896959512487773	-0.02447618091986232	
208.9731	28.68	0.9058654193601322	1.571048700747556	C4H5NO7P
174.9979	28.02	0.9631475547147218	0.24189795710406337	
175.0353	319.99	0.9285975557371332	0.8107416366041945	
175.0433	299.5	0.9633752836431966	-0.09951888107699043	
209.082	35.24	0.9303269197928529	-0.5237551258212184	C11H14O4,C6H15ClN4O2
209.0968	31.96	0.9285975557371332	1.133048335600554	
209.1543	29.99	0.9306706110293881	-0.45262635407493906	C13H22O2
209.1543	34.06	0.934394179678218	0.42150524334617717	C13H22O2
209.8334	1.7	0.9285975557371332	0.7639915231987483	
175.839	142.49	0.9285975557371332	0.5961722488335133	
175.839	151.87	0.9285975557371332	0.6426261129599576	
209.9286	28.94	0.9285975557371332	1.1427589831122142	
210.0072	221.91	0.9285975557371332	1.2199371285600467	
210.1577	30.52	0.9695532420547298	-0.07586527405937148	
210.1577	33.93	0.9954133288897387	-0.008156491801811943	C13H22O2
210.8419	141.57	0.9306706110293881	0.5021498371297635	
210.8419	152.53	0.9285975557371332	0.8063140760578814	
134.9425	152.0	0.9058654193601322	-2.518790415446462	
134.9425	206.68	0.9391098230502608	0.33224961768695643	
176.0557	212.98	0.9285975557371332	1.167461296184103	C7H10O5
176.075	297.79	0.9058654193601322	-2.549956135049817	
176.075	313.81	0.9058654193601322	-2.316776543092587	
210.9912	301.21	0.9058654193601322	1.6039171696986037	
210.9912	372.04	0.9285975557371332	-0.7316853504245352	
176.8359	142.36	0.9285975557371332	0.5664469995564856	
176.8359	151.87	0.9285975557371332	0.7026978105633611	
135.9015	141.04	0.9285975557371332	0.7276698481824054	
135.9015	153.18	0.9285975557371332	-0.7638119882140174	
211.0007	218.49	0.9306706110293881	0.4580009117753721	
80.9641	181.11	0.9659839052627677	0.09002402106964663	
82.9531	34.59	0.9631475547147218	-0.17267941875148732	
211.8849	153.31	0.9306706110293881	0.4687153924495652	
