m/z	rtime	p-value	t-score	custom_id
132.9453	151.74	0.6704938513918131	-0.8976964697438901	
132.9453	206.55	0.8952716153220047	0.25537944651076144	
208.9731	28.68	0.8952716153220047	-0.26419048993448085	C4H5NO7P
174.9979	28.02	0.8998334243719014	-0.21909866675217884	
175.0353	319.99	0.4116162516521483	4.67057542134962	
175.0433	299.5	0.5633262571714079	1.4186042062469209	
209.082	35.24	0.5926153067058207	-1.2291888494764123	C11H14O4,C6H15ClN4O2
209.0968	31.96	0.8615735588191643	-0.36198618134067717	
209.1543	29.99	0.413570480818391	-3.3511431454427596	C13H22O2
209.1543	34.06	0.838614865207166	0.44367719966965563	C13H22O2
209.8334	1.7	0.5202508322664867	-2.0871896042633495	
175.839	142.49	0.9547053313842622	-0.0984253130180699	
175.839	151.87	0.854152484520363	-0.38756832802247054	
209.9286	28.94	0.6875900896083541	-0.8358470622617188	
210.0072	221.91	0.41200117513128526	-3.811574463225682	
210.1577	30.52	0.643835567966001	-0.98423007112232	
210.1577	33.93	0.9406997155239406	0.12395683621564063	C13H22O2
210.8419	141.57	0.9645235134730856	-0.07598215348370455	
210.8419	152.53	0.9217167274273145	-0.164208124085113	
134.9425	152.0	0.8736583164043326	0.3127460446030248	
134.9425	206.68	0.9202024813497441	0.16741643378283597	
176.0557	212.98	0.6821217627514101	0.8518894214143056	C7H10O5
176.075	297.79	0.9861618347678077	-0.02727983000378539	
176.075	313.81	0.5616786745416369	1.4707687441124524	
210.9912	301.21	0.5633262571714079	-1.4227851321803264	
210.9912	372.04	0.534931837082949	-1.703735109799464	
176.8359	142.36	0.6949671712031136	-0.8143700728675747	
176.8359	151.87	0.8024878744627376	-0.5339367807824519	
135.9015	141.04	0.8002267449087688	-0.544831664200499	
135.9015	153.18	0.4895054135135266	-2.4833886075701326	
211.0007	218.49	0.6733715760709266	0.8864369807072453	
80.9641	181.11	0.5202508322664867	-1.9723194671930924	
82.9531	34.59	0.643835567966001	-0.9822102053053425	
211.8849	153.31	0.814302260399604	0.5094525154581521	
177.9123	141.57	0.7519898563310379	-0.6505153744988716	
177.9123	152.79	0.5501312173745155	-1.5484102002563662	
212.0536	184.66	0.5350734131469892	1.6198403545061666	
212.0576	211.67	0.8971140340705552	-0.23625132192168755	
83.0492	247.18	0.3951451633639882	4.850765848027936	
212.8389	141.44	0.6756068739743984	-0.8761592082642465	
