m/z	rtime	p-value	t-score	custom_id
132.9453	151.74	0.5185802110367945	0.9309233781631657	
132.9453	206.55	0.12612151656851622	-2.541100040168971	
208.9731	28.68	0.23591420335717264	1.836335176231695	C4H5NO7P
174.9979	28.02	0.1927747776400619	2.0973823704369443	
175.0353	319.99	0.05541513781953566	3.78514235051095	
175.0433	299.5	0.7934120828556119	-0.384184787681466	
209.082	35.24	0.9042237537130856	0.19565233808713062	C11H14O4,C6H15ClN4O2
209.0968	31.96	0.5622858033008499	0.8403814218842479	
209.1543	29.99	0.38792809059176864	-1.2535570615234486	C13H22O2
209.1543	34.06	0.2961708074292222	-1.5574316324524984	C13H22O2
209.8334	1.7	0.13387945043808047	2.48085632279314	
175.839	142.49	0.3096228478491304	1.5033085272892173	
175.839	151.87	0.33685588929038324	1.413412757359227	
209.9286	28.94	0.5146527901848521	0.9421875379243564	
210.0072	221.91	0.33685588929038324	1.413346649601091	
210.1577	30.52	0.15033465179846997	-2.3703700005481196	
210.1577	33.93	0.21921212601379747	-1.9489561879244415	C13H22O2
210.8419	141.57	0.07959248389436392	3.1926865087921925	
210.8419	152.53	0.05906891006604859	3.6627869830288353	
134.9425	152.0	0.8908667999280836	-0.2198437176000738	
134.9425	206.68	0.2365183063036253	-1.8284559136042393	
176.0557	212.98	0.3385576089121558	-1.4016488087148071	C7H10O5
176.075	297.79	0.028910540708764993	-5.147636718643685	
176.075	313.81	0.03697145970994357	-4.638854437579408	
210.9912	301.21	0.4378804438485727	-1.1250863961584348	
210.9912	372.04	0.6202381714412711	-0.7132191637747692	
176.8359	142.36	0.3817134981785256	1.2704119468353385	
176.8359	151.87	0.23707184360329098	1.822592832396207	
135.9015	141.04	0.2871201046227674	1.5888738402463523	
135.9015	153.18	0.25313900087110974	1.7446105146063473	
211.0007	218.49	0.7579133076708625	0.45103500373212735	
80.9641	181.11	0.8504206688989032	-0.2828144828727306	
82.9531	34.59	0.45093298192643605	1.0877261657910933	
211.8849	153.31	0.8239433302997636	-0.32638746289144904	
177.9123	141.57	0.14441205460566683	2.4075074960888605	
177.9123	152.79	0.4378804438485727	1.1257948798610158	
212.0536	184.66	0.1308974511755468	-2.50347811550928	
212.0576	211.67	0.08721905228971948	-3.0564148683713563	
83.0492	247.18	0.05541513781953566	3.7919990817509	
212.8389	141.44	0.04911235397203996	4.003467448469368	
212.8389	152.53	0.06887775653682905	3.4093716882189358	
84.0444	194.96	0.11425515203581638	2.650980334555874	
84.0444	212.06	0.9127348461737306	-0.17455173194387102	
84.9501	34.72	0.4634692744245895	1.0520938939118138	
87.0441	194.57	0.27904614306195036	1.6269201155847604	
138.8592	149.61	0.09674614575438192	-2.8490332354652557	
138.9059	1.44	0.1490010951483514	2.382632122505716	
179.0554	282.3	0.6545784797856949	-0.6459055270754078	C9H6N2O2
179.8401	141.7	0.8590695807042227	-0.2707609323465145	
179.8401	152.53	0.9102049230697867	0.1799969871977382	
139.0002	241.27	0.7831795950635261	-0.4045564176105974	
179.8819	367.18	0.03515689690480239	4.756015400383912	
213.8832	41.28	0.24294762809191817	1.7926610764271402	
213.8832	41.94	0.8163092819534156	-0.345026129734351	
213.8832	43.52	0.7783920515831787	0.41178053958427113	
214.0482	298.85	0.07617449346660084	3.2556670929246474	C5H14NO6P
140.0108	298.71	0.12935824861888912	2.5142343850604636	
180.8821	367.18	0.05906891006604859	3.649489203977618	
215.0514	298.98	0.05517696240141183	3.8441958445625866	C5H14NO6P
215.1034	288.87	0.06006339181500783	-3.6101078491139718	
93.0335	33.8	0.04394391425238122	-4.31288198354284	
215.1397	172.81	0.04911235397203996	-3.999506905147247	C10H20N2O3
181.071	194.57	0.07962648853360328	-3.189135872385073	
