m/z	rtime	p-value	t-score	custom_id
132.9453	151.74	0.04582635029168882	5.251946543186538	
132.9453	206.55	0.0497833785308102	-4.862554401478239	
208.9731	28.68	0.6544006561096102	0.6634132607220738	C4H5NO7P
174.9979	28.02	0.20324418564964505	2.089943890589899	
175.0353	319.99	0.008967683687740568	16.612052310430474	
175.0433	299.5	0.04367165608008879	5.4968977783289095	
209.082	35.24	0.9138313517013892	-0.1636955490031518	C11H14O4,C6H15ClN4O2
209.0968	31.96	0.3491898547255665	-1.41002491598738	
209.1543	29.99	0.7645770949770432	-0.4419513762324144	C13H22O2
209.1543	34.06	0.15457957345069367	-2.4644258244300015	C13H22O2
209.8334	1.7	0.1333197422174767	2.689224203542637	
175.839	142.49	0.2581706827372842	1.7641496910710626	
175.839	151.87	0.21663517682191608	1.9860978031431649	
209.9286	28.94	0.5341701828885269	0.8979813438278038	
210.0072	221.91	0.18818795904860183	2.1921982780688234	
210.1577	30.52	0.04159793000197559	-6.501015826366601	
210.1577	33.93	0.02091780417676688	-11.383303041320419	C13H22O2
210.8419	141.57	0.21126894979031682	2.0267954045574705	
210.8419	152.53	0.2606251810681212	1.7498886303846188	
134.9425	152.0	0.04159793000197559	6.059979732609922	
134.9425	206.68	0.08020780574733567	-3.70499027667581	
176.0557	212.98	0.5941347525257091	-0.7711843439355508	C7H10O5
176.075	297.79	0.055407395267899326	-4.591762753694512	
176.075	313.81	0.06657992925556996	-4.095555884918373	
210.9912	301.21	0.3999445560640488	1.253200308336997	
210.9912	372.04	0.12550484642422355	2.8184811678521586	
176.8359	142.36	0.17638320633781607	2.269874922567191	
176.8359	151.87	0.12960647677144127	2.7530187842604477	
135.9015	141.04	0.16174924567242824	2.3954923508853776	
135.9015	153.18	0.12231598615033451	2.8795625523739528	
211.0007	218.49	0.916286175068696	0.15692959119371347	
80.9641	181.11	0.1390922441154082	-2.624262765672622	
82.9531	34.59	0.2440791779201898	-1.8342136757555543	
211.8849	153.31	0.724646397441556	-0.5216545267155528	
177.9123	141.57	0.06657992925556996	4.088461218773568	
177.9123	152.79	0.09934599311677525	3.2165969132356644	
212.0536	184.66	0.8874057443742192	-0.21370497318891568	
212.0576	211.67	0.1467594736098635	-2.5456171971045984	
83.0492	247.18	0.7434782796383432	-0.48075945194546116	
