m/z	rtime	p-value	t-score	custom_id
132.9453	151.74	0.572261928094316	1.2555748406042047	
132.9453	206.55	0.35291561768818674	-2.3078874441227777	
208.9731	28.68	0.8375641283305079	0.45586416538262653	C4H5NO7P
174.9979	28.02	0.6337754723592471	1.0456218893090983	
175.0353	319.99	0.029913907012421803	11.049788655198805	
175.0433	299.5	0.10892267272638395	4.720539077081687	
209.082	35.24	0.5403409483332745	-1.3941715709545608	C11H14O4,C6H15ClN4O2
209.0968	31.96	0.6110026880365566	-1.1426819289491328	
209.1543	29.99	0.6790881978168248	0.8812725062335384	C13H22O2
209.1543	34.06	0.9741804378325297	-0.10440247104761652	C13H22O2
209.8334	1.7	0.6790881978168248	0.89197772707547	
175.839	142.49	0.6872824502337411	0.8537423972439787	
175.839	151.87	0.9276632298146411	0.24619315804903838	
209.9286	28.94	0.6529902471900196	0.9916062160377107	
210.0072	221.91	0.6189943126170403	1.1137118364680123	
210.1577	30.52	0.9239249374407879	0.2572844259707781	
210.1577	33.93	0.9553978660278752	-0.15551309074966635	C13H22O2
210.8419	141.57	0.4651809815444194	1.748935933336707	
210.8419	152.53	0.533528457634834	1.4422661392777196	
134.9425	152.0	0.36658661013421756	2.2453384417002815	
134.9425	206.68	0.07473896658412328	-5.787653279741513	
176.0557	212.98	0.19377423862399348	3.483704112090065	C7H10O5
176.075	297.79	0.21020944491612203	-3.212488799539632	
176.075	313.81	0.29696406722741886	-2.6458566240566115	
210.9912	301.21	0.21020944491612203	3.231883854496263	
210.9912	372.04	0.36565854913801765	2.2572486271247896	
176.8359	142.36	0.5432011213793954	1.3728087776518116	
176.8359	151.87	0.7365576410634818	0.7247185516608738	
135.9015	141.04	0.4127866483820808	2.0537520837539187	
135.9015	153.18	0.9315886552909087	0.23685221939061626	
211.0007	218.49	0.7533749245297622	0.6800575730303218	
80.9641	181.11	0.9276632298146411	-0.24411163649091525	
82.9531	34.59	0.9780868973307836	-0.0805907136082529	
211.8849	153.31	0.6777934631127691	-0.9063480112499903	
177.9123	141.57	0.559714835846684	1.299876694948941	
177.9123	152.79	0.5541024354764287	1.3188373360460266	
212.0536	184.66	0.6222748197035188	1.0988982711339221	
212.0576	211.67	0.4842415870898268	-1.617550202795442	
83.0492	247.18	0.6790881978168248	-0.8891084808459332	
212.8389	141.44	0.46746842996582416	1.7299919731410658	
212.8389	152.53	0.8384324464088986	0.4409575829867195	
84.0444	194.96	0.36658661013421756	2.2409548689820373	
84.0444	212.06	0.6972185323615201	0.8379389087813822	
84.9501	34.72	0.8777154895065906	-0.3646780652446696	
87.0441	194.57	0.38105911347498894	2.1687035007418145	
138.8592	149.61	0.19628370819538002	-3.4125208033768173	
138.9059	1.44	0.976741520034007	0.08914346344164668	
179.0554	282.3	0.533528457634834	1.452939622896894	C9H6N2O2
179.8401	141.7	0.8621600297563793	-0.38719749631103845	
179.8401	152.53	0.8384324464088986	0.45272475505420556	
139.0002	241.27	0.9831246836384864	-0.05899388476852815	
179.8819	367.18	0.5868441941145325	1.1962958881006172	
213.8832	41.28	0.7216196805817572	-0.7803665156063847	
213.8832	41.94	0.893477821529782	-0.3248779303830137	
213.8832	43.52	0.8756201009344134	-0.36964781586180495	
214.0482	298.85	0.1983454015333051	3.316452334210813	C5H14NO6P
140.0108	298.71	0.08314839970474673	5.451588871221945	
180.8821	367.18	0.6503339794041698	0.9995050650787283	
215.0514	298.98	0.19628370819538002	3.376780272718121	C5H14NO6P
215.1034	288.87	0.45257692669377053	-1.8342766597876499	
93.0335	33.8	0.9801666775544358	-0.07372761884212954	
215.1397	172.81	0.19628370819538002	-3.3800646383999386	C10H20N2O3
181.071	194.57	0.9363216224421729	0.22242402375353446	
215.8604	142.36	0.662377137398548	0.9477607672672413	
215.8604	152.13	0.6260650878270448	1.082557230148422	
181.8368	141.83	0.4560621726337055	1.8011382065578738	
181.8368	152.13	0.4858680051297717	1.6125265386322585	
181.9853	277.97	0.9887630774619859	-0.023833375138704593	
216.0513	298.98	0.19721707876603853	3.3506333482278254	
142.9432	206.94	0.7550825672761241	0.6754072041149418	
216.0986	307.64	0.051467505092145566	-7.297142871620849	C6H12N2O4
182.0454	33.93	0.7250551219015993	0.7590551398797806	
182.0745	194.57	0.9570578178162369	0.15213041778405223	
96.921	141.96	0.31291432243810496	2.5197958904434303	
96.921	152.26	0.4490761885883301	1.8644726304939796	
143.0054	207.07	0.5541024354764287	1.3196085221470415	
216.9185	366.92	0.5438367530881087	1.3473533082557108	C4H7Cl3O
96.9679	366.13	0.5412833505189806	1.3826000625420942	
96.9679	369.02	0.585897463356251	1.2008041395498728	
183.0041	26.05	0.6260650878270448	1.0760129213760383	
183.0112	27.5	0.6087960501662213	1.155308543772117	
217.0126	194.3	0.4842415870898268	1.6175551564466355	
217.0171	30.52	0.9389530732377614	0.20284809575548976	C8H10O5S,C8H10O5S
217.0171	58.02	0.38105911347498894	2.164034522790446	
217.0481	194.57	0.2653330487209045	-2.857504697410737	
97.0648	27.37	0.3713652022258566	2.2146801772079576	
143.9776	206.68	0.8447491200460118	0.42671168631344436	
143.9904	219.41	0.8139043273739304	0.505351193002153	
143.9904	226.37	0.7933655473584029	-0.5768546568379996	
217.0826	218.36	0.533528457634834	-1.4312418494114385	C10H12O5
217.0826	361.67	0.05415247549268439	-7.005202929282423	C8H6O4
97.9762	206.68	0.8836457348981983	0.35422046338883995	
217.1383	401.22	0.06772928914217888	-6.284111469954636	C9H19N3O3
217.8497	141.04	0.585897463356251	1.2026223196323604	
217.8497	151.08	0.533528457634834	1.4309003707614556	
217.8497	153.18	0.9389530732377614	0.20758362570720437	
217.8577	142.23	0.7036167374920529	0.81950296402331	
217.8577	152.0	0.9389530732377614	0.20506192630560813	
144.8687	142.23	0.42692959112671497	1.9654949648631044	
144.8687	152.26	0.49107447531761644	1.5969204084619357	
144.9036	353.4	0.572261928094316	1.2652135803584932	
218.0221	208.38	0.47322991707901685	-1.7043145097838062	C9H11NO3
98.948	23.29	0.11467402826595395	-4.603415614733228	
218.0515	194.57	0.25660379460443467	-2.8962443575848362	
218.0667	287.03	0.7969756381513055	0.5455965218952157	C12H10N2S
218.0779	334.2	0.44467510138026234	-1.892525046421545	C7H13N3O5
218.086	361.8	0.10892267272638395	-4.73908123512119	C8H6O4
144.9724	206.68	0.8334545860442035	0.46778103097138835	
218.103	182.16	0.036959729354342004	10.080317926075132	C9H17NO5
144.9784	206.41	0.6481148802688803	1.0093210887196848	
145.0246	194.83	0.4651809815444194	1.7516775715597863	
145.0246	214.56	0.7285582906629223	0.7422884300496413	
218.9882	1.83	0.57480538515686	1.2450716930714825	
145.9759	206.81	0.6790881978168248	-0.8953892758742185	
146.0167	273.77	0.1545476881268574	3.959029912881997	
146.053	247.44	0.6790881978168248	-0.87421802826832	
146.058	277.31	0.4552424676371946	1.820904652588555	
219.0192	208.38	0.3546006261545999	2.2924030600672802	
146.0813	182.16	0.06982004513966597	6.178441109647155	
219.0451	194.83	0.29825396356452877	-2.632247150932239	
219.07	287.03	0.08863782015037125	5.1566145150242	C12H10N2S
146.8658	142.23	0.44463784937061795	1.9071405090132723	
146.8658	152.26	0.4785674822374341	1.6608715381823518	
219.1063	182.16	0.03986723904893503	8.329617653898254	C9H17NO5
101.0709	301.08	0.07012490507383458	-6.077826952444887	
185.0561	235.99	0.5289774473008533	-1.4811319526246285	C7H10N2O4
185.0561	354.32	0.5438367530881087	-1.3653522998078924	C7H10N2O4
219.8451	152.92	0.8103030259902169	0.5109766097602048	
185.0925	290.18	0.10892267272638395	-4.710541114092315	C8H14N2O3
147.0652	277.44	0.8384324464088986	0.4503005153545814	
147.0666	198.9	0.4785674822374341	1.6652525419730766	
104.006	195.48	0.8490533262209258	-0.41163187820681474	
148.8628	141.96	0.7036167374920529	-0.8205082125126434	
148.8628	152.26	0.8339340114069584	-0.4651068085949958	
