m/z	rtime	p-value	t-score	custom_id	log2fc	name	emp_ID	categories	classes
175.119	24.51	0.04861832939872156	-9.261985369372848		-3.0580500120562206				
228.2685	58.39	0.009727237403934006	29.509300806475924		2.4937057613064084				
280.2632	36.91	0.04887890213004483	-9.18113417667829	C18H33NO	-2.6351056260213497	Linoleamide	kp604_279.2556	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
281.2665	36.91	0.03576845013645349	-11.369038139255531	C18H33NO	-3.045230532805693	Linoleamide	kp604_279.2556	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
284.2945	77.64	0.043759293878128554	-9.988563797027703	C18H37NO	-1.2879937910340935	Bacillamidin G,Stearamide	kp726_283.2872	{'Fatty Acyls [FA]'}	{'Fatty amides [FA08]'}
285.1096	24.24	0.03199800215209628	-13.56181781095623		-3.6303871680195705				
287.0888	24.24	0.005736509337582847	-44.65984310623967		-2.792890961774283				
241.1838	24.51	0.04861832939872156	-9.248543202187298		-1.3745199562316834				
298.2737	36.91	0.035651612818582284	-11.466905108039068	C18H35NO2	-2.706712201724855	3-ketosphingosine,(4E,8Z,d18:2) sphingosine,Palmitoleoyl-EA,Lepadin D,4E,14Z-Sphingadiene,(4E,8E,d18:2) sphingosine	kp1097_297.2666	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Sphingoid bases [SP01]'}
298.2737	48.91	0.0476046299647093	-9.530649248204519	C18H35NO2	-2.6009244354240124	3-ketosphingosine,(4E,8Z,d18:2) sphingosine,Palmitoleoyl-EA,Lepadin D,4E,14Z-Sphingadiene,(4E,8E,d18:2) sphingosine	kp1098_297.2664	{'Sphingolipids [SP]', 'Fatty Acyls [FA]'}	{'Fatty amides [FA08]', 'Sphingoid bases [SP01]'}
315.1739	79.08	0.028439235750629416	-15.527468909746522		-3.2282316156510866				
327.1201	24.24	0.010313722224031024	-27.136863837357208		-4.663701701641884				
329.1357	24.11	0.0015324856706554527	-93.23868575065102		-4.189600940764798				
210.05	24.51	0.04285616178336593	-10.150044798174292		-1.3540948091535903				
369.1306	24.9	0.005736509337582847	-44.22413777816315		-3.835110306500237				
334.2945	36.91	0.04285616178336593	10.268572720454971		3.5550674431049956				
334.2945	49.57	0.03525410547950513	12.30027900634098		2.3004238865780025				
