m/z	rtime	p-value	t-score	custom_id	log2fc	name
209.0968	34.01	0.03623723968707298	-5.790783853584271		-3.8797728016221047	
114.0164	22.8	0.0381560794939097	5.00777660114934		0.7555346621457524	
135.0302	22.15	0.0381560794939097	-5.126681463940034		-1.3427656637962677	
281.2486	194.08	0.0381560794939097	-5.086794964743229	C18H34O2	-1.6737199394939921	15Z-octadecenoic acid,Petroselinic acid,7Z-Hexadecenyl acetate,trans-8-elaidic acid,trans-12-elaidic acid,cis-8-oleic acid,6E-Hexadecenyl acetate,cis-12-oleic acid,18-Octadecanolide,12Z-Hexadecenyl acetate,10Z-Hexadecenyl acetate,trans-2-oleic acid,16Z-octadecenoic acid,17-octadecenoic acid,11Z-Hexadecenyl acetate,18:1(14E),Petroselaidic acid,3Z-Hexadecenyl acetate,10-Octadecenoic acid,15E-octadecenoic acid,7-Hexadecenyl acetate,3Z-octadecenoic acid,16E-octadecenoic acid,17:1(6)(9Me),4-octadecylenic acid,Dihydromalvalic acid,ethyl 7Z-hexadecenoate,8E-Hexadecenyl acetate,trans-vaccenic acid,Isooctadecenoic acid,Methyl 14-methyl-8E-hexadecenoate,9E-Hexadecenyl acetate,4Z-octadecenoic acid,Thalictric acid,17:1(4)(15Me),7Z-octadecenoic acid,17:1(12)(7Me),Oleic acid,cis-vaccenic acid,2Z-octadecenoic acid,18:1(14Z),5E-Hexadecenyl acetate,10E-octadecenoic acid,9Z-Hexadecenyl acetate,18:1(13E),Cyclopentanetridecanoic acid,2-methyl-16-heptadecenoic acid,17:1(4)(16Me),9-elaidic acid,cis-10-oleic acid,5Z-octadecenoic acid,5Z-Hexadecenyl acetate,3-octadecylenic acid,11E-Hexadecenyl acetate,Methyl 14-methyl-8Z-hexadecenoate,ethyl 9Z-hexadecenoate,11-Cycloheptylundecanoic acid,7E-octadecenoic acid,Ethyl 9-hexadecenoate,13Z-octadecenoic acid
228.9633	22.94	0.04771162474726321	-4.575441412588334		-0.6440184518990932	
149.0541	22.02	0.04954666642198845	4.447688255144137		1.8289455737591425	
497.082	26.9	0.0381560794939097	-5.583886104558928		-0.5930524602530483	
447.1647	30.99	0.006270550254811462	-9.87895504244889	C23H28O9	-0.5776809643328491	Dichotosin
499.0792	26.77	0.0381560794939097	-5.037509466032632		-0.6833021737015983	
500.2081	159.96	0.0381560794939097	-5.174784334373505		-3.143033973162609	
453.1326	26.9	0.009065302475922403	-8.775222379912043		-0.6473545991680503	
463.1615	26.9	0.041309848296181374	-4.825355864194263	C23H28O10	-0.4231414348211793	Diffutin,Isomucronulator 7-O-glucoside
409.3114	225.3	0.014108023866970618	-7.832478515037061	C28H42O2	-0.9367520938103304	calicoferol D,28:7(n-6),gamma-tocotrienol,beta-tocotrienol
516.0727	27.03	0.04719049804408201	-4.614347824169981		-0.4047413777492679	
359.1655	36.27	0.0008718498008790123	-14.701098613047028		-1.5719636652212685	
417.1559	26.9	0.0381560794939097	-5.316857097696476		-0.44864165032539916	
552.4636	273.28	0.029681258211683402	-6.214748373621263	C33H63NO5	-3.3758540660338134	Topostin B553
666.8416	23.07	0.04954666642198845	-4.464683113175167		-1.5319436487181193	
668.3187	262.35	0.02171792865081668	-6.860570167050932		-0.795889403665214	
669.3221	262.35	0.023112167601998287	-6.618769380187248		-0.8293842100094473	
688.2685	244.67	0.041309848296181374	-4.791662901439918		-0.9472859607064237	
568.1127	214.9	0.04897874703205705	4.524958744703307		1.1645756820390538	
710.2663	219.13	0.0381560794939097	-5.205908908360359		-0.673247564978734	
577.2766	91.74	0.02171792865081668	-6.8551610020963025	C27H47O11P	-4.498831136921318	PKODiA-PA
711.2694	219.26	0.04954666642198845	-4.436002413403154		-0.8872021661822913	
712.2637	262.61	0.03817125208275625	-4.968018669212826		-0.5442192395937901	
712.2637	273.68	0.04601729574875814	-4.6666099662242315		-0.719236628770993	
720.295	262.88	0.03131182338368832	-6.0403949146719516		-0.6243299937891855	
720.295	293.54	0.041309848296181374	-4.797588498269846		-0.5401795291928941	
721.2981	262.88	0.0381560794939097	-5.326910796410122		-0.6065021761781253	
721.2981	293.41	0.0381560794939097	-5.254424643564643		-0.6263235851332603	
887.5064	274.2	0.0381560794939097	-5.11655069315247	C56H72O9	-2.143842679886511	1,2,3-(8R,9R-epoxy-17E-octadecen-4,6-diynoyl)-sn-glycerol
920.4519	285.0	0.0381560794939097	-5.346056389373675		-1.803436558401927	
