m/z	rtime	p-value	t-score	custom_id	log2fc	name
250.9648	21.23	0.017706567714253062	-12.589737621581792		-0.7321440018991261	
113.9879	21.75	0.04844706128429507	-7.835253479633768		-0.5795472897178158	
281.2486	194.08	0.04641945554801285	-8.10321888572819	C18H34O2	-1.1026546231628238	15Z-octadecenoic acid,Petroselinic acid,7Z-Hexadecenyl acetate,trans-8-elaidic acid,trans-12-elaidic acid,cis-8-oleic acid,6E-Hexadecenyl acetate,cis-12-oleic acid,18-Octadecanolide,12Z-Hexadecenyl acetate,10Z-Hexadecenyl acetate,trans-2-oleic acid,16Z-octadecenoic acid,17-octadecenoic acid,11Z-Hexadecenyl acetate,18:1(14E),Petroselaidic acid,3Z-Hexadecenyl acetate,10-Octadecenoic acid,15E-octadecenoic acid,7-Hexadecenyl acetate,3Z-octadecenoic acid,16E-octadecenoic acid,17:1(6)(9Me),4-octadecylenic acid,Dihydromalvalic acid,ethyl 7Z-hexadecenoate,8E-Hexadecenyl acetate,trans-vaccenic acid,Isooctadecenoic acid,Methyl 14-methyl-8E-hexadecenoate,9E-Hexadecenyl acetate,4Z-octadecenoic acid,Thalictric acid,17:1(4)(15Me),7Z-octadecenoic acid,17:1(12)(7Me),Oleic acid,cis-vaccenic acid,2Z-octadecenoic acid,18:1(14Z),5E-Hexadecenyl acetate,10E-octadecenoic acid,9Z-Hexadecenyl acetate,18:1(13E),Cyclopentanetridecanoic acid,2-methyl-16-heptadecenoic acid,17:1(4)(16Me),9-elaidic acid,cis-10-oleic acid,5Z-octadecenoic acid,5Z-Hexadecenyl acetate,3-octadecylenic acid,11E-Hexadecenyl acetate,Methyl 14-methyl-8Z-hexadecenoate,ethyl 9Z-hexadecenoate,11-Cycloheptylundecanoic acid,7E-octadecenoic acid,Ethyl 9-hexadecenoate,13Z-octadecenoic acid
282.2521	194.21	0.03662501366603906	-9.089356716950347	C18H34O2	-1.0749887269588072	15Z-octadecenoic acid,Petroselinic acid,7Z-Hexadecenyl acetate,trans-8-elaidic acid,trans-12-elaidic acid,cis-8-oleic acid,6E-Hexadecenyl acetate,cis-12-oleic acid,18-Octadecanolide,12Z-Hexadecenyl acetate,10Z-Hexadecenyl acetate,trans-2-oleic acid,16Z-octadecenoic acid,17-octadecenoic acid,11Z-Hexadecenyl acetate,18:1(14E),Petroselaidic acid,3Z-Hexadecenyl acetate,10-Octadecenoic acid,15E-octadecenoic acid,7-Hexadecenyl acetate,3Z-octadecenoic acid,16E-octadecenoic acid,17:1(6)(9Me),4-octadecylenic acid,Dihydromalvalic acid,ethyl 7Z-hexadecenoate,8E-Hexadecenyl acetate,trans-vaccenic acid,Isooctadecenoic acid,Methyl 14-methyl-8E-hexadecenoate,9E-Hexadecenyl acetate,4Z-octadecenoic acid,Thalictric acid,17:1(4)(15Me),7Z-octadecenoic acid,17:1(12)(7Me),Oleic acid,cis-vaccenic acid,2Z-octadecenoic acid,18:1(14Z),5E-Hexadecenyl acetate,10E-octadecenoic acid,9Z-Hexadecenyl acetate,18:1(13E),Cyclopentanetridecanoic acid,2-methyl-16-heptadecenoic acid,17:1(4)(16Me),9-elaidic acid,cis-10-oleic acid,5Z-octadecenoic acid,5Z-Hexadecenyl acetate,3-octadecylenic acid,11E-Hexadecenyl acetate,Methyl 14-methyl-8Z-hexadecenoate,ethyl 9Z-hexadecenoate,11-Cycloheptylundecanoic acid,7E-octadecenoic acid,Ethyl 9-hexadecenoate,13Z-octadecenoic acid
492.3463	212.28	0.007928198887173343	-19.133583025148017	C25H52NO6P	-2.8507894010052723	PC(P-17:0/0:0),PE(P-20:0/0:0)
441.3375	212.41	0.017706567714253062	-12.818040295942577	C29H46O3	-1.2402037135001684	18-acetoxy-vitamin D3,1alpha,25-dihydroxy-11alpha-vinylvitamin D3,Nebrosteroid I,1alpha,25-dihydroxy-26,27-ethanovitamin D3,(24aE)-1alpha,25-dihydroxy-24a,24b-didehydro-24a,24b-dihomovitamin D3 /(24aE)-1alpha,25-dihydroxy-24a,24b-didehydro-24a,24b-dihomocholecalciferol,25-Hydroxy[26,27-methyl]vitamin D3 3beta-(1,2-epoxypropyl)ether,(24E)-1alpha,25-dihydroxy-24,24a-didehydro-24a,24b-dihomovitamin D3 /(24E)-1alpha,25-dihydroxy-24,24a-didehydro-24a,24b-dihomocholecalciferol,1alpha,25-dihydroxy-24-methylvitamin D2,Subergorgiaol F,1alpha,25-dihydroxy-22,23-didehydro-24a,24b-dihomovitamin D3 /1alpha,25-dihydroxy-22,23-didehydro-24a,24b-dihomocholecalciferol,Subergorgiaol G,4beta-methyl-zymosterol-4alpha-carboxylic acid,(22E)-1alpha,25-dihydroxy-26,27-dimethyl-22,23-didehydrovitamin D3 / (22E)-1alpha,25-dihydroxy-26,27-dimethyl-22,23-didehydrocholecalciferol
442.3409	212.41	0.03609790721167048	-9.505594174497439	C29H46O3	-1.2007280740461788	18-acetoxy-vitamin D3,1alpha,25-dihydroxy-11alpha-vinylvitamin D3,Nebrosteroid I,1alpha,25-dihydroxy-26,27-ethanovitamin D3,(24aE)-1alpha,25-dihydroxy-24a,24b-didehydro-24a,24b-dihomovitamin D3 /(24aE)-1alpha,25-dihydroxy-24a,24b-didehydro-24a,24b-dihomocholecalciferol,25-Hydroxy[26,27-methyl]vitamin D3 3beta-(1,2-epoxypropyl)ether,(24E)-1alpha,25-dihydroxy-24,24a-didehydro-24a,24b-dihomovitamin D3 /(24E)-1alpha,25-dihydroxy-24,24a-didehydro-24a,24b-dihomocholecalciferol,1alpha,25-dihydroxy-24-methylvitamin D2,Subergorgiaol F,1alpha,25-dihydroxy-22,23-didehydro-24a,24b-dihomovitamin D3 /1alpha,25-dihydroxy-22,23-didehydro-24a,24b-dihomocholecalciferol,Subergorgiaol G,4beta-methyl-zymosterol-4alpha-carboxylic acid,(22E)-1alpha,25-dihydroxy-26,27-dimethyl-22,23-didehydrovitamin D3 / (22E)-1alpha,25-dihydroxy-26,27-dimethyl-22,23-didehydrocholecalciferol
502.2946	89.75	0.03609790721167048	-9.33221757552063	C25H46NO7P	-0.8136642843293522	PE(0:0/20:3(8Z,11Z,14Z)),PE(0:0/20:3(5Z,8Z,11Z)),PE(20:3(8Z,11Z,14Z)/0:0),PE(20:3(5Z,8Z,11Z)/0:0),PE(0:0/20:3(11Z,14Z,17Z)),PE(20:3(11Z,14Z,17Z)/0:0)
452.2785	94.76	0.016593319083214653	-13.945222891035376	C21H44NO7P	-1.3911507193554407	1-(2-methoxy-13-methyl-6Z-tetradecenyl)-sn-glycero-3-phosphoethanolamine,1-(2-methoxy-6Z-pentadecenyl)-sn-glycero-3-phosphoethanolamine,PE(16:0/0:0),PE(0:0/16:0),PC(13:0/0:0)
556.875	22.41	0.019004390461143793	11.949474704704294		2.7296649838379423	
